,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,17607818,15902822,15245226,14092928,14690413,13761745,12484364,11681379,13034655,11148559,10096060,9730254,10704056,8725172,8641707,7586328,8666705,7553129,6980002,6630565,Upgrade
1,Revenue Growth (YoY),19.86%,15.56%,22.11%,20.64%,12.70%,23.44%,23.66%,20.05%,21.77%,27.77%,16.83%,28.26%,23.51%,15.52%,23.81%,14.41%,6.73%,6.32%,2.26%,17.01%,Upgrade
2,Cost of Revenue,11128844,9743866,9593869,8582463,9068932,8265376,7850540,7113500,8022871,6789073,6253372,5776933,6677936,5474243,5201526,4691801,5394276,4554350,4258248,4006187,Upgrade
3,Gross Profit,6478973,6158956,5651357,5510466,5621481,5496369,4633824,4567879,5011783,4359486,3842688,3953321,4026120,3250929,3440181,2894527,3272428,2998778,2721755,2624378,Upgrade
4,"Selling, General & Admin",3419764,3371821,3300870,3192420,3252027,3207679,2713855,2694364,2980252,2592821,2261983,2537665,2562637,1875139,1945075,1813879,2012737,1806443,1619171,1574260,Upgrade
5,Operating Expenses,3419764,3371821,3300870,3192420,3252027,3207679,2713855,2694364,2980252,2592821,2261983,2537665,2562637,1875139,1945075,1813879,2012737,1806443,1619171,1574260,Upgrade
6,Operating Income,3059210,2787135,2350487,2318045,2369454,2288690,1919969,1873515,2031531,1766664,1580705,1415657,1463483,1375790,1495106,1080648,1259692,1192336,1102584,1050119,Upgrade
7,Interest Expense,-134854,-128826,-150125,-137834,-206644,-265655,-287498,-147986,-156583,-166542,-176780,-145820,-139499,-120149,-124530,-99817,-98554,-85792,-101366,-99626,Upgrade
8,Interest & Investment Income,576398,326689,367433,265968,385864,516203,623044,580498,305484,549704,357187,331424,311791,332267,240540,218567,208339,218189,174855,138137,Upgrade
9,Earnings From Equity Investments,117814,142581,58601,74454,24442,39896,-65748,43757,97400,91215,86153,208830,274068,147867,149843,115086,94916,67778,69376,80124,Upgrade
10,Currency Exchange Gain (Loss),-,-,15998,14347,75662,-,-,-34229,-66643,-,-9825,-2070,-32135,-,-,88285,-40378,-,-15875,-41050,Upgrade
11,Other Non Operating Income (Expenses),-658901,-218958,219293,-1398,287093,-149984,28366,-194912,149847,-213017,54770,-28974,281003,-97202,-221495,-6018,-10708,-6632,19212,14586,Upgrade
12,EBT Excluding Unusual Items,2959667,2908621,2861688,2533582,2935872,2429150,2218133,2120644,2361035,2028025,1892210,1779048,2158711,1638573,1539465,1396751,1413306,1385879,1248785,1142290,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-192719,-,-500792,-,-,-,-363669,-,-34365,-,-396293,-,-,-,36489,-,36708,-,Upgrade
14,Pretax Income,2959667,2908621,2668969,2533582,2435079,2429150,2218133,2120644,1997366,2028025,1857845,1779048,1762418,1638573,1539465,1396751,1449795,1385879,1285493,1142290,Upgrade
15,Income Tax Expense,466165,430023,381255,373317,388281,353281,362550,310844,362152,272027,296270,240490,198101,263958,279798,246049,195865,237248,201271,205327,Upgrade
16,Earnings From Continuing Operations,2493502,2478598,2287713,2160265,2046799,2075869,1855582,1809799,1635214,1755997,1561574,1538558,1564317,1374615,1259666,1150703,1253929,1148631,1084222,936963,Upgrade
17,Minority Interest in Earnings,-406509,-389745,-412554,-362234,-323731,-336529,-346363,-316237,-268521,-302281,-310754,-299679,-257918,-249776,-259635,-244560,-270625,-219744,-205511,-189857,Upgrade
18,Net Income,2086993,2088852,1875159,1798031,1723068,1739340,1509220,1493563,1366692,1453716,1250820,1238879,1306399,1124839,1000031,906143,983304,928888,878711,747105,Upgrade
19,Preferred Dividends & Other Adjustments,-,-,-,-,557312,-,-,-,461504,-,-,-,397215,-,-,-,311913,-,-,-,Upgrade
20,Net Income to Common,2086993,2088852,1875159,1798031,1165756,1739340,1509220,1493563,905188,1453716,1250820,1238879,909185,1124839,1000031,906143,671391,928888,878711,747105,Upgrade
21,Net Income Growth,21.12%,20.09%,24.25%,20.39%,26.08%,19.65%,20.66%,20.56%,4.62%,29.24%,25.08%,36.72%,32.86%,21.10%,13.81%,21.29%,29.85%,-3.25%,10.99%,19.29%,Upgrade
22,Shares Outstanding (Basic),2100,1461,1460,1460,2149,1460,1715,1452,1447,1449,1451,1442,2063,1440,1436,1432,2093,1430,1434,1425,Upgrade
