,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,313.51,898.24,940.14,767.02,885.31,-,822.77,807.62,394.83,252.41,2547,56.92,-,27.93,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,1506,-,-,-,-,-
2,Trading Asset Securities,-,1019,604.95,607.45,732,936.07,-,1438,1454,70,400,-,-,-,-,-
3,Cash & Short-Term Investments,1333,1333,1503,1548,1499,1821,-,2261,2262,464.83,2158,2547,56.92,-,27.93,110.93
4,Cash Growth,-11.11%,-26.84%,-,-31.55%,-33.72%,291.84%,-,-11.25%,3873.54%,-,7627.62%,2196.22%,-,-,-,-
5,Accounts Receivable,-,190.69,170,181.05,225.54,240.54,-,270.79,277.19,264.89,296.82,263.77,222,-,215.18,-
6,Other Receivables,-,0.67,0.45,30.43,13.92,6.55,-,5.86,1.16,0.71,0.68,1.24,0.76,-,0.74,-
7,Receivables,-,191.36,170.45,211.48,239.45,247.09,-,276.66,278.34,265.61,297.5,265.01,222.76,-,215.93,-
8,Inventory,-,189.67,194.48,207.59,199.8,211.3,-,225.46,241.15,264.31,215.48,170.96,163.46,-,120.55,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,4.62,-,0.58,-,5.38,-
10,Other Current Assets,-,14.17,11.94,6.32,23.55,7.26,-,17.47,30.37,1637,50.71,37,26.35,-,20.11,-
11,Total Current Assets,-,1728,1880,1973,1962,2287,-,2780,2811,2632,2727,3020,470.08,-,389.9,-
12,"Property, Plant & Equipment",-,878.59,825.88,820.85,826.59,796.49,-,480.68,389.14,343.73,295.43,284.93,270.4,-,285.02,-
13,Long-Term Investments,-,536.53,416.16,409.43,406.12,110.66,-,87.25,87.67,88.14,289.75,87.29,87.63,-,83.68,-
14,Other Intangible Assets,-,16,16.95,16.56,17.38,18.32,-,11.92,12.4,12.04,12.79,13.52,14.75,-,15,-
15,Long-Term Deferred Tax Assets,-,70.9,61.38,53.39,44.39,38.18,-,21.41,17.8,18.23,13.54,12.46,12.66,-,13.07,-
16,Long-Term Deferred Charges,-,95.63,95.74,96.18,98.66,-,-,105.3,107.42,101.16,76.55,75.24,77.67,-,2.45,-
17,Other Long-Term Assets,-,60.1,67.94,62.53,60.9,193.1,-,17.76,70.1,313.47,95.31,73.34,50.16,-,40.75,-
18,Total Assets,-,3385,3364,3432,3416,3444,-,3505,3496,3509,3510,3567,983.35,-,829.88,-
19,Accounts Payable,-,170.75,145.51,143.7,144.52,162.81,-,159.72,140.81,181.28,175.46,156.76,179.79,-,160.01,-
20,Accrued Expenses,-,12.13,11.46,8.55,12.79,13,-,8.38,9.86,13.17,10.27,7.43,11.23,-,8.34,-
21,Short-Term Debt,-,98.31,86.99,94.62,63.69,37.12,-,-,-,-,-,82.58,46.53,-,3.98,-
