,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,69.27,80.76,69.47,52.49,63.66,78.49,50.49,90.36,63.73,67.82,137.66,111.97,107.4,128.39,112.2,78
1,Other Revenue,-,-5.4,5.4,-,7.2,-1.28,1.28,-,4.41,-0.74,0.74,-,3.1,-0.54,0.54,-
2,Revenue,69.27,75.36,74.87,52.49,70.86,77.21,51.77,90.36,68.14,67.08,138.41,111.97,110.5,127.84,112.75,78
3,Revenue Growth (YoY),-2.24%,-2.40%,44.62%,-41.91%,3.99%,15.11%,-62.59%,-19.30%,-38.33%,-47.53%,22.76%,43.56%,-,-,-,-
4,Cost of Revenue,-147.19,29.16,79.17,38.86,107.5,35,48.91,65.82,52.1,24.21,67.68,55.77,66.43,54.61,58.12,38.76
5,Gross Profit,216.46,46.2,-4.29,13.62,-36.64,42.22,2.86,24.54,16.04,42.88,70.72,56.2,44.07,73.23,54.63,39.24
6,"Selling, General & Admin",-39.09,12.69,14.98,11.42,17.07,13.03,12.16,10.7,11.6,12.19,18.99,11.42,6.55,15.38,14.89,9.17
7,Research & Development,-94.26,32.06,32.91,29.29,32.56,31.6,30.97,23.8,38.02,26.06,33.16,20.93,29.88,18.54,18.39,19.12
8,Other Operating Expenses,419.96,-16.45,2.24,-3.99,-6.39,-11.02,-12.67,-8.77,47.68,-47.48,0.1,-9.58,25.96,-8.24,-9.31,-7.85
9,Operating Expenses,262.87,33.42,62.88,42.58,41.72,34.91,37.55,31.89,103.96,-6.64,55.57,21.48,64.14,28.75,24.84,18.89
10,Operating Income,-46.41,12.78,-67.17,-28.96,-78.36,7.31,-34.69,-7.35,-87.91,49.52,15.15,34.72,-20.07,44.48,29.8,20.35
11,Interest Expense,-31.75,-0.35,-0.4,-0.44,-0.28,-0.16,-0.4,-0.2,-,-0.14,-0.62,-1.27,-1.9,-0.71,-0.68,-
12,Interest & Investment Income,1.2,7.9,15.41,8.43,11.39,6.18,11.41,8.59,28.31,14.87,3.15,0.03,-,0.29,0.92,0.03
13,Currency Exchange Gain (Loss),-,-0.19,0.19,-,0.53,0.11,-0.11,-,-0.1,0.12,-0.12,-,0.08,0.08,-0.08,-
14,Other Non Operating Income (Expenses),3.05,-0.55,-0.04,0.64,-0.85,-0.03,0.2,-0.24,0.85,-0.92,-0.08,0.05,-0,-0.24,0.14,0.03
15,EBT Excluding Unusual Items,-73.91,19.59,-52.02,-20.33,-67.57,13.39,-23.58,0.8,-58.86,63.45,17.47,33.53,-21.89,43.91,30.09,20.4
16,Gain (Loss) on Sale of Investments,-,-,-,-,-49.07,1.07,-,-,-3.24,1.69,1.88,-0.34,-,-,0.17,-0.17
17,Gain (Loss) on Sale of Assets,-,-,-,-,-0.05,0.06,-0.04,-,-0.03,-,-0.05,-,0.01,0.22,-0.22,-
18,Asset Writedown,37.49,-37.49,8.91,-8.91,34.43,-34.43,2.93,-2.93,10.35,-10.35,4.1,-4.1,11.57,-11.57,0.77,-0.77
19,Other Unusual Items,-2.28,-11.84,12.7,1.42,6.46,-0.27,0.27,-,71.37,-17.8,8.15,-,49.62,-,-,-
20,Pretax Income,-38.69,-29.74,-30.41,-27.82,-75.79,-20.19,-20.42,-2.14,19.59,37,31.55,29.09,39.3,32.56,30.82,19.46
21,Income Tax Expense,-9.34,-9.25,-7.74,-8.74,-6.21,-8.46,-8.31,-3.61,-4.8,1.3,-0.01,1.46,1.33,2.66,2.33,0.5
22,Earnings From Continuing Operations,-29.35,-20.5,-22.66,-19.07,-69.58,-11.73,-12.11,1.47,24.39,35.7,31.55,27.63,37.97,29.9,28.49,18.96
23,Minority Interest in Earnings,1.15,-0.41,-0.37,-0.38,-0,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,-28.19,-20.91,-23.03,-19.45,-69.58,-11.73,-12.11,1.47,24.39,35.7,31.55,27.63,37.97,29.9,28.49,18.96
25,Net Income to Common,-28.19,-20.91,-23.03,-19.45,-69.58,-11.73,-12.11,1.47,24.39,35.7,31.55,27.63,37.97,29.9,28.49,18.96
26,Net Income Growth,-,-,-,-,-,-,-,-94.67%,-35.77%,19.39%,10.75%,45.73%,-,-,-,-
27,Shares Outstanding (Basic),175,175,176,176,176,176,177,175,176,176,176,132,132,132,132,132
28,Shares Outstanding (Diluted),175,175,176,176,176,176,177,175,176,176,176,132,132,132,132,132
29,Shares Change (YoY),-0.66%,-0.30%,-0.88%,0.56%,0.05%,-0.19%,0.67%,32.65%,33.35%,33.28%,33.34%,-0.01%,-,-,-,-
30,EPS (Basic),-0.16,-0.12,-0.13,-0.11,-0.39,-0.07,-0.07,0.01,0.14,0.20,0.18,0.21,0.29,0.23,0.22,0.14
31,EPS (Diluted),-0.16,-0.12,-0.13,-0.11,-0.39,-0.07,-0.07,0.01,0.14,0.20,0.18,0.21,0.29,0.23,0.22,0.14
32,EPS Growth,-,-,-,-,-,-,-,-95.98%,-51.84%,-10.42%,-16.94%,45.75%,-,-,-,-
33,Free Cash Flow,-,-86.79,-31.47,-3.69,-38.22,-86.61,-344.54,-9.88,-27.78,-30.28,-96.63,-97.47,32.4,-55.79,-48.12,-39.56
34,Free Cash Flow Per Share,-,-0.49,-0.18,-0.02,-0.22,-0.49,-1.94,-0.06,-0.16,-0.17,-0.55,-0.74,0.25,-0.42,-0.36,-0.30
35,Dividend Per Share,-,-,-,-,-,-,-,-,0.269,-,-,-,0.385,-,-,-
36,Dividend Growth,-,-,-,-,-,-,-,-,-30.01%,-,-,-,-,-,-,-
37,Gross Margin,312.48%,61.30%,-5.73%,25.96%,-51.71%,54.67%,5.52%,27.16%,23.54%,63.92%,51.10%,50.19%,39.88%,57.28%,48.45%,50.31%
38,Operating Margin,-66.99%,16.96%,-89.72%,-55.17%,-110.59%,9.46%,-67.00%,-8.14%,-129.01%,73.82%,10.94%,31.01%,-18.16%,34.80%,26.43%,26.09%
39,Profit Margin,-40.70%,-27.74%,-30.76%,-37.06%,-98.19%,-15.19%,-23.39%,1.63%,35.79%,53.21%,22.80%,24.67%,34.36%,23.39%,25.27%,24.31%
40,Free Cash Flow Margin,-,-115.17%,-42.03%,-7.03%,-53.94%,-112.16%,-665.50%,-10.93%,-40.77%,-45.14%,-69.81%,-87.05%,29.32%,-43.64%,-42.68%,-50.72%
41,EBITDA,-34.27,24.92,-50.44,-16.82,-66.23,14.68,-24.92,0.03,-80.53,54.61,20.82,39.81,-14.98,47.93,34.03,23.79
42,EBITDA Margin,-49.47%,33.06%,-67.36%,-32.04%,-93.46%,19.02%,-48.14%,0.03%,-118.18%,81.41%,15.04%,35.56%,-13.55%,37.49%,30.18%,30.50%
43,D&A For EBITDA,12.14,12.14,16.74,12.14,12.14,7.38,9.77,7.38,7.38,5.09,5.67,5.09,5.09,3.44,4.23,3.44
44,EBIT,-46.41,12.78,-67.17,-28.96,-78.36,7.31,-34.69,-7.35,-87.91,49.52,15.15,34.72,-20.07,44.48,29.8,20.35
45,EBIT Margin,-66.99%,16.96%,-89.72%,-55.17%,-110.59%,9.46%,-67.00%,-8.14%,-129.01%,73.82%,10.94%,31.01%,-18.16%,34.80%,26.43%,26.09%
46,Effective Tax Rate,-,-,-,-,-,-,-,-,-,3.51%,-,5.03%,3.39%,8.16%,7.55%,2.59%
47,Revenue as Reported,-,75.36,74.87,52.49,70.86,77.21,51.77,90.36,68.14,67.08,138.41,111.97,110.5,127.84,112.75,78
