,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,10928,6873,6039,5507,7353,11047,11513,16662,14112,13119,14713,16500,-,-,-,-,-
1,Market Cap Growth,-37.79%,-37.79%,-47.54%,-66.95%,-47.90%,-15.79%,-21.75%,0.98%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9699,5645,4629,4059,5568,9263,9668,14401,13670,12677,12577,14057,-,-,-,-,-
3,Last Close Price,61.99,38.99,34.26,31.24,41.71,62.67,65.31,94.52,79.76,74.15,83.16,92.84,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,151.56,110.00,110.75,129.87,-,-,-,-,-
5,Forward PE,-,-,126.89,53.86,63.68,157.98,73.01,70.67,63.59,57.60,60.02,77.75,-,-,-,-,-
6,PS Ratio,40.05,25.27,22.07,19.99,29.14,38.07,40.05,60.07,38.77,34.02,34.38,33.76,-,-,-,-,-
7,PB Ratio,3.60,2.27,2.00,1.81,2.38,3.55,3.63,-,4.35,4.05,4.58,5.20,-,-,-,-,-
8,P/TBV Ratio,2.29,2.29,2.01,1.83,2.40,3.58,3.65,-,4.37,4.07,4.60,5.23,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-12699.53,-,182.15,166.33,331.77,-237.40,1396.35,-,-,-,-,-,-
10,EV/Sales Ratio,35.66,20.75,16.92,14.74,22.07,31.92,33.63,51.92,37.56,32.88,29.39,28.76,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-42.64,-,-,-,-106.53,-,-2690.92,-,125.44,150.22,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-28.62,-,-,-,-78.82,-,-,-,158.57,189.25,-,-,-,-,-
13,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.03,0.02,0.01,-,-,0.00,0.01,0.01,0.03,0.11,-,0.03,-
14,Debt / EBITDA Ratio,-,-,0.99,-,-,-,0.63,-,-,-,0.10,0.25,0.66,-,-,0.11,-
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.62,-,-,-
16,Asset Turnover,-,0.09,0.09,0.06,-,-,-,0.10,0.08,0.08,0.16,0.20,-,-,-,-,
17,Inventory Turnover,-,-,0.61,1.58,0.76,-,-,-,1.13,0.82,0.40,1.40,1.33,-,-,-,-
18,Quick Ratio,-,-,4.86,6.02,6.08,6.94,8.89,-,12.26,12.98,3.33,8.76,9.24,1.00,-,1.20,-
19,Current Ratio,-,-,5.51,6.76,6.82,7.83,9.83,-,13.43,14.37,12.00,9.72,9.92,1.69,-,1.92,-
20,Return on Equity (ROE),-3.88%,-2.70%,-2.96%,-2.46%,-,-,-,0.18%,3.03%,4.48%,3.96%,5.75%,-,-,21.38%,-,
21,Return on Assets (ROA),-,0.95%,-4.94%,-2.11%,-,-,-,-0.52%,-6.27%,3.53%,1.07%,3.81%,-,-,-,-,
22,Return on Capital (ROIC),-3.71%,1.02%,-5.32%,-2.28%,-,-,-,-0.57%,-6.79%,3.85%,1.16%,4.32%,-,-,13.78%,-,
23,Return on Capital Employed (ROCE),-,-,-5.26%,-,-,-,-3.82%,-,-,-,2.41%,2.30%,2.73%,-,-,8.00%,-
24,Earnings Yield,-0.84%,-1.33%,-2.20%,-2.25%,-1.54%,-0.83%,0.02%,0.30%,0.66%,0.91%,0.90%,0.77%,-,-,-,-,-
25,FCF Yield,-,-2.65%,-2.91%,-6.43%,-4.34%,-4.07%,-2.48%,-1.17%,-1.92%,-1.30%,-1.32%,-,-,-,-,-,
26,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.36%,-,-,-,-,-,-,-
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,7.04%,189.94%,0.24%,1.31%,1.33%,0.13%,-,-
28,Buyback Yield / Dilution,0.32%,0.66%,0.30%,0.88%,-0.56%,-0.05%,0.19%,-0.67%,-32.65%,-33.35%,-33.28%,-33.34%,0.01%,-,-,-,-
29,Total Shareholder Return,0.32%,0.66%,0.30%,0.88%,-0.56%,-0.05%,0.19%,-0.67%,-32.65%,-32.98%,-33.28%,-33.34%,0.01%,-,-,-,-
