,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,22613,12213,12751,15346,10746,8534,7456,6534,4245,4039,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,43.10%,43.10%,71.01%,134.88%,153.16%,111.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,25221,14546,14443,16860,12125,9284,7748,6830,4541,3986,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,139.78,82.75,86.40,104.13,72.91,57.91,50.96,44.65,29.07,27.66,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,37.23,21.89,25.91,58.07,429.87,-,-,-,62.89,43.55,-,-,-,-,-,-,-,-,-,-
5,Forward PE,60.77,12.91,13.48,36.43,128.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.72,2.78,3.79,6.72,6.05,6.41,5.99,5.25,3.57,3.38,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,13.24,7.83,8.40,11.69,9.57,8.50,7.43,6.24,3.88,3.74,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,7.90,7.90,8.44,11.73,9.62,8.56,7.49,6.27,3.91,3.77,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-,-,-26.58,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.74,3.31,4.30,7.38,6.83,6.97,6.23,5.49,3.81,3.34,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,32.70,19.29,22.20,51.69,169.90,-84.81,-,-,-,31.27,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,34.10,19.57,22.59,53.39,200.84,-76.68,-,-,-,34.26,-,-,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,1.79,1.79,1.65,1.44,1.59,1.62,0.98,0.57,0.47,0.56,0.47,0.56,0.56,-,-,0.42,0.42,0.42,0.24,0.24
14,Debt / EBITDA Ratio,3.61,5.44,2.49,1.93,2.68,16.62,-,-,-,5.53,3.67,2.48,2.05,-,-,1.60,1.54,1.53,1.55,1.55
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-6.72,-,-,-3.19,-,-,-,-
16,Asset Turnover,1.14,1.26,0.91,1.03,0.59,0.53,0.60,0.72,0.63,-,-,-,-,-,-,1.24,1.42,1.05,-,
17,Inventory Turnover,1.33,1.42,1.43,0.92,1.33,0.99,1.51,1.42,1.91,1.49,-,-,-,-,-,-,1.79,1.84,1.32,-
18,Quick Ratio,0.25,0.25,0.19,0.21,0.38,0.37,0.61,0.83,0.92,0.97,1.32,-,0.61,-,-,-,0.72,0.61,0.57,0.57
19,Current Ratio,1.63,1.63,1.53,1.48,1.49,1.48,1.78,2.20,2.27,2.34,2.38,-,1.86,-,-,-,2.25,2.25,2.60,2.60
20,Return on Equity (ROE),8.85%,54.29%,64.23%,51.35%,-12.58%,-13.79%,-16.37%,3.28%,5.38%,12.48%,13.70%,-,-,-,18.76%,16.40%,17.54%,20.68%,-,
21,Return on Assets (ROA),6.30%,13.54%,17.08%,11.21%,2.06%,-10.18%,-1.59%,-5.26%,3.21%,-,-,-,-,-,-,9.02%,10.36%,6.07%,-,
22,Return on Capital (ROIC),7.52%,16.27%,19.83%,12.62%,2.35%,-12.18%,-1.97%,-6.33%,3.73%,5.94%,8.18%,-,-,-,10.38%,11.64%,13.29%,7.72%,-,
23,Return on Capital Employed (ROCE),32.62%,32.79%,32.30%,20.21%,4.41%,-9.92%,-,-,-,9.16%,11.17%,-,19.49%,-,-,-,18.01%,12.05%,7.65%,3.82%
24,Earnings Yield,2.47%,4.57%,3.86%,1.72%,0.23%,-1.20%,-0.75%,0.07%,1.59%,2.30%,-,-,-,-,-,-,-,-,-,-
25,FCF Yield,-5.30%,-9.81%,-11.00%,-8.21%,-10.40%,-12.51%,-9.74%,-6.10%,-10.67%,-6.64%,-,-,-,-,-,-,-,-,-,-
26,Dividend Yield,0.07%,-,-,-,0.14%,-,-,-,0.35%,-,-,-,-,-,-,-,-,-,-,-
27,Payout Ratio,15.25%,67.78%,17.86%,7.69%,9.29%,-,-,-,33.49%,26.69%,12.69%,15.72%,31.89%,-,22.00%,22.00%,10.39%,10.39%,14.47%,14.47%
28,Buyback Yield / Dilution,-1.69%,-1.92%,0.20%,-0.65%,-5.01%,1.62%,-35.75%,-31.02%,-32.98%,-29.40%,0.20%,-1.84%,0.18%,-3.65%,0.20%,0.20%,-,-,-,-
29,Total Shareholder Return,-1.62%,-1.92%,0.20%,-0.65%,-4.87%,1.62%,-35.75%,-31.02%,-32.62%,-29.40%,0.20%,-1.84%,0.18%,-3.65%,0.20%,0.20%,-,-,-,-
