,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,178.09,167.66,204.66,274.36,156.31,234.09,211.46,108.87,116.39,550.61,-,117.63,-,-,-,72.01,72.01,20.42,20.42
1,Trading Asset Securities,-,-,-,-,90.24,-,90.15,140.59,190.56,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,178.09,167.66,204.66,274.36,246.55,234.09,301.61,249.46,306.95,550.61,117.63,117.63,-,-,72.01,72.01,72.01,20.42,20.42
3,Cash Growth,-27.77%,-28.38%,-32.15%,9.98%,-19.68%,-57.48%,156.42%,112.08%,-,-,63.34%,63.34%,-,-,252.63%,-,-,-,-
4,Accounts Receivable,528.81,201,233.01,434.43,385.11,327.64,302.4,398.16,345.09,282.51,-,146.79,-,-,-,121.79,121.79,77.12,77.12
5,Other Receivables,18.89,182.27,24.63,13.57,7.88,101.71,40.08,28.71,13.46,64.33,-,57.79,-,-,-,37.83,3.13,31.24,31.24
6,Receivables,547.7,383.27,257.64,448.01,392.99,429.35,342.48,426.87,358.55,346.85,-,204.57,-,-,-,159.62,124.92,108.36,108.36
7,Inventory,3451,3380,2488,1932,1606,953.14,851.65,755.45,698.22,556.14,-,565.55,-,-,-,437.42,437.42,413.33,413.33
8,Prepaid Expenses,-,1.08,-,1.72,-,-,-,1.16,-,-,-,7.52,-,-,-,2.84,-,-,-
9,Other Current Assets,478.53,472.89,386.72,212.41,313.4,328.53,206.39,231.85,249.8,163.06,-,78.14,-,-,-,54.8,92.34,43.21,43.21
10,Total Current Assets,4655,4405,3337,2868,2559,1945,1702,1665,1614,1617,-,973.4,-,-,-,726.7,726.7,585.32,585.32
11,"Property, Plant & Equipment",242.94,225.22,222.68,172.54,285.81,276.08,241.9,225.53,253.64,131.56,-,140.37,-,-,-,26.06,26.06,7.64,7.64
12,Long-Term Investments,1.71,0.54,1.11,1.5,1.31,1.95,2.97,3.88,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,12.93,6.81,3.69,4.94,6.25,7.7,5.33,6.63,7.93,0.33,-,-,-,-,-,0.01,0.01,0.02,0.02
14,Long-Term Deferred Tax Assets,36.83,33.19,42.12,54.3,38.58,23.41,10.63,32.29,12.41,10.02,-,8.55,-,-,-,4.16,4.16,3.65,3.65
15,Long-Term Deferred Charges,140.32,148.23,155.96,145.73,38.82,43.67,31.26,34.26,68.19,45.38,-,16.64,-,-,-,17.55,17.55,7.83,7.83
16,Other Long-Term Assets,30.64,43.79,54.8,40.7,15.4,15.91,31.66,29.54,2.76,0.67,-,6.99,-,-,-,44.64,44.64,13.45,13.45
17,Total Assets,5121,4863,3817,3288,2945,2314,2026,1997,1958,1805,-,1146,-,-,-,819.13,819.13,617.91,617.91
18,Accounts Payable,497.32,476.12,272.52,242.92,260.36,247.89,338.48,330.82,213.25,159.95,-,176.09,-,-,-,82.75,82.75,71.54,71.54
19,Accrued Expenses,26.57,28.91,14.2,23.45,8.52,10.48,10.18,12.75,8.09,7.32,-,11.98,-,-,-,9.48,8.05,4.25,4.25
20,Short-Term Debt,2117,2070,1690,1580,1419,778.42,396.73,359.47,438.23,457.73,-,262.13,-,-,-,166.68,166.68,92.7,92.7
21,Current Portion of Long-Term Debt,-,10.46,-,-,-,-,-,-,-,-,-,13.5,-,-,-,6.06,6.06,1.13,1.13
22,Current Portion of Leases,23.52,22.92,21.33,20.71,20.86,21.95,21.35,19.46,11.03,10.98,-,8.38,-,-,-,-,-,-,-
23,Current Income Taxes Payable,37.61,43.81,23.42,1.95,0.95,0.04,1.08,-,5.42,2.38,-,14.15,-,-,-,13.34,13.34,10.14,10.14
24,Current Unearned Revenue,39.31,192.12,177.14,18.8,10.26,3.09,1.46,6.37,4.51,5.95,-,21.8,-,-,-,15.11,15.11,5.27,5.27
25,Other Current Liabilities,112.61,39.49,55.91,32.47,4.37,32.67,6.17,5.25,7.6,35.35,-,16.03,-,-,-,29.6,31.02,40.52,40.52
26,Total Current Liabilities,2854,2884,2254,1920,1725,1095,775.44,734.12,688.13,679.65,-,524.07,-,-,-,323.02,323.02,225.56,225.56
27,Long-Term Debt,545.24,291.54,73.73,73.73,64,58.6,45,-,-,-,-,-,-,-,-,13.5,13.5,1.74,1.74
28,Long-Term Leases,100.17,104.47,109.39,112.91,119.94,124.41,129.34,133.54,153.93,28.38,-,28.47,-,-,-,-,-,-,-
29,Long-Term Unearned Revenue,37.78,39.22,40.65,31.97,32.7,32.7,28.41,14.17,36.91,37.91,-,39.68,-,-,-,34.2,34.2,0.5,0.5
30,Long-Term Deferred Tax Liabilities,24.58,25.25,25.9,26.52,0.33,0.34,0.38,22.38,-,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,3561,3344,2504,2165,1942,1311,978.57,904.21,878.97,745.94,-,592.22,-,-,-,370.72,370.72,227.8,227.8
32,Common Stock,147.59,147.59,113.27,113.3,113.25,80.18,80.18,80.18,80,80,-,60,-,-,-,60,60,60,60
33,Additional Paid-In Capital,802.71,742.87,759.04,750.6,739.53,739.8,739.53,739.27,733.16,731.15,-,295.56,-,-,-,286.12,286.12,258.94,258.94
34,Retained Earnings,686.48,652.42,460.26,279.49,142.35,174.13,224.76,269.49,262.79,248.41,-,204.28,-,-,-,106.38,106.38,69.6,69.6
35,Treasury Stock,-73.24,-30.76,-24.42,-25.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-5.42,5.21,3.7,3.84,7.6,8.49,2.47,3.84,3.53,-0.88,-,-6.12,-,-,-,-4.09,-4.09,1.57,1.57
37,Total Common Equity,1558,1517,1312,1122,1003,1003,1047,1093,1079,1059,553.72,553.72,-,-,448.42,448.42,448.42,390.12,390.12
38,Minority Interest,1.37,1.36,1.33,1.2,0.88,0.66,0.37,-0.07,-,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,1559,1519,1313,1123,1004,1003,1047,1093,1079,1059,553.72,553.72,-,-,448.42,448.42,448.42,390.12,390.12
40,Total Liabilities & Equity,5121,4863,3817,3288,2945,2314,2026,1997,1958,1805,-,1146,-,-,-,819.13,819.13,617.91,617.91
41,Total Debt,2786,2499,1894,1787,1624,983.37,592.42,512.47,603.19,497.09,312.48,312.48,-,-,186.24,186.24,186.24,95.57,95.57
42,Net Cash (Debt),-2607,-2332,-1690,-1513,-1378,-749.28,-290.81,-263.01,-296.24,53.52,-194.86,-194.86,-,-,-114.23,-114.23,-114.23,-75.15,-75.15
43,Net Cash Per Share,-17.67,-15.77,-11.50,-9.89,-9.52,-5.06,-1.99,-1.81,-2.01,0.49,-1.75,-1.78,-,-,-1.04,-1.04,-1.04,-0.69,-0.69
44,Filing Date Shares Outstanding,148.7,147.59,147.26,152.93,147.22,145.92,145.92,145.92,145.6,145.6,107.91,109.2,107.5,109.38,109.38,109.2,109.2,109.2,109.2
