,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,1421,1365,810.87,799.66,385.72,288.56,301.97,356.04,297.91,288.71,248,358.87,236.67,242.12,242.12,254.83,254.83,162.52,162.52
1,Revenue Growth (YoY),268.38%,373.12%,168.52%,124.60%,29.48%,-0.05%,21.76%,-0.79%,25.88%,19.24%,2.43%,40.83%,-7.13%,48.98%,48.98%,-,-,-,-
2,Cost of Revenue,1211,1045,508.53,586.46,316.82,339.65,284.26,347.17,233.69,241.48,195.36,294.79,183.42,198.25,198.25,195.58,195.58,136.73,136.73
3,Gross Profit,209.86,319.88,302.34,213.2,68.91,-51.09,17.71,8.87,64.22,47.22,52.63,64.08,53.24,43.88,43.88,59.25,59.25,25.79,25.79
4,"Selling, General & Admin",31.1,29.61,32.68,27.54,18.72,16.39,11.91,16.73,17.98,10.78,10.69,11.59,8.61,7.53,7.53,14.59,14.59,6.61,6.61
5,Research & Development,53.31,56.93,29.71,40.56,25.72,20.95,20.78,23.27,21.72,8.79,13.14,15.66,10.52,9.8,9.8,14.31,14.31,5.15,5.15
6,Other Operating Expenses,-5.9,-1.13,-1.03,2.43,0.08,-0.63,-1.37,7.33,-0.2,-3.24,-0.34,1.89,0.33,-0.13,-0.13,0.46,0.46,-0.58,-0.58
7,Operating Expenses,84.05,84.82,59.68,73.38,47.25,37.26,30.47,50.51,40.09,18.43,24.27,29.05,19.76,17.52,17.52,29.7,29.47,10.79,10.79
8,Operating Income,125.81,235.05,242.66,139.82,21.66,-88.35,-12.75,-41.64,24.13,28.8,28.36,35.03,33.48,26.36,26.36,29.55,29.78,15,15
9,Interest Expense,-29.43,-21.11,-18.85,-21.08,-11.97,-6.57,-5.65,-1.97,-8.54,-2.78,-3.57,-7.05,-2.15,-3.58,-3.58,-2.48,-2.48,-2.3,-2.3
10,Interest & Investment Income,0.31,0.12,0.19,1.53,0.38,0.57,0.21,33.26,0.48,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0
11,Currency Exchange Gain (Loss),6.21,-6.21,-,-11.02,-19.3,19.3,-,-11.71,6.93,-6.93,-,-1.28,1.38,-0.69,-0.69,-4.58,-4.58,-0.21,-0.21
12,Other Non Operating Income (Expenses),-26.15,-0.99,-0.45,-2.27,10.07,3.07,-1.72,-8.2,3.62,1.57,1.27,-2.45,-0.58,1.29,1.29,-10.84,10.94,-0.01,-0.01
13,EBT Excluding Unusual Items,76.75,206.86,223.56,106.97,0.84,-71.98,-19.92,-30.26,26.62,20.72,26.08,24.27,32.14,23.39,23.39,11.66,33.66,12.48,12.48
14,Gain (Loss) on Sale of Investments,0.96,-0.57,-0.39,-0.64,-0.34,-0.72,-0.44,-,-,-,-,-,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,0.7,14.91,-0.04,-0.01,-1.72,-,-,0.8,-,-,-,-,-,-,-,-,-,-,-
16,Asset Writedown,-46.88,-0.89,0.82,45.48,-45.48,24.72,-24.72,14.24,-14.24,5.57,-5.57,9.38,-9.38,-,-,-,-,-,-
17,Other Unusual Items,-5.98,2.48,3.49,3.07,-,-,-,21.67,-,-,-,6.88,-,-,-,11,-11,11,11
