,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3085,2706,2522,3092,3404,4206,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-35.67%,-35.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2305,1873,1607,2171,2483,3969,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,31.70,27.78,25.69,30.99,34.12,42.15,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,39.79,34.67,34.09,41.07,46.87,51.43,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,3.48,3.03,3.03,3.90,4.32,5.45,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.76,2.42,2.31,2.73,3.05,3.83,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.56,2.56,2.38,2.78,3.10,3.86,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,47.15,46.56,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,21.18,21.18,26.00,-,42.46,42.61,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.58,2.10,1.93,2.73,3.15,5.15,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,28.36,23.93,22.22,28.67,31.16,46.61,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,34.26,27.44,25.80,32.82,35.41,52.53,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-33.28,-,-,-,34.40,43.94,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.04,-,-,0.04,0.04,0.05,0.05,0.05
15,Debt / EBITDA Ratio,0.14,0.10,0.13,0.21,0.18,0.13,0.14,0.21,0.17,-,-,0.22,0.15,0.19,0.21,0.21
16,Debt / FCF Ratio,-,-,-,-,0.19,0.12,0.17,-,0.15,-,-,0.43,0.69,1.72,-,-
17,Asset Turnover,0.80,0.78,0.54,0.58,0.88,-,-,-,-,-,-,1.50,1.57,1.58,-,
18,Inventory Turnover,9.28,9.93,10.26,8.88,8.99,8.25,-,-,-,-,-,-,8.19,8.53,8.75,-
19,Quick Ratio,4.33,4.33,4.29,6.62,6.53,6.70,2.15,-,2.17,-,-,-,1.80,1.80,1.76,1.76
20,Current Ratio,4.74,4.74,4.71,7.11,6.89,7.23,2.70,-,2.66,-,-,-,2.28,2.28,2.32,2.32
21,Return on Equity (ROE),8.13%,7.53%,5.88%,6.53%,9.64%,21.86%,14.30%,-,-,-,16.94%,22.68%,23.52%,21.46%,-,
22,Return on Assets (ROA),4.61%,3.38%,2.54%,2.40%,4.97%,-,-,-,-,-,-,10.12%,9.34%,8.81%,-,
23,Return on Capital (ROIC),5.56%,3.98%,2.90%,2.75%,6.07%,12.86%,10.59%,-,-,-,11.35%,15.29%,13.90%,12.95%,-,
24,Return on Capital Employed (ROCE),5.97%,6.05%,5.65%,5.78%,6.21%,6.80%,17.06%,-,16.68%,-,-,-,21.12%,15.03%,10.40%,5.20%
25,Earnings Yield,2.53%,2.88%,2.93%,2.43%,2.13%,1.94%,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-2.25%,-2.56%,0.03%,0.93%,2.12%,2.15%,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.23%,-,-,-,1.17%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,50.31%,-,187.41%,-,-,-,-,-,-,-,52.21%,52.21%,39.00%,39.00%,-,-
29,Buyback Yield / Dilution,-29.27%,-23.08%,-28.32%,-34.57%,-31.91%,-10.76%,-2.56%,1.49%,0.90%,2.66%,-0.81%,-0.81%,-,-,-,-
30,Total Shareholder Return,-28.05%,-23.08%,-28.32%,-34.57%,-30.73%,-10.76%,-2.56%,1.49%,0.90%,2.66%,-0.81%,-0.81%,-,-,-,-
