,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,710.25,759.62,842.63,927.59,931.61,251.53,-,250.88,-,-,-,174.28,174.28,153.96,153.96
1,Trading Asset Securities,80,85,85,50,-,-,-,-,-,-,-,-,-,16.61,16.61
2,Cash & Short-Term Investments,790.25,844.62,927.63,977.59,931.61,251.53,250.88,250.88,-,-,174.28,174.28,174.28,170.57,170.57
3,Cash Growth,-15.17%,235.80%,269.75%,289.66%,-,-,43.96%,43.96%,-,-,2.17%,-,-,-,-
4,Accounts Receivable,156.26,177.87,125.53,127.47,126.9,138.32,-,106.59,-,-,-,136.43,136.43,94.57,94.57
5,Other Receivables,12.45,9.55,3.85,6.2,7.43,6.01,-,5.54,-,-,-,7.81,7.81,7.19,7.19
6,Receivables,168.71,187.42,129.38,133.68,134.33,144.34,-,112.12,-,-,-,144.24,144.24,101.76,101.76
7,Inventory,84.43,95.71,71.9,60.07,74.11,91.76,-,73.94,-,-,-,80.53,80.53,74.2,74.2
8,Other Current Assets,5.86,5.03,7.1,2.41,9.34,9.79,-,7.27,-,-,-,4.82,4.82,11.11,11.11
9,Total Current Assets,1049,1133,1136,1174,1149,497.41,-,444.22,-,-,-,403.86,403.86,357.63,357.63
10,"Property, Plant & Equipment",232.46,163.48,128.56,94.03,93.9,96.16,-,99.38,-,-,-,93.89,93.89,94.12,94.12
11,Other Intangible Assets,60.39,30.29,20.81,21.11,9.16,9.4,-,9.87,-,-,-,10.82,10.82,11.3,11.3
12,Long-Term Deferred Tax Assets,4.15,4.34,3.97,3.93,4.03,4.07,-,3.08,-,-,-,3,3,1.08,1.08
13,Long-Term Deferred Charges,1,1.13,1.25,1.36,0.97,1.08,-,1.22,-,-,-,0.97,0.97,0.6,0.6
14,Other Long-Term Assets,2.05,10.33,13.58,5.36,12.92,14.37,-,13.05,-,-,-,14.36,14.36,14.23,14.23
15,Total Assets,1349,1342,1304,1300,1270,622.48,-,570.82,-,-,-,526.9,526.9,478.97,478.97
16,Accounts Payable,146.3,167.51,97.39,105.28,102.93,124.56,-,106.8,-,-,-,125.62,125.62,107.74,107.74
17,Accrued Expenses,12.87,14.77,8.28,18.19,8.36,8.5,-,14.49,-,-,-,12.45,17.16,9.89,9.89
18,Current Portion of Leases,2.14,2.53,3.32,3.46,-,3.9,-,3.81,-,-,-,-,2.28,1.89,1.89
19,Current Income Taxes Payable,3.37,1.41,0.99,2.07,2.29,2.71,-,2.47,-,-,-,3,3,2.92,2.92
20,Current Unearned Revenue,25.93,28.12,24.93,18.24,16.04,18.12,-,18.3,-,-,-,11.42,11.42,12.37,12.37
21,Other Current Liabilities,30.64,26.36,24.87,23,29.41,26.6,-,21.11,-,-,-,24.83,17.83,19.63,19.63
22,Total Current Liabilities,221.24,240.71,159.78,170.24,159.03,184.38,-,166.98,-,-,-,177.32,177.32,154.43,154.43
23,Long-Term Leases,8.99,9.36,9.65,10.11,10.74,11.09,-,13.02,-,-,-,14.16,14.16,14.16,14.16
24,Long-Term Unearned Revenue,1.38,1.43,1.48,1.53,1.58,1.63,-,1.73,-,-,-,2.05,2.05,0.35,0.35
25,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,0.39,0.39
26,Total Liabilities,231.62,251.5,170.91,181.88,171.35,197.1,-,181.74,-,-,-,193.53,193.53,169.34,169.34
27,Common Stock,98.31,98.31,98.31,98.31,98.31,73.73,-,73.73,-,-,-,73.73,73.73,73.73,73.73
28,Additional Paid-In Capital,754.89,754.89,754.89,754.89,754.89,124,-,124,-,-,-,123.71,123.71,123.03,123.03
29,Retained Earnings,284.47,262.01,280.32,263.77,245.68,227.3,-,191.14,-,-,-,135.94,135.94,112.87,112.87
30,Treasury Stock,-25.77,-23.56,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Comprehensive Income & Other,5.78,-0.8,-0.26,0.69,0.16,0.34,-,0.21,-,-,-,-,-,-,-
32,Shareholders' Equity,1118,1091,1133,1118,1099,425.38,389.08,389.08,-,-,333.38,333.38,333.38,309.64,309.64
33,Total Liabilities & Equity,1349,1342,1304,1300,1270,622.48,-,570.82,-,-,-,526.9,526.9,478.97,478.97
34,Total Debt,11.13,11.89,12.97,13.58,10.74,14.98,16.84,16.84,-,-,14.16,14.16,16.44,16.05,16.05
