,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,272.31,256.3,177.22,185.03,209.91,219.45,172.11,168.04,164.62,166.07,166.07,199.19,196.88,188.56,188.56
1,Other Revenue,-1.56,1.56,-,2.14,-0.87,0.87,-,1.82,-0.98,0.49,0.49,-1.7,0.62,0.54,0.54
2,Revenue,270.75,257.85,177.22,187.17,209.05,220.31,172.11,169.85,163.64,166.55,166.55,197.49,197.49,189.11,189.11
3,Revenue Growth (YoY),29.52%,17.04%,2.97%,10.20%,27.74%,32.28%,3.34%,-14.00%,-17.14%,-11.93%,-11.93%,-,-,-,-
4,Cost of Revenue,223.52,215.03,146.5,150.77,170.99,181.8,141,133.26,134.43,140.66,140.66,164.97,164.97,162.36,162.36
5,Gross Profit,47.23,42.82,30.72,36.4,38.05,38.51,31.12,36.6,29.21,25.89,25.89,32.53,32.53,26.74,26.74
6,"Selling, General & Admin",14.95,14.04,11.16,15.4,14.21,10.07,8.24,10.89,8.42,7.44,7.44,7.64,7.64,7.45,7.45
7,Research & Development,7.82,7.24,6.21,8.59,6.1,5.11,4.97,6.03,3.97,3.23,3.23,4.6,4.6,2.21,2.21
8,Other Operating Expenses,0.13,0.9,0.16,0.28,-0.61,0.28,0.14,2.76,-0.92,-0.33,-0.33,-2.17,0.36,0.21,0.21
9,Operating Expenses,22.43,24.94,17.5,24.05,19.22,16.75,13.93,18.82,11.19,10.11,10.11,11.21,13.74,9.87,9.87
10,Operating Income,24.81,17.88,13.21,12.35,18.83,21.76,17.19,17.77,18.02,15.78,15.78,21.32,18.78,16.87,16.87
11,Interest Expense,-0.12,-0.26,-0.01,-0.31,-,-0.16,-0.17,-0.25,-0.61,-0.19,-0.19,-0.3,-0.3,-,-
12,Interest & Investment Income,4.9,6.06,4.44,5.93,-,0.84,0.71,0.09,-,0.33,0.33,3.02,3.02,1.62,1.62
13,Currency Exchange Gain (Loss),-2.56,2.56,-,1.07,-3.01,3.01,-,8.32,-,-,-,-0.95,-0.95,-0.69,-0.69
