,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,1383,494.27,1046,458.95,344.99
1,Revenue Growth (YoY),32.17%,7.70%,203.26%,-,-
2,Cost of Revenue,304.47,409.19,342.46,157.25,119.89
3,Gross Profit,1078,85.08,703.77,301.69,225.1
4,"Selling, General & Admin",106.41,110.63,88.36,51.66,41.37
5,Research & Development,652.34,540.62,490.35,502.2,343.79
6,Other Operating Expenses,-48.26,-14.69,27.28,-15.89,-2.37
7,Operating Expenses,710.49,636.56,605.99,537.96,382.79
8,Operating Income,367.84,-551.48,97.78,-236.27,-157.69
9,Interest Expense,-2.51,-5.58,-78.73,-76.34,-72.48
10,Interest & Investment Income,17.66,31.94,13.25,0.96,0.46
11,Currency Exchange Gain (Loss),19.04,9.79,6.29,-10.82,-21.12
12,EBT Excluding Unusual Items,402.03,-515.33,38.59,-322.47,-250.83
13,Gain (Loss) on Sale of Investments,7.27,7.03,3.51,0.51,-
14,Gain (Loss) on Sale of Assets,-0.05,-0.67,-0.82,0.84,4.58
15,Pretax Income,409.25,-508.97,41.28,-321.12,-246.25
16,Income Tax Expense,99.03,34.04,72.41,24.12,24.62
17,Net Income,310.23,-543,-31.13,-345.24,-270.86
18,Preferred Dividends & Other Adjustments,-,-46.17,-5.75,-38.1,-29.9
19,Net Income to Common,310.23,-496.83,-25.38,-307.13,-240.97
20,Shares Outstanding (Basic),220,215,152,96,96
21,Shares Outstanding (Diluted),220,215,152,96,96
22,Shares Change (YoY),44.57%,125.11%,59.38%,-,-
23,EPS (Basic),1.41,-2.31,-0.17,-3.22,-2.52
24,EPS (Diluted),1.41,-2.31,-0.17,-3.22,-2.52
25,Free Cash Flow,-104.13,-460.37,438.95,-142.26,-162.24
26,Free Cash Flow Per Share,-0.47,-2.14,2.88,-1.49,-1.70
27,Operating Margin,26.60%,-111.58%,9.35%,-51.48%,-45.71%
28,Profit Margin,22.43%,-100.52%,-2.43%,-66.92%,-69.85%
29,Free Cash Flow Margin,-7.53%,-93.14%,41.96%,-31.00%,-47.03%
30,EBITDA,390.85,-533.23,113.45,-220.98,-147.01
31,D&A For EBITDA,23.01,18.25,15.67,15.29,10.68
32,EBIT,367.84,-551.48,97.78,-236.27,-157.69
