,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,56726,36948,22555,-,-,-
1,Enterprise Value,53667,34272,20931,-,-,-
2,Last Close Price,249.60,165.80,102.90,-,-,-
3,PE Ratio,-,-184.27,-,-,-,-
4,PS Ratio,26.92,18.32,13.29,-,-,-
5,PB Ratio,16.13,10.71,8.79,-,-,-
6,P/TBV Ratio,10.72,10.72,8.79,-,-,-
7,EV/Sales Ratio,26.61,16.99,12.33,-,-,-
8,EV/EBITDA Ratio,-,-224.01,-,-,-,-
9,EV/EBIT Ratio,-,-173.68,-,-,-,-
10,Debt / Equity Ratio,0.01,0.01,0.03,-0.16,-0.93,-
11,Debt / FCF Ratio,-,-,-,0.29,-,-
12,Return on Capital Employed (ROCE),-,-5.60%,-,-,-,-
13,Earnings Yield,-0.35%,-0.68%,-2.80%,-,-,-
14,FCF Yield,-1.07%,-1.64%,-0.10%,-,-,-
15,Buyback Yield / Dilution,-75.62%,-44.57%,-125.11%,-59.38%,-,-
16,Total Shareholder Return,-75.62%,-44.57%,-125.11%,-59.38%,-,-
