,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,67.14,160.97,217.74,189.25,223.41,195.81,245.24,229.6,217.4,470.01
1,Revenue Growth (YoY),-69.16%,-14.94%,-2.54%,-3.35%,-8.90%,-14.72%,12.81%,-51.15%,-42.15%,-
2,Cost of Revenue,62.19,144.69,210.45,185.98,216.06,202.33,218.15,216.66,192.89,402.95
3,Gross Profit,4.95,16.28,7.28,3.28,7.35,-6.52,27.09,12.94,24.51,67.06
4,"Selling, General & Admin",6.47,6.01,4.8,4.9,6.48,8.15,7.9,9.36,14.38,8.81
5,Operating Expenses,-6.8,46.59,5.3,28.74,10.94,-7.39,15.54,18.15,19.35,8.45
6,Operating Income,11.75,-30.3,1.98,-25.46,-3.59,0.87,11.55,-5.21,5.16,58.61
7,Interest Expense,-2.73,-3.13,-2.4,-2.45,-2.46,-2.78,-4.03,-2.84,-3.8,-1.23
8,Interest & Investment Income,0.01,0.04,0,-,0.01,0.01,0.06,0.67,1.02,1.15
9,Currency Exchange Gain (Loss),-,-0,0,-,-,0.01,-0.01,-0.33,-0.03,0.19
10,Other Non Operating Income (Expenses),0.03,1.2,0.54,-0.05,1.96,-3.53,2.16,3.74,6.24,-20
11,EBT Excluding Unusual Items,9.05,-32.19,0.12,-27.96,-4.09,-5.42,9.72,-3.97,8.6,38.72
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,2.59
13,Gain (Loss) on Sale of Assets,0.47,-,-,-,-,-,-,-,-,-0.19
14,Asset Writedown,-,-,-,-0.03,-,0.12,-0.12,-,-0.27,-
15,Other Unusual Items,-,-,-,-,-,-0.15,0.15,-,0.01,1.1
16,Pretax Income,9.53,-32.19,0.12,-27.99,-4.09,-5.45,9.75,-3.97,8.34,42.23
17,Income Tax Expense,4.16,-8.73,0.02,-19.76,-0.65,-0.25,4.09,1.76,-0.21,19.14
18,Earnings From Continuing Operations,5.37,-23.46,0.1,-8.23,-3.43,-5.2,5.66,-5.73,8.55,23.08
19,Minority Interest in Earnings,-,-0.16,0.04,0.25,0.03,-0.05,0.04,-0.24,0.26,0.1
20,Net Income,5.37,-23.62,0.15,-7.98,-3.4,-5.25,5.7,-5.97,8.81,23.18
21,Net Income to Common,5.37,-23.62,0.15,-7.98,-3.4,-5.25,5.7,-5.97,8.81,23.18
22,Net Income Growth,3575.34%,-,-,-,-,-,-35.30%,-,-32.76%,-
23,Shares Outstanding (Basic),411,400,400,400,400,400,400,400,400,327
24,Shares Outstanding (Diluted),411,400,400,400,400,400,400,400,400,327
25,Shares Change (YoY),2.64%,-,-,-,-,-,-,22.17%,33.91%,-
26,EPS (Basic),0.01,-0.06,0.00,-0.02,-0.01,-0.01,0.01,-0.01,0.02,0.07
27,EPS (Diluted),0.01,-0.06,0.00,-0.02,-0.01,-0.01,0.01,-0.01,0.02,0.07
28,EPS Growth,3480.82%,-,-,-,-,-,-35.31%,-,-49.79%,-
29,Free Cash Flow,26.62,23.24,-59.75,-9.79,-23.54,8.37,3.29,-39.42,-50.47,-74.42
30,Free Cash Flow Per Share,0.06,0.06,-0.15,-0.02,-0.06,0.02,0.01,-0.10,-0.13,-0.23
31,Operating Margin,17.50%,-18.83%,0.91%,-13.45%,-1.61%,0.44%,4.71%,-2.27%,2.37%,12.47%
32,Profit Margin,7.99%,-14.67%,0.07%,-4.22%,-1.52%,-2.68%,2.32%,-2.60%,4.05%,4.93%
33,Free Cash Flow Margin,39.65%,14.44%,-27.44%,-5.17%,-10.53%,4.27%,1.34%,-17.17%,-23.22%,-15.83%
34,EBITDA,11.77,-30.3,2,-25.43,-3.56,0.9,11.75,-6.17,6.39,57.83
35,D&A For EBITDA,0.02,0.01,0.02,0.03,0.03,0.03,0.2,-0.96,1.24,-0.78
36,EBIT,11.75,-30.3,1.98,-25.46,-3.59,0.87,11.55,-5.21,5.16,58.61
