,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,37.63,17.85,0.82,5.08,15.24,34.87,9.48,1.07,70.37,68.03
1,Short-Term Investments,-,-,-,-,-,-,-,16.7,-,-
2,Cash & Short-Term Investments,37.63,17.85,0.82,5.08,15.24,34.87,9.48,17.77,70.37,68.03
3,Cash Growth,4477.74%,251.39%,-94.61%,-85.43%,60.79%,96.18%,-86.53%,-73.88%,-,-
4,Accounts Receivable,224.43,339.42,355.24,380.76,337.28,317.08,359.19,340.06,222.27,339.19
5,Other Receivables,11.25,7.28,8.35,7.33,5.07,8.9,8.25,7.99,10.06,52.44
6,Receivables,235.68,346.7,363.58,388.09,342.36,325.98,370.34,357.78,244.85,404.21
7,Other Current Assets,312.18,190.01,167.37,170.09,240.6,39.42,65.64,23.57,144.53,99.38
8,Total Current Assets,585.49,554.56,531.78,563.27,598.2,400.27,445.46,399.12,459.74,571.63
9,"Property, Plant & Equipment",0.29,0.32,0.32,0.34,0.4,0.43,0.46,1.81,2.37,5.23
10,Other Intangible Assets,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04
11,Long-Term Deferred Tax Assets,15.6,20.77,10.66,10.53,4.29,3.54,8.12,6.29,4.06,2.79
12,Other Long-Term Assets,-,-,-,-,-,-,0.15,0.15,0.15,0.3
13,Total Assets,601.4,575.66,542.78,574.17,602.91,404.27,454.22,407.41,466.37,579.99
14,Accounts Payable,130.66,195.48,114.52,200.16,206.61,32.2,87.97,35.84,86.03,215.11
15,Accrued Expenses,106.07,14.66,10.44,11.53,10.69,5.99,8.25,8.49,3.59,19.8
16,Short-Term Debt,-,14.67,-,-,-,-,6.38,-,-,-
17,Current Portion of Long-Term Debt,88.98,118.98,142.68,87.18,120.2,115.98,78,75.51,131.92,98.35
18,Current Portion of Leases,-,-,-,-,-,0.31,-,0.87,0.86,1.64
19,Current Income Taxes Payable,0.12,1.26,-,0.15,12.73,14.57,18.12,15.14,14.83,20.12
20,Current Unearned Revenue,19.51,17.07,38.16,38.26,37.57,16.61,1.94,2,0.8,2.39
21,Other Current Liabilities,11.16,0.76,0.76,0.76,0.76,0.82,0.56,1.94,4.61,5.62
22,Total Current Liabilities,356.51,362.88,306.55,338.04,388.56,186.48,201.24,139.78,242.65,363.03
23,Long-Term Debt,20.8,30,30,30,-,-,30,50,-,-
24,Long-Term Leases,-,-,-,-,-,-,-,0.31,0.63,2.46
25,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,0.03,-
26,Total Liabilities,377.31,392.88,336.55,368.04,388.56,186.48,231.24,190.09,243.32,365.5
27,Common Stock,4.31,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58
28,Additional Paid-In Capital,125.16,89.94,89.94,89.94,89.94,89.94,89.94,89.94,89.94,89.94
29,Retained Earnings,-10.27,51.02,74.64,74.49,82.47,85.87,91.13,85.43,91.39,82.58
30,Comprehensive Income & Other,104.9,38.25,38.25,38.25,38.25,38.25,38.25,38.25,38.25,38.25
31,Total Common Equity,224.1,182.79,206.41,206.26,214.24,217.64,222.9,217.2,223.16,214.36
32,Minority Interest,-0.02,-0.02,-0.18,-0.14,0.11,0.14,0.09,0.12,-0.11,0.14
33,Shareholders' Equity,224.09,182.77,206.23,206.12,214.35,217.79,222.99,217.32,223.05,214.5
34,Total Liabilities & Equity,601.4,575.66,542.78,574.17,602.91,404.27,454.22,407.41,466.37,579.99
35,Total Debt,109.78,163.66,172.68,117.18,120.2,116.29,114.38,126.69,133.42,102.45
36,Net Cash (Debt),-72.16,-145.8,-171.86,-112.1,-104.96,-81.43,-104.91,-108.91,-63.06,-34.42
37,Net Cash Per Share,-0.18,-0.36,-0.43,-0.28,-0.26,-0.20,-0.26,-0.27,-0.16,-0.11
38,Filing Date Shares Outstanding,410.55,400,400,400,400,400,400,400,400,400
39,Total Common Shares Outstanding,410.55,400,400,400,400,400,400,400,400,400
40,Working Capital,228.98,191.67,225.23,225.23,209.64,213.79,244.22,259.34,217.09,208.6
41,Book Value Per Share,0.55,0.46,0.52,0.52,0.54,0.54,0.56,0.54,0.56,0.54
42,Tangible Book Value,224.09,182.77,206.39,206.24,214.22,217.62,222.87,217.17,223.13,214.32
43,Tangible Book Value Per Share,0.55,0.46,0.52,0.52,0.54,0.54,0.56,0.54,0.56,0.54
44,Machinery,-,6.94,-,6.94,-,6.94,-,6.94,-,6.94
45,Leasehold Improvements,-,-,-,-,-,0.23,-,0.23,-,0.65
