,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,142,224,204,173,48,48,42,58,68,126,111
1,Market Cap Growth,30.03%,30.03%,325.60%,260.52%,12.62%,-17.14%,-37.58%,-54.10%,-38.89%,-25.61%,-40.00%
2,PE Ratio,-,-,-,-,-,-,-,-,-,-2.69,-
3,PS Ratio,1.61,2.87,2.44,2.47,0.94,3.46,-13.92,84.80,-4.88,-15.39,-50.93
4,PB Ratio,8.69,13.98,11.48,-8.40,-1.91,-0.07,-0.06,-0.51,-0.62,3.58,7.29
5,P/FCF Ratio,-,-,-,-,101.16,-,-,-,3.45,10.50,3.81
6,P/OCF Ratio,10.60,8.98,7.68,3.76,1.60,-,15.72,-,3.45,10.50,3.81
7,Debt / Equity Ratio,3.18,3.18,2.45,-4.10,-3.75,-1.14,-1.15,-6.20,-6.00,18.08,40.30
8,Debt / FCF Ratio,-,-,-,-,197.95,-,-,-,33.46,53.04,21.06
9,Earnings Yield,-8.90%,-5.64%,-4.72%,-59.44%,-260.41%,-1234.01%,-1335.77%,-243.41%,-178.34%,-37.16%,-59.01%
10,Earnings Yield,-8.90%,-5.64%,-4.72%,-59.44%,-260.41%,-1234.01%,-1335.77%,-243.41%,-178.34%,-37.16%,-59.01%
11,FCF Yield,-14.39%,-12.61%,-11.26%,2.98%,0.99%,-15.41%,-15.19%,19.75%,28.99%,9.52%,26.26%
12,Buyback Yield / Dilution,-28.82%,-40.29%,-17.11%,-2.00%,-,-,-,-,-,-,-
13,Total Shareholder Return,-28.82%,-40.29%,-17.11%,-2.00%,-,-,-,-,-,-,-
