,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,182.93,201.66,177.33,196.71,162.72,201.01,160.93,169.33,142.17,155.77,170.24,166.07,148.18,147.09,147.09
1,Revenue Growth (YoY),12.42%,0.32%,10.19%,16.16%,14.45%,29.04%,-5.47%,1.96%,-4.05%,5.91%,15.74%,-,-,-,-
2,Cost of Revenue,114.61,116.88,110.23,115.61,101.09,115.32,102.31,109.78,93.03,94.02,105.79,105.71,93.9,87.82,87.82
3,Gross Profit,68.32,84.78,67.1,81.1,61.63,85.69,58.62,59.56,49.14,61.75,64.45,60.37,54.27,59.27,59.27
4,"Selling, General & Admin",31.6,33.15,31.21,37.7,18.98,18.08,19.68,21.92,21.24,15.63,16.54,16.74,19.46,17.82,17.82
5,Research & Development,13.97,14.12,14.13,13.77,13.34,12.18,13.57,14.24,11.77,11.42,12.57,12.28,10.11,9.4,9.4
6,Other Operating Expenses,0.97,0.86,0.96,1,-6.95,0.4,-2.86,4.79,-0.6,-1.49,0.31,3.44,0.34,-0.17,-0.17
7,Operating Expenses,43.14,52.51,48.09,52.01,24.35,33.69,33.71,38.58,32.69,25.53,35.12,32.24,32.6,29.59,29.59
8,Operating Income,25.18,32.27,19.01,29.09,37.28,52,24.91,20.98,16.44,36.23,29.33,28.12,21.67,29.68,29.68
9,Interest Expense,-1.21,-0.82,-0.56,-0.11,-0.14,-0.17,-0.18,-0.2,-0.22,-0.12,-0.14,-0.13,-0.15,-0.15,-0.15
10,Interest & Investment Income,4.84,6.52,5.31,9.64,6.94,9.91,8.11,9.31,4.16,0.49,1.08,4.04,0.63,0.4,0.4
11,Currency Exchange Gain (Loss),-0.7,0.7,-,1.38,-3.12,3.12,-,5.73,-3.32,3.32,-,-1.34,0.56,-0.28,-0.28
12,Other Non Operating Income (Expenses),-0.86,-0.53,0.15,-2.87,2.53,1.14,-1.19,-7.66,7.64,-0.28,-0.29,0.01,-0.03,-0.2,-0.2
13,EBT Excluding Unusual Items,27.25,38.14,23.91,37.13,43.49,66.01,31.65,28.17,24.71,39.63,29.99,30.7,22.67,29.45,29.45
14,Gain (Loss) on Sale of Investments,2.75,3.81,2.88,2.03,1.42,0.02,0.51,-,0.3,-,0.61,-,-,-1.05,-1.05
15,Gain (Loss) on Sale of Assets,0,-0.04,-0.03,-,-,-0.02,-,-0.01,-,-0,-,-0,0.02,-0.02,-0.02
16,Asset Writedown,-3.26,1.13,-1.13,-,-,-,-,-,-,-,-,-,-,-,-
17,Other Unusual Items,0.18,0.36,1.27,0.24,-,-,-,5.5,-,-,-,3.44,-,-,-
18,Pretax Income,26.92,43.4,26.89,39.4,44.91,66.01,32.16,33.65,25.01,39.63,30.6,34.13,22.69,28.39,28.39
19,Income Tax Expense,0.65,7.34,3.32,2.85,5.02,8.27,3.48,3.87,2.65,4.95,3.29,4.45,2.21,3.29,3.29
20,Earnings From Continuing Operations,26.27,36.05,23.57,36.55,39.89,57.74,28.68,29.78,22.36,34.68,27.31,29.68,20.48,25.09,25.09
21,Minority Interest in Earnings,-0.36,-0.59,-0.52,0.12,-0.01,-0.56,0.11,-0.18,0.18,-0.13,-0.56,-1.08,-0.11,0.04,0.04
22,Net Income,25.91,35.46,23.05,36.68,39.88,57.18,28.79,29.6,22.54,34.56,26.75,28.6,20.37,25.13,25.13
23,Net Income to Common,25.91,35.46,23.05,36.68,39.88,57.18,28.79,29.6,22.54,34.56,26.75,28.6,20.37,25.13,25.13
24,Net Income Growth,-35.04%,-37.98%,-19.95%,23.90%,76.97%,65.47%,7.63%,3.49%,10.62%,37.51%,6.45%,-,-,-,-
25,Shares Outstanding (Basic),96,96,96,24,97,95,96,96,89,72,73,71,72,72,72
26,Shares Outstanding (Diluted),96,96,96,24,97,95,96,96,89,72,73,71,72,72,72
