,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,690.99,511.6,811.08,991.48,982.47,1358,1319,1522,1226,349.9,-,361.6,-,-,-
1,Trading Asset Securities,1045,1190,888.04,712.39,661.42,200.02,220.51,-,240.3,-,-,-,-,-,-
2,Cash & Short-Term Investments,1736,1702,1699,1704,1644,1558,1539,1522,1467,349.9,361.6,361.6,-,-,293.82
3,Cash Growth,5.61%,9.21%,10.38%,11.93%,12.08%,345.34%,325.72%,321.00%,-,-,23.07%,-,-,-,-
4,Accounts Receivable,278.56,265.71,259.13,238.31,235.69,270.63,243.6,222.26,229.6,225.73,-,179.76,-,-,-
5,Other Receivables,4.21,8.43,4.68,7.67,3.44,3.69,3.7,7.29,2.6,6.43,-,8.78,-,-,-
6,Receivables,282.77,274.13,263.81,245.98,239.13,274.31,247.3,229.55,232.2,232.17,-,188.54,-,-,-
7,Inventory,63.46,59.82,63.01,51.26,50.5,49.23,55.68,53.01,55.06,50.19,-,43.27,-,-,-
8,Other Current Assets,6.39,3.26,9.45,5.1,6.48,5.68,7.66,3.75,10.54,13.17,-,11.71,-,-,-
9,Total Current Assets,2089,2039,2035,2006,1940,1887,1850,1809,1765,645.42,-,605.11,-,-,-
10,"Property, Plant & Equipment",60.18,54.96,57.15,40.93,44.56,47.5,50.35,52.45,42.44,37.99,-,33.75,-,-,-
11,Long-Term Investments,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Goodwill,85.6,85.6,85.6,0.08,0.08,0.08,0.08,0.08,0.08,0.08,-,0.08,-,-,-
13,Other Intangible Assets,17.85,20.13,20.04,17.93,20.54,17.04,13.45,12.83,12.33,14.19,-,17.88,-,-,-
14,Long-Term Deferred Tax Assets,12.57,8.78,9.23,7.62,6.26,6.16,5.69,7.28,5.22,5.17,-,4.16,-,-,-
15,Long-Term Deferred Charges,0.9,0.91,0.55,1.04,1.48,1.93,2.46,1.83,1.45,1.7,-,2.51,-,-,-
16,Other Long-Term Assets,33,-,-,-,-,-,-,-,13.98,13.98,-,13.98,-,-,-
17,Total Assets,2299,2242,2208,2074,2013,1960,1922,1883,1840,718.52,-,677.47,-,-,-
18,Accounts Payable,47.4,49.93,44.79,-,46.09,41.19,37.06,-,49.64,41.25,-,-,-,-,-
19,Accrued Expenses,26,28.62,32.95,60.68,22.99,26.16,29.82,53.79,2.02,25.24,-,49.36,-,-,-
20,Short-Term Debt,55.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,35.72,6.94,6.83,5.99,8.17,9.28,9.95,9.55,9.63,6.79,-,7.08,-,-,-
22,Current Income Taxes Payable,11.12,6.21,11.46,7.17,9.9,7.03,8.59,4.08,5.51,4.93,-,2.86,-,-,-
23,Current Unearned Revenue,227.58,208.51,222.52,200.42,190.48,179.31,189.75,183.22,185.16,161.54,-,150.9,-,-,-
24,Other Current Liabilities,41.78,74.2,26.4,40.1,25.89,27.78,18.33,29.88,15.02,17.92,-,24.24,-,-,-
25,Total Current Liabilities,444.75,374.41,344.95,314.36,303.52,290.75,293.51,280.52,266.98,257.67,-,234.43,-,-,-
26,Long-Term Leases,9.95,7.3,7,2.88,3.48,3.79,5.32,6.13,8.77,6.55,-,3.9,-,-,-
27,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
28,Long-Term Deferred Tax Liabilities,4.67,3.86,3.69,1.76,0.25,0.05,0.13,2.42,0.1,0.04,-,0.05,-,-,-
29,Other Long-Term Liabilities,50.65,50.13,75.53,0.16,0.3,0.25,0.28,0.27,0.25,0.13,-,0.28,-,-,-
30,Total Liabilities,510.02,435.7,431.18,319.17,307.55,294.83,299.24,289.35,276.09,264.39,-,239.66,-,-,-
31,Common Stock,96,96,96,96,96,96,60,60,60,45,-,45,-,-,-
32,Additional Paid-In Capital,1085,1073,1060,1057,-,1044,1079,1079,1079,6.68,-,17.71,-,-,-
33,Retained Earnings,661.27,635.36,619.1,596.05,559.6,519.72,477.54,448.52,419,396.46,-,359.71,-,-,-
34,Treasury Stock,-56.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-0.72,-0.4,-0.43,-0.41,1043,-0.34,-0.07,-0.15,-0.2,-0.01,-,0.12,-,-,-
36,Total Common Equity,1785,1804,1774,1748,1699,1659,1617,1588,1558,448.13,422.53,422.53,-,-,322.83
37,Minority Interest,3.37,3.09,2.49,6.24,6.39,6.37,5.88,5.97,5.78,6,-,15.28,-,-,-
38,Shareholders' Equity,1789,1807,1777,1755,1705,1665,1623,1594,1564,454.13,437.81,437.81,-,-,336.98
39,Total Liabilities & Equity,2299,2242,2208,2074,2013,1960,1922,1883,1840,718.52,-,677.47,-,-,-
40,Total Debt,100.81,14.24,13.83,8.86,11.65,13.07,15.28,15.68,18.4,13.35,10.98,10.98,-,-,-
41,Net Cash (Debt),1635,1687,1685,1695,1632,1545,1524,1507,1448,336.55,350.62,350.62,-,-,293.82
42,Net Cash Growth,0.19%,9.21%,10.58%,12.50%,12.70%,359.12%,334.69%,329.70%,-,-,19.33%,-,-,-,-
43,Net Cash Per Share,17.04,17.61,17.55,69.64,16.80,16.25,15.88,15.71,16.34,4.69,4.83,4.91,-,-,4.09
44,Filing Date Shares Outstanding,94.56,96,96,96,96,96,96,96,96,72,72.54,72,72.34,71.8,71.8
45,Total Common Shares Outstanding,94.56,96,96,96,96,96,96,96,96,72,72.54,72,72.34,71.8,71.8
46,Working Capital,1644,1665,1690,1692,1636,1597,1557,1528,1498,387.75,-,370.68,-,-,-
47,Book Value Per Share,18.88,18.79,18.48,18.21,17.70,17.28,16.84,16.54,16.23,6.22,5.87,5.87,-,-,4.48
48,Tangible Book Value,1682,1698,1669,1730,1678,1642,1603,1575,1546,433.86,404.56,404.56,-,-,299.79
