,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5228,4772,3227,4835,6190,6835,4829,6738,4940,4146,-,-,-,-,-,-
1,Market Cap Growth,-30.18%,-30.18%,-33.18%,-28.25%,25.30%,64.86%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3596,3088,1544,3209,4564,5296,3311,5295,3498,3815,-,-,-,-,-,-
3,Last Close Price,54.13,49.71,33.41,50.06,64.10,70.78,50.00,69.56,51.00,42.80,-,-,-,-,-,-
4,PE Ratio,34.88,39.41,23.89,30.83,38.09,43.97,34.96,58.34,43.55,36.87,-,-,-,-,-,-
5,Forward PE,36.45,29.65,18.78,24.18,33.07,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,5.57,6.29,4.37,6.55,8.58,9.85,7.17,10.73,7.75,6.54,-,-,-,-,-,-
7,PB Ratio,2.87,2.67,1.79,2.72,3.53,4.01,2.90,4.15,3.10,2.65,-,-,-,-,-,-
8,P/TBV Ratio,2.84,2.84,1.90,2.90,3.58,4.07,2.94,4.20,3.14,2.68,-,-,-,-,-,-
9,P/FCF Ratio,34.46,31.45,16.67,27.27,35.85,39.15,45.35,53.63,45.06,34.23,-,-,-,-,-,-
10,P/OCF Ratio,28.27,28.27,15.28,24.41,32.15,34.66,37.81,46.77,37.87,26.99,-,-,-,-,-,-
11,EV/Sales Ratio,4.74,4.07,2.09,4.35,6.33,7.63,4.92,8.43,5.49,6.02,-,-,-,-,-,-
12,EV/EBITDA Ratio,32.20,27.41,12.36,22.22,30.33,37.17,26.20,47.86,29.21,29.00,-,-,-,-,-,-
13,EV/EBIT Ratio,38.51,29.26,13.12,23.36,31.86,39.18,28.96,53.73,33.97,34.64,-,-,-,-,-,-
14,EV/FCF Ratio,23.70,20.35,7.98,18.10,26.43,30.33,31.09,42.15,31.90,31.50,-,-,-,-,-,-
15,Debt / Equity Ratio,0.06,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,-,-,-
16,Debt / EBITDA Ratio,0.90,0.94,0.09,0.17,0.05,0.07,0.05,0.14,0.11,0.20,0.08,0.08,0.06,-,-,-
17,Debt / FCF Ratio,0.66,0.66,0.07,0.08,0.05,0.07,0.12,0.12,0.14,0.15,0.14,-,0.14,-,-,-
18,Asset Turnover,0.32,0.36,0.33,0.39,0.33,0.41,0.34,0.36,0.44,-,-,-,-,-,-,
19,Inventory Turnover,8.03,7.44,7.61,7.72,9.09,8.11,8.79,7.53,8.13,7.07,-,-,-,-,-,-
20,Quick Ratio,4.54,4.54,5.28,5.69,6.20,6.20,6.30,6.09,6.24,6.36,2.26,-,2.35,-,-,-
21,Current Ratio,4.70,4.70,5.45,5.90,6.38,6.39,6.49,6.30,6.45,6.61,2.50,-,2.58,-,-,-
22,Return on Equity (ROE),5.84%,8.05%,5.34%,8.45%,9.47%,14.05%,7.13%,7.55%,8.86%,31.11%,24.95%,-,-,-,-,
23,Return on Assets (ROA),2.77%,3.63%,2.22%,3.56%,4.69%,6.70%,3.27%,2.82%,3.21%,-,-,-,-,-,-,
24,Return on Capital (ROIC),3.39%,4.47%,2.67%,4.18%,5.49%,7.84%,3.83%,3.29%,4.01%,19.77%,16.34%,-,-,-,-,
25,Return on Capital Employed (ROCE),5.04%,5.69%,6.30%,7.37%,8.14%,7.91%,6.85%,6.05%,6.43%,7.00%,25.03%,-,24.64%,-,-,-
26,Earnings Yield,2.32%,2.54%,4.19%,3.24%,2.63%,2.27%,2.86%,1.71%,2.30%,2.71%,-,-,-,-,-,-
27,FCF Yield,2.90%,3.18%,6.00%,3.67%,2.79%,2.55%,2.20%,1.86%,2.22%,2.92%,-,-,-,-,-,-
28,Dividend Yield,0.35%,-,-,-,0.31%,-,-,-,0.31%,-,-,-,-,-,-,-
29,Payout Ratio,15.34%,71.70%,-,-,-,0.19%,10.03%,-,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,18.75%,1.25%,-0.76%,-0.06%,74.63%,-9.61%,-32.57%,-32.31%,-34.29%,-22.55%,0.12%,-1.02%,-,-,-,-
31,Total Shareholder Return,19.10%,1.25%,-0.76%,-0.06%,74.94%,-9.61%,-32.57%,-32.31%,-33.98%,-22.55%,0.12%,-1.02%,-,-,-,-
