,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2010
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Dec '10 Dec 31, 2010"
0,Revenue,81240,85941,73773,54360,59774,58194,63924,53189,70838,79382,82900,49713,50818,43009,69902,58104,43188,177664
1,Revenue Growth (YoY),35.91%,47.68%,15.41%,2.20%,-15.62%,-26.69%,-22.89%,6.99%,39.40%,84.57%,18.59%,-14.44%,17.67%,-75.79%,-,-,-,-
2,Cost of Revenue,75057,77197,65904,50727,56847,54274,56173,48300,65560,70228,74648,47045,48052,40682,62825,53352,40964,148070
3,Gross Profit,6183,8744,7869,3633,2927,3920,7751,4889,5278,9154,8251,2668,2765,2326,7078,4752,2224,29594
4,"Selling, General & Admin",3039,3885,2823,1465,849.51,1085,2037,1984,2420,2597,3249,1070,1161,1337,3955,2617,1497,18247
5,Operating Expenses,3039,3885,2823,1465,849.51,1085,2037,1984,2420,2597,3249,1070,1161,1337,3955,2617,1497,18247
6,Operating Income,3144,4859,5046,2169,2078,2835,5714,2906,2857,6557,5002,1597,1605,989.24,3123,2135,726.59,11347
7,Interest Expense,-139.51,-105.11,-178.2,-185.13,-241.41,-256.82,-520.48,-457.83,-381.92,-265,-436.97,-482,-574.67,-419.13,-524.61,-511.53,-575.96,-2.19
8,Interest & Investment Income,24.56,13.26,1.7,1.01,10.02,5.76,0.93,0.84,0.91,1.09,1.2,1.29,1.14,1.34,1.56,1.35,520.35,436.55
