,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2010
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Dec '10 Dec 31, 2010"
0,Market Capitalization,89304,82134,74311,76267,70400,69097,65837,76267,71052,59971,71704,72356,78223,79526,75615,67793,69097,67793,74973
1,Market Cap Growth,18.87%,18.87%,12.87%,0%,-0.92%,15.22%,-8.18%,5.41%,-9.17%,-24.59%,-5.17%,6.73%,13.21%,17.31%,0.86%,-,-,-,-
2,Enterprise Value,78946,77307,69485,91673,74061,70706,79425,96401,88210,70228,84763,106342,112209,88374,84463,76641,77944,76641,-
3,Last Close Price,13700.00,12600.00,11400.00,10628.24,9810.69,9629.01,9174.81,9372.94,8732.06,7370.17,8812.17,8616.85,9315.52,9470.77,9005.00,8073.45,8228.71,8073.45,3992.83
4,PE Ratio,7.11,7.20,7.83,10.32,9.23,8.45,7.42,6.21,6.21,5.82,8.54,19.11,30.02,-,18.95,5.37,6.49,7.18,8.27
5,PS Ratio,0.30,0.28,0.27,0.31,0.30,0.29,0.27,0.29,0.25,0.21,0.27,0.32,0.37,0.36,0.35,0.19,0.25,0.31,0.42
6,PB Ratio,1.05,0.96,0.87,0.89,0.86,0.86,0.81,0.87,0.85,0.73,0.89,0.93,1.05,1.07,-,-,-,-,0.59
7,P/TBV Ratio,0.97,0.97,0.87,0.89,0.86,0.86,0.82,0.88,0.85,0.74,0.89,0.94,1.06,1.08,-,-,-,-,0.59
8,P/FCF Ratio,4.09,3.77,2.97,2.71,-,2.97,7.49,43.61,-,-,14.11,-,-9.56,-,-,-,-,-,-
9,P/OCF Ratio,3.03,3.03,2.52,2.40,-,2.79,6.03,18.65,-,-,12.90,-,-9.82,-,-,-,-,-,-
10,EV/Sales Ratio,0.26,0.26,0.25,0.37,0.31,0.30,0.32,0.36,0.31,0.25,0.32,0.47,0.53,0.40,0.39,0.22,0.28,0.35,-
11,EV/EBIT Ratio,4.66,5.08,4.91,7.56,5.79,5.23,5.55,5.35,5.09,4.39,5.74,11.57,15.34,11.25,12.11,4.42,5.49,6.35,-
12,EV/FCF Ratio,3.62,3.54,2.78,3.25,-,3.04,9.03,55.13,-,-,16.68,-,-13.72,-,-,-,-,-,-
13,Debt / Equity Ratio,-,-,-,-,0.20,0.06,0.06,0.26,0.28,0.23,0.16,0.20,0.45,0.45,-,-,-,-,0.00
14,Debt / FCF Ratio,-,-,-,-,-,0.22,0.59,13.02,-,-,2.54,-,-4.10,-,-,-,-,-,-
15,Asset Turnover,2.24,2.48,2.24,1.66,1.82,1.67,1.74,1.43,1.94,2.17,-,-,-,-,-,-,-,-,
16,Inventory Turnover,27.13,32.42,32.71,26.30,19.19,21.22,23.89,35.94,33.26,43.67,46.42,-,-,-,-,-,-,-,-
17,Quick Ratio,1.61,1.61,1.61,1.73,1.64,1.53,1.53,1.54,1.47,1.34,1.38,1.23,-,1.10,-,-,-,-,0.54
18,Current Ratio,1.77,1.77,1.77,1.95,1.87,1.76,1.76,1.66,1.55,1.44,1.47,1.32,-,1.19,-,-,-,-,1.68
19,Return on Equity (ROE),12.10%,17.47%,17.96%,6.45%,3.35%,7.76%,18.70%,8.99%,6.72%,25.42%,-,4.02%,-,-,-,-,-,-,
20,Return on Assets (ROA),5.41%,8.75%,9.59%,4.14%,3.96%,5.09%,9.73%,4.87%,4.88%,11.20%,-,-,-,-,-,-,-,-,
21,Return on Capital (ROIC),9.20%,14.19%,13.67%,5.87%,6.04%,7.23%,13.13%,6.96%,7.33%,17.50%,-,3.71%,-,-,-,-,-,-,
22,Return on Capital Employed (ROCE),19.82%,17.82%,16.57%,14.14%,15.58%,16.75%,17.71%,20.66%,20.63%,19.51%,18.18%,11.72%,-,10.44%,-,-,-,-,8.67%
23,Earnings Yield,14.06%,13.88%,12.78%,9.69%,10.83%,11.83%,13.47%,16.10%,16.09%,17.20%,11.71%,5.23%,3.33%,3.86%,5.28%,18.61%,15.40%,13.92%,12.09%
24,FCF Yield,24.42%,26.56%,33.64%,36.95%,20.59%,33.67%,13.36%,2.29%,-6.75%,0.77%,7.09%,-,-10.46%,-,-15.22%,-3.09%,-1.52%,-,-
25,Dividend Yield,8.63%,-,-,-,-,-,-,-,-,20.35%,-,-,-,3.70%,-,-,-,-,-
26,Payout Ratio,62.29%,151.37%,104.62%,-,-,722.48%,299.65%,-,-,166.81%,-,-,-,-,-,-,-,-,-
27,Buyback Yield / Dilution,-0.03%,-0.28%,-0.04%,-0.00%,-0.09%,0.10%,0.11%,-0.10%,0.11%,-0.37%,5.33%,5.85%,5.17%,0.93%,29.14%,-,-,-,-
28,Total Shareholder Return,8.60%,-0.28%,-0.04%,-0.00%,-0.09%,0.10%,0.11%,-0.10%,0.11%,19.98%,5.33%,5.85%,5.17%,4.62%,29.14%,-,-,-,-
