,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2010
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Dec '10 Dec 31, 2010"
0,Cash & Equivalents,10358,10358,4826,1341,1519,1519,9188,3416,2042,2642,2738,-,1193,-,-,-,-,28400
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-1684,-,-,-,-,-
2,Cash & Short-Term Investments,10358,10358,4826,1341,1519,1519,9188,3416,2042,2642,2738,1193,-491.18,-,-,-,-,28400
3,Cash Growth,581.82%,581.82%,-47.47%,-60.75%,-25.61%,-42.51%,235.51%,186.44%,-,-,-,-,-,-,-,-,-,-
4,Accounts Receivable,84955,84955,75706,77489,75512,75512,81954,87258,90117,78860,85997,-,74177,-,-,-,-,19798
5,Other Receivables,593.81,593.81,416.44,430.54,351.23,351.23,887.51,863.55,832.93,935,958.7,-,861.61,-,-,-,-,2253
6,Receivables,85549,85549,76123,77920,75863,75863,82842,88121,90950,79795,86956,-,75039,-,-,-,-,22051
7,Inventory,9262,9262,9618,10426,10716,10716,7460,5043,6573,5438,6665,-,5603,-,-,-,-,100970
8,Prepaid Expenses,48.58,48.58,101.55,50.03,48.17,48.17,77.1,45.05,32.68,67.98,137.03,-,169.19,-,-,-,-,-
9,Other Current Assets,467.99,467.99,665.1,510.57,547.09,547.09,208.48,314.3,424.71,206.69,359.52,-,635.07,-,-,-,-,5472
10,Total Current Assets,105685,105685,91334,90247,88694,88694,99775,96939,100022,88149,96856,-,80954,-,-,-,-,156894
11,"Property, Plant & Equipment",30926,30926,32788,31610,33778,33778,38103,39838,41828,42900,44315,-,49185,-,-,-,-,52905
12,Long-Term Investments,1891,1891,1574,1665,1763,1763,2176,2356,2492,2803,3098,-,5320,-,-,-,-,-
13,Other Intangible Assets,339.46,339.46,394.46,421.96,449.46,449.46,504.46,531.96,559.46,586.96,614.46,-,669.46,-,-,-,-,40.64
14,Long-Term Deferred Tax Assets,14.93,14.93,27.72,27.72,27.72,27.72,40.52,40.52,40.52,53.32,53.32,-,53.32,-,-,-,-,446.07
15,Other Long-Term Assets,6312,6312,6424,6482,6545,6545,6638,6701,6764,6657,6700,-,6749,-,-,-,-,14111
16,Total Assets,145169,145169,132542,130454,131258,131258,147236,146407,151706,141150,151636,-,142930,-,-,-,-,224397
17,Accounts Payable,51763,51763,40620,27362,38180,38180,30331,33726,40738,36685,51637,-,29925,-,-,-,-,49066
18,Accrued Expenses,6663,6663,3670,2271,4937,4937,3557,2103,6370,4780,3414,-,2569,-,-,-,-,25797
19,Short-Term Debt,-,-,-,16747,5180,5180,22776,23549,19200,12400,15298,-,32495,-,-,-,-,302.7
20,Current Income Taxes Payable,686.81,686.81,1019,719.09,425.09,425.09,1399,947.94,555.67,1104,1051,-,473.86,-,-,-,-,3419
21,Other Current Liabilities,639.34,639.34,1471,1252,1744,1744,1868,2126,2755,4961,1777,-,2282,-,-,-,-,14921
22,Total Current Liabilities,59752,59752,46780,48350,50467,50467,59931,62453,69619,59930,73177,-,67745,-,-,-,-,93506
23,Long-Term Debt,-,-,-,-,-,-,-,-,-,500,500,-,1000,-,-,-,-,-
24,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3127
25,Total Liabilities,59752,59752,46780,48350,50467,50467,59931,62453,69619,60430,73677,-,68745,-,-,-,-,96633
26,Common Stock,65186,65186,65186,65186,65186,65186,65186,65186,65186,65186,65186,-,65186,-,-,-,-,54750
27,Additional Paid-In Capital,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3656
28,Retained Earnings,20231,20231,20576,16918,15605,15605,22120,18769,16902,15534,12774,-,8999,-,-,-,-,69357
29,Treasury Stock,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-,-0.39,-,-,-,-,-
30,Shareholders' Equity,85417,85417,85762,82104,80791,80791,87306,83954,82088,80720,77960,74185,74185,-,-,-,-,127763
31,Total Liabilities & Equity,145169,145169,132542,130454,131258,131258,147236,146407,151706,141150,151636,-,142930,-,-,-,-,224397
32,Total Debt,-,-,-,16747,5180,5180,22776,23549,19200,12900,15798,33495,33495,-,-,-,-,302.7
33,Net Cash (Debt),10358,10358,4826,-15406,-3661,-3661,-13588,-20134,-17158,-10257,-13059,-32303,-33986,-,-,-,-,28098
34,Net Cash Per Share,1587.44,1589.07,740.40,-2358.58,-562.67,-561.90,-2084.60,-3085.04,-2634.40,-1572.65,-2005.44,-4944.05,-5237.64,-,-,-,-,2890.02
35,Filing Date Shares Outstanding,6.52,6.52,6.52,6.53,6.51,6.52,6.52,6.53,6.51,6.52,6.51,6.53,6.49,6.89,6.92,6.89,6.55,9.72
36,Total Common Shares Outstanding,6.52,6.52,6.52,6.53,6.51,6.52,6.52,6.53,6.51,6.52,6.51,6.53,6.49,6.89,6.92,6.89,6.55,9.72
37,Working Capital,45933,45933,44553,41897,38227,38227,39844,34487,30404,28219,23679,-,13209,-,-,-,-,63387
38,Book Value Per Share,13090.88,13104.31,13156.87,12569.82,12416.84,12400.00,13393.83,12864.19,12603.47,12376.00,11972.00,11432.58,11432.58,-,-,-,-,13141.27
39,Tangible Book Value,85077,85077,85367,81682,80341,80341,86801,83422,81528,80133,77345,73515,73515,-,-,-,-,127723
40,Tangible Book Value Per Share,13038.85,13052.23,13096.36,12505.22,12347.76,12331.01,13316.44,12782.68,12517.58,12286.00,11877.64,11329.41,11329.41,-,-,-,-,13137.09
41,Construction In Progress,351.85,351.85,-,-,-,-,-,1204,1104,-,-,-,220.9,-,-,-,-,-
