,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,6.48,7.39,6.7,5.95,6.06,6.92,6.27,10.2,10.48,11.69
1,Trading Asset Securities,-,0.05,0.99,0.98,1.7,0.85,-,-,-,-
2,Cash & Short-Term Investments,6.48,7.43,7.69,6.93,7.76,7.77,6.27,10.2,10.48,11.69
3,Cash Growth,-15.70%,7.27%,-0.90%,-10.79%,23.69%,-23.87%,-40.17%,-12.71%,-39.58%,138.00%
4,Accounts Receivable,0.32,0.29,0.46,0.3,0.35,0.22,0.12,0.25,0.21,0.53
5,Other Receivables,0.1,0.24,0.19,0.21,0.17,0.13,0.18,0.57,0.32,0.54
6,Receivables,0.42,0.53,0.65,0.51,0.52,0.35,0.3,0.82,0.53,1.06
7,Inventory,0.18,0.22,0.14,0.23,0.15,0.17,0.18,0.17,0.18,0.15
8,Prepaid Expenses,2.06,0.34,1.02,0.15,1.17,1.31,1.18,0.43,1.27,0.46
9,Other Current Assets,1.06,2.25,1.02,2.03,1.02,2.77,2.61,2.69,1.73,2.21
10,Total Current Assets,10.2,10.77,10.51,9.84,10.61,12.36,10.54,14.32,14.19,15.57
11,"Property, Plant & Equipment",56,52.63,65.09,65.95,38.18,18.35,10.24,7.03,7.68,8.37
12,Long-Term Investments,0,0,-,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,0.05,0.05,0.07,0.07,0.05,0.05,-,-,-,-
14,Other Long-Term Assets,134.63,134.68,115.41,114.95,136.98,137.08,128.05,126.41,127.54,104.62
15,Total Assets,200.89,198.13,191.08,190.82,185.82,167.84,148.83,147.76,149.41,128.56
16,Accounts Payable,3.04,3.27,2.96,2.89,2.41,2.37,1.91,2.4,1.62,2.46
17,Accrued Expenses,7.24,2.56,5.55,1.65,4.03,1.61,3.04,1.35,2.34,0.98
18,Current Portion of Long-Term Debt,10.35,7.11,11.16,4.81,5.12,6.96,4.03,3.26,8.82,3.54
19,Current Portion of Leases,3.18,3.35,2.43,2.45,1.51,1.35,0.13,0.31,0.94,1.07
20,Current Income Taxes Payable,0.26,0.61,0.31,0.55,0.16,0.54,0.21,0.19,0.19,0.22
21,Current Unearned Revenue,-,0.52,-,0.4,-,0.06,-,-,-,-
22,Other Current Liabilities,-,2.95,-,2.19,-,1.76,-,1.37,-,1.77
23,Total Current Liabilities,24.06,20.38,22.41,14.93,13.23,14.65,9.33,8.87,13.91,10.05
24,Long-Term Debt,84.36,83.55,85.67,91.1,92.74,74.23,70.62,71.03,68.76,52.62
25,Long-Term Leases,4.88,6.46,5.18,6.4,5.72,6.43,-,0.04,0.14,0.57
26,Other Long-Term Liabilities,1.3,1.33,0.82,0.81,0.92,0.63,0.24,0.48,0.48,0.19
27,Total Liabilities,114.6,111.71,114.08,113.24,112.61,95.94,80.18,80.42,83.28,63.42
28,Common Stock,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
29,Additional Paid-In Capital,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71
30,Retained Earnings,58.89,59.01,51.12,51.7,47.34,46.02,42.77,41.45,40.25,39.26
31,Comprehensive Income & Other,4.32,4.32,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79
32,Total Common Equity,86.3,86.42,77,77.57,73.22,71.9,68.65,67.33,66.13,65.14
33,Minority Interest,-0.02,-,-,-,-,-,-,-,-,-
34,Shareholders' Equity,86.29,86.42,77,77.57,73.22,71.9,68.65,67.33,66.13,65.14
35,Total Liabilities & Equity,200.89,198.13,191.08,190.82,185.82,167.84,148.83,147.76,149.41,128.56
36,Total Debt,102.76,100.47,104.43,104.76,105.09,88.96,74.78,74.65,78.65,57.79
37,Net Cash (Debt),-96.28,-93.03,-96.75,-97.83,-97.33,-81.19,-68.51,-64.44,-68.16,-46.1
38,Net Cash Per Share,-0.12,-0.12,-0.12,-0.12,-0.12,-0.10,-0.09,-0.08,-0.09,-0.06
39,Filing Date Shares Outstanding,800,800,800,800,800,800,800,800,800,800
40,Total Common Shares Outstanding,800,800,800,800,800,800,800,800,800,800
41,Working Capital,-13.86,-9.61,-11.9,-5.09,-2.62,-2.3,1.22,5.45,0.28,5.53
42,Book Value Per Share,0.11,0.11,0.10,0.10,0.09,0.09,0.09,0.08,0.08,0.08
43,Tangible Book Value,86.3,86.42,77,77.57,73.22,71.9,68.65,67.33,66.13,65.14
44,Tangible Book Value Per Share,0.11,0.11,0.10,0.10,0.09,0.09,0.09,0.08,0.08,0.08
45,Land,-,37.7,-,54.37,-,9.73,-,6.23,-,1.51
46,Buildings,-,-,-,-,-,-,-,-,-,4.72
47,Machinery,-,5.12,-,5.02,-,3.2,-,3.59,-,4.32
48,Construction In Progress,-,4.98,-,0.96,-,-,-,-,-,-
