,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,808.2,2085,-,-,-,-
1,Cash & Short-Term Investments,808.2,2085,494.88,-,-,732.07
2,Cash Growth,-,184.78%,-,-,-,-
3,Accounts Receivable,3910,3053,-,-,-,-
4,Other Receivables,22.55,36.51,-,-,-,-
5,Receivables,3932,3090,-,-,-,-
6,Inventory,1581,1080,-,-,-,-
7,Prepaid Expenses,-,29.6,-,-,-,-
8,Other Current Assets,576.72,534.43,-,-,-,-
9,Total Current Assets,6898,6818,-,-,-,-
10,"Property, Plant & Equipment",3239,3111,-,-,-,-
11,Other Intangible Assets,249.13,250.75,-,-,-,-
12,Long-Term Deferred Tax Assets,121.23,97.3,-,-,-,-
13,Long-Term Deferred Charges,7.79,6.26,-,-,-,-
14,Other Long-Term Assets,113.16,34.34,-,-,-,-
15,Total Assets,10628,10318,-,-,-,-
16,Accounts Payable,127.76,125.96,-,-,-,-
17,Accrued Expenses,29.03,106.69,-,-,-,-
18,Short-Term Debt,5707,4474,-,-,-,-
19,Current Portion of Long-Term Debt,1.18,2.8,-,-,-,-
20,Current Portion of Leases,-,1.3,-,-,-,-
21,Current Income Taxes Payable,29.16,28.26,-,-,-,-
22,Current Unearned Revenue,0.39,1.45,-,-,-,-
23,Other Current Liabilities,786.7,704.39,-,-,-,-
24,Total Current Liabilities,6681,5445,-,-,-,-
25,Long-Term Debt,-,930.43,-,-,-,-
26,Long-Term Leases,1.3,1.64,-,-,-,-
27,Long-Term Unearned Revenue,245.9,242.55,-,-,-,-
28,Long-Term Deferred Tax Liabilities,39.02,39.31,-,-,-,-
29,Total Liabilities,6967,6659,-,-,-,-
30,Common Stock,237.26,237.26,-,-,-,-
31,Additional Paid-In Capital,2641,2640,-,-,-,-
32,Retained Earnings,809.75,807.92,-,-,-,-
33,Comprehensive Income & Other,-26.6,-26.72,-,-,-,-
34,Shareholders' Equity,3661,3658,2193,-,-,1832
35,Total Liabilities & Equity,10628,10318,-,-,-,-
36,Total Debt,5709,5411,3214,-,-,1488
37,Net Cash (Debt),-4901,-3326,-2719,-,-,-755.79
38,Net Cash Per Share,-20.66,-14.02,-15.28,-,-,-
39,Filing Date Shares Outstanding,237.26,237.26,177.94,177.93,177.95,-
40,Total Common Shares Outstanding,237.26,237.26,177.94,177.93,177.95,-
41,Working Capital,217.26,1373,-,-,-,-
42,Book Value Per Share,15.43,15.42,12.33,-,-,10.29
43,Tangible Book Value,3412,3408,1938,-,-,1680
44,Tangible Book Value Per Share,14.38,14.36,10.89,-,-,9.44
45,Buildings,-,987.92,-,-,-,-
46,Machinery,-,745.86,-,-,-,-
47,Construction In Progress,-,1673,-,-,-,-
