,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 3, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,81,49,61,118,149,82,175,91,66,55,117,Upgrade
1,Market Cap Growth,-58.64%,-58.64%,-58.78%,44.04%,-15.00%,-10.00%,166.66%,66.67%,-43.75%,-46.43%,-39.62%,Upgrade
2,Enterprise Value,300,270,278,339,368,301,392,299,246,237,525,Upgrade
3,Last Close Price,0.24,0.19,0.28,0.53,0.68,0.38,0.80,0.50,0.36,0.30,0.64,Upgrade
4,PS Ratio,1.99,1.81,3.90,6.30,3.88,2.14,3.93,1.59,1.23,1.31,3.46,Upgrade
5,PB Ratio,-0.08,-0.08,-0.10,-0.20,-0.26,-0.14,-0.31,-0.16,-0.12,-0.11,-0.25,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-5.62,-,-11.54,-,-6.43,-,Upgrade
7,P/OCF Ratio,-,-,-,-,-,-5.62,-,-11.87,-,-9.66,-,Upgrade
8,EV/Sales Ratio,11.12,9.99,17.66,18.04,9.57,7.85,8.78,5.22,4.59,5.65,15.53,Upgrade
9,EV/FCF Ratio,-,-,-,-,-,-20.61,-,-37.89,-,-27.82,-,Upgrade
10,Debt / Equity Ratio,-0.36,-0.36,-0.36,-0.37,-0.37,-0.38,-0.38,-0.40,-0.38,-0.37,-0.39,Upgrade
11,Debt / FCF Ratio,-,-,-,-,-,-14.62,-,-28.00,-,-20.82,-,Upgrade
12,Earnings Yield,-42.96%,-71.01%,-70.32%,-25.02%,-16.80%,-55.64%,-30.70%,-71.08%,-103.57%,-460.43%,-223.34%,Upgrade
13,FCF Yield,-10.28%,-10.28%,-3.44%,-13.53%,-9.66%,-17.80%,-5.13%,-8.66%,-21.24%,-15.55%,-23.36%,Upgrade
14,Buyback Yield / Dilution,-3.91%,-5.87%,-1.93%,-0.32%,-10.33%,-20.00%,-8.77%,-0.00%,-0.00%,-,-,Upgrade
15,Total Shareholder Return,-3.91%,-5.87%,-1.93%,-0.32%,-10.33%,-20.00%,-8.77%,-0.00%,-0.00%,-,-,Upgrade
