,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,236.9,172.12,165.42,169.1,194.73,217.66,181.06,143.15,127.34,141.9,129.54,85.08,164.83,141.27,108.94,100.77,178.16,128.84,118.73,65.51
1,Other Revenue,-,-3.35,3.35,-,8.2,-10.54,10.54,-,4.66,-6.26,6.26,-,7.7,-7.1,7.1,-,4.27,-1.67,1.67,-
2,Revenue,236.9,168.77,168.76,169.1,202.93,207.12,191.61,143.15,132,135.64,135.81,85.08,172.52,134.17,116.04,100.77,182.43,127.17,120.4,65.51
3,Revenue Growth (YoY),16.74%,-18.51%,-11.92%,18.12%,53.73%,52.70%,41.09%,68.25%,-23.49%,1.09%,17.04%,-15.57%,-5.43%,5.50%,-3.62%,53.83%,-,-,-,-
4,Cost of Revenue,-167.92,57.02,58.17,52.72,73.11,58.09,66.6,45.54,54.2,42.35,46.5,27.03,61.06,41.03,36.89,30.6,56.73,41.65,42.34,21.98
5,Gross Profit,404.82,111.75,110.59,116.37,129.82,149.03,125,97.61,77.8,93.28,89.3,58.05,111.46,93.14,79.15,70.17,125.7,85.53,78.06,43.53
6,"Selling, General & Admin",-182.28,64.19,65.57,52.52,58.71,56.96,49.27,45.47,40.19,47.62,49.88,38.19,38.3,37.85,38.01,26.26,37.76,31.87,27.08,17.28
7,Research & Development,-104.12,38.45,36.11,29.56,33.82,25.47,25.85,21.61,26.33,22.55,25.13,18.41,22.95,16.4,16.42,12.83,16.44,15.4,14.34,5.36
8,Other Operating Expenses,650.61,-20.47,9.09,-4.41,10.83,-5.19,-10.53,-4.11,30.71,-24.93,-8.31,-1.07,33.9,-4.36,-23.09,-5.9,34.52,-4.25,-25.94,-1.45
9,Operating Expenses,361.94,84.58,109.66,78.63,104.44,79.22,64.1,62.55,98.58,45.38,65.68,55.14,96.16,50.55,31.28,33.79,89.64,42.82,16.61,21.05
10,Operating Income,42.88,27.16,0.93,37.74,25.38,69.81,60.91,35.06,-20.77,47.91,23.63,2.91,15.31,42.59,47.87,36.38,36.06,42.71,61.45,22.48
11,Interest Expense,-19.46,-0.77,-1.31,-0.5,-1.29,-0.8,-0.41,-0.28,-0.07,-0.04,-0.02,-0.05,-,-,-,-,-0.17,-,-0.26,-0.02
12,Interest & Investment Income,2.58,4.09,7.96,7.42,10.24,7.84,10.5,10.25,9.52,7.94,10.96,9.17,14.15,5.75,13.83,-,4.27,2.16,5.49,-
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.22,-0.22
14,Currency Exchange Gain (Loss),-,-0,0,-,0.02,-0.1,0.1,-,0.02,0.06,-0.06,-,-0.02,-0,0,-,0.06,-0.05,0.05,-
15,Other Non Operating Income (Expenses),-2.14,3.72,-1.8,-1.06,0.57,2.12,-2.81,0.54,3.06,-0.05,-0.34,-0.05,1.92,0.65,-3.69,3.29,0.98,0.63,-2.67,2.16
16,EBT Excluding Unusual Items,23.86,34.19,5.79,43.6,34.91,78.88,68.28,45.56,-8.25,55.81,34.16,11.97,31.36,48.99,58.01,39.67,41.2,45.46,64.28,24.4
17,Gain (Loss) on Sale of Investments,-,-,-,-,-3.24,-,-,-,-1.06,-,-,-,-,-,0.26,-0.26,0.28,-0.15,-0.44,-
18,Gain (Loss) on Sale of Assets,-0.01,0.01,0,-,0.03,0.01,-0.01,-,-,0.24,-0.25,0.01,-0.01,0.01,-0.01,-0,0.01,0.02,-0.02,-
19,Asset Writedown,3.67,-1.18,-1.1,-1.39,6.73,-6.74,1.39,-1.39,2.87,-3.12,1.77,-1.77,1.93,-1.93,0.48,-0.48,1.58,-1.72,0.8,-0.8
20,Other Unusual Items,0.72,-14.94,14.2,0.02,19.62,-,-,-,40.6,-,-,-,44.72,-,-,-,47.9,-,-,-
21,Pretax Income,28.23,18.09,18.89,42.23,58.06,72.14,69.66,44.17,34.17,52.93,35.68,10.21,77.99,47.07,58.74,38.92,90.97,43.6,64.62,23.6
22,Income Tax Expense,-1.88,1.29,1.03,3.5,9.94,0.42,-0.23,5.58,1.12,0.4,6.3,1.88,8.96,2.43,6.85,4.95,10.82,4.97,8.15,2.83
23,Earnings From Continuing Operations,30.11,16.79,17.86,38.73,48.11,71.72,69.89,38.59,33.04,52.53,29.38,8.33,69.03,44.64,51.89,33.97,80.15,38.63,56.47,20.76
24,Minority Interest in Earnings,-0.03,-0.01,-0.3,0.35,-0.13,-0.17,-0.09,-0.78,-0.48,0.37,1.14,1.14,1.43,0.45,0.31,0.17,0.14,0.1,-0.02,0.03
25,Net Income,30.08,16.78,17.56,39.07,47.98,71.55,69.8,37.81,32.56,52.91,30.53,9.48,70.46,45.09,52.2,34.15,80.29,38.73,56.45,20.8
26,Net Income to Common,30.08,16.78,17.56,39.07,47.98,71.55,69.8,37.81,32.56,52.91,30.53,9.48,70.46,45.09,52.2,34.15,80.29,38.73,56.45,20.8
27,Net Income Growth,-37.31%,-76.55%,-74.84%,3.34%,47.36%,35.24%,128.65%,298.99%,-53.79%,17.34%,-41.52%,-72.25%,-12.24%,16.41%,-7.53%,64.20%,-,-,-,-
28,Shares Outstanding (Basic),159,154,158,156,159,155,159,158,155,161,162,158,145,161,130,163,120,117,119,122
29,Shares Outstanding (Diluted),159,154,158,156,159,155,159,158,155,161,162,158,145,161,130,163,120,117,119,122
30,Shares Change (YoY),-0.53%,-0.66%,-0.38%,-0.80%,3.07%,-3.47%,-1.93%,-0.25%,6.71%,0.01%,24.59%,-2.86%,20.82%,36.84%,9.27%,32.93%,-,-,-,-
31,EPS (Basic),0.19,0.11,0.11,0.25,0.30,0.46,0.44,0.24,0.21,0.33,0.19,0.06,0.49,0.28,0.40,0.21,0.67,0.33,0.47,0.17
32,EPS (Diluted),0.19,0.11,0.11,0.25,0.30,0.46,0.44,0.24,0.21,0.33,0.19,0.06,0.49,0.28,0.40,0.21,0.67,0.33,0.47,0.17
