,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6567,4574,4666,4945,7020,8375,6943,7174,6442,5028,4976,5322,6112,9107,9264,19334,7168,-,-,-,-
1,Market Cap Growth,-45.39%,-45.39%,-32.80%,-31.08%,8.98%,66.55%,39.53%,34.82%,5.39%,-44.79%,-46.28%,-72.48%,-14.73%,-,-,-,-,-,-,-,-
2,Enterprise Value,6187,4193,4231,4330,6198,7553,6008,5898,5124,3711,3689,3906,4674,7670,7805,17827,6756,-,-,-,-
3,Last Close Price,42.20,29.39,29.95,31.74,43.94,52.42,43.35,44.77,39.95,31.18,30.86,32.53,36.94,55.05,56.00,116.87,43.15,-,-,-,-
4,PE Ratio,63.94,44.19,38.44,28.07,30.74,36.87,32.79,37.16,41.88,40.08,30.46,34.21,34.49,45.11,43.76,94.15,34.20,-,-,-,-
5,Forward PE,21.21,15.53,16.31,17.34,25.10,27.97,27.29,32.33,30.03,23.04,23.04,23.04,23.04,33.29,29.39,-,-,-,-,-,-
6,PS Ratio,8.90,6.15,6.58,6.61,9.11,11.24,10.30,11.91,11.78,10.29,9.41,10.09,12.04,17.40,17.37,36.73,13.50,-,-,-,-
7,PB Ratio,3.24,2.24,2.29,2.44,3.35,3.97,3.37,3.58,3.26,2.59,2.61,2.88,3.13,4.68,4.97,10.63,3.92,-,-,-,-
8,P/TBV Ratio,2.53,2.53,2.58,2.74,3.75,4.45,3.76,4.01,3.66,2.92,2.94,3.25,3.52,5.28,5.46,11.66,4.04,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-307.16,-211.91,-,-,284.86,274.05,424.80,-,-,-,-,-
10,P/OCF Ratio,-,-,30.77,30.92,33.63,36.75,26.05,26.67,26.06,26.93,27.08,35.98,-,54.90,46.48,102.53,29.15,-,-,-,-
11,EV/Sales Ratio,8.32,5.64,5.96,5.79,8.04,10.14,8.92,9.79,9.37,7.60,6.97,7.40,9.21,14.65,14.63,33.87,12.73,-,-,-,-
12,EV/EBITDA Ratio,49.24,32.31,37.68,27.98,29.44,36.38,37.26,42.69,51.32,-,36.36,40.69,38.74,49.81,44.70,102.22,36.13,-,-,-,-
13,EV/EBIT Ratio,56.91,38.57,46.39,32.34,31.98,39.51,41.44,47.91,59.71,-,41.10,46.25,43.01,53.96,47.91,109.36,38.26,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-226.69,-157.08,-,-,239.90,230.89,391.68,-,-,-,-,-
15,Debt / Equity Ratio,0.16,0.16,0.16,0.11,0.14,0.02,0.11,0.08,0.04,0.01,0.00,0.00,-,-,-,-,-,0.07,-,0.08,-
16,Debt / EBITDA Ratio,2.67,1.78,2.67,4.60,1.76,0.29,0.80,0.63,0.46,-,0.02,0.05,-,-,-,-,-,0.32,-,0.20,-
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-1.05,-0.21,-,-,-,-,-,-,0.65,-,1.01,-
