,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,732.04,674.35,758.93,663.78,808.25,795.62,843.47,726.31,724.59,751.29,751.49,829.62,768.33,801.45,1507,487.24,-,457.14,-
1,Trading Asset Securities,-,-,-,167.98,162.19,263.05,315.7,518.17,636.47,609.52,549.48,673.72,648.14,668.3,656.73,-,-,-,5,-
2,Cash & Short-Term Investments,732.04,732.04,674.35,926.91,825.98,1071,1111,1362,1363,1334,1301,1425,1478,1437,1458,1507,487.24,-,462.14,364.29
3,Cash Growth,-11.37%,-31.67%,-39.32%,-31.93%,-39.39%,-19.70%,-14.56%,-4.46%,-7.78%,-7.14%,-10.79%,-5.42%,203.29%,-,215.53%,313.64%,-,-,-,-
4,Accounts Receivable,-,59.92,64.15,62.15,57.99,36.55,26.76,19.89,34.35,27.64,29.07,33.91,43.03,36.54,34.3,29.95,32.74,-,21.54,-
5,Other Receivables,-,12.06,11.59,9.29,7.42,9.03,7.16,9.18,5,7.89,4.91,4.81,4.37,6.43,8.76,4.06,2.6,-,2.3,-
6,Receivables,-,71.98,75.74,71.44,65.41,45.58,33.92,29.07,39.35,35.53,33.97,38.72,47.4,42.97,43.07,34.02,35.34,-,23.84,-
7,Inventory,-,240.91,244.75,243.47,241.37,238.46,233.3,217.8,222.82,204.17,198.79,168.4,159.4,150.04,147.41,143.81,130.14,-,138.71,-
8,Prepaid Expenses,-,-,-,-,-,-,1.31,-,-,-,1.66,-,1.78,-,-,-,0.88,-,-,-
9,Other Current Assets,-,86.98,84.73,61.16,61.6,45.76,48.58,46.55,43.42,38.94,29.46,38.1,30.18,25.79,21.35,23.28,17.78,-,21.38,-
10,Total Current Assets,-,1132,1080,1303,1194,1401,1428,1655,1668,1613,1565,1670,1717,1655,1670,1708,671.39,-,646.06,-
11,"Property, Plant & Equipment",-,1104,1016,882.78,834.36,664.02,568.46,477,407.96,300.41,225.85,188.49,170.9,125.66,111.91,105.28,105.21,-,97.5,-
12,Long-Term Investments,-,23.2,262.17,22.94,258.52,27.05,16.37,16.72,17.09,18.66,19.34,16.32,16.71,25.83,2.07,2.29,2.55,-,2.68,-
13,Other Intangible Assets,-,215.7,208.56,207.42,207.7,200.78,201.11,202.87,204.25,204.83,206.73,207.91,208.78,168.79,162.66,51.17,51.62,-,50.78,-
14,Long-Term Accounts Receivable,-,38.83,45.15,-,47.79,44.17,42.76,42.78,43.03,44.17,44.84,47.05,50.2,30.28,29.24,30.7,29.88,-,25.47,-
15,Long-Term Deferred Tax Assets,-,6.54,7.7,10.82,11.22,19.24,17.12,16.41,14.7,13.42,11.23,11.69,11.4,11.41,11.77,12.39,9.12,-,8.88,-
16,Long-Term Deferred Charges,-,7.16,5.84,5.94,5.72,0.99,1.24,1.41,1.51,1.28,1.48,1.74,1.47,1.17,0.49,0.55,0.48,-,0.64,-
17,Other Long-Term Assets,-,275.63,32.56,334.02,32.47,306.88,268.27,15.03,11.15,3.46,15.62,10.76,6.57,14.03,4.77,115.69,111.28,-,3.3,-
18,Total Assets,-,2803,2657,2767,2592,2664,2544,2427,2368,2199,2090,2154,2183,2033,1993,2026,981.53,-,835.31,-
19,Accounts Payable,-,82.24,53.45,86.46,109.69,78.58,44.58,89.63,103.87,58.73,30.6,26.18,27.71,15,9.8,13.95,14.92,-,18.22,-
20,Accrued Expenses,-,25.55,46.1,22.59,62.61,20.09,36.06,20.38,45.46,18.99,32.55,18.05,33.49,16.81,26.61,19.71,43.58,-,19.39,-
21,Short-Term Debt,-,329.99,216.99,287.02,27.02,236.15,163.15,72.15,17.15,5,5,-,-,-,-,-,50,-,50,-
22,Current Income Taxes Payable,-,10.69,0,5.63,5.06,8.23,0.66,5.65,2.01,9.84,5.84,9.23,8.71,10.98,7.59,15.85,11.05,-,17.82,-
23,Current Unearned Revenue,-,112.03,104.03,91.15,107.56,82.16,114.11,117.29,135.69,76.4,58.83,51.44,64.23,29.73,36.13,31.35,50.08,-,34.08,-
24,Other Current Liabilities,-,63.47,95.6,66.98,60.21,61.15,91.17,65.23,47.62,56.96,52.34,40.84,47.27,38.56,35.95,59.36,30.38,-,34.76,-
25,Total Current Liabilities,-,623.97,516.18,559.81,372.14,486.36,449.73,370.34,351.8,225.92,185.16,145.75,181.42,111.08,116.09,140.22,200.01,-,174.26,-
26,Long-Term Leases,-,5.42,6.33,8.54,8.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,-,131.44,104.58,104.37,104.11,108.18,79.59,70.74,65.1,63.78,52.45,52.92,53.72,56.1,56.22,57.86,37.16,-,36.53,-
28,Long-Term Deferred Tax Liabilities,-,-,-,-,-,10.96,11,10.94,11.31,2.46,2.06,1.79,1.83,0.96,1,1.04,1.08,-,-,-
29,Total Liabilities,-,760.83,627.09,672.73,484.69,605.5,540.32,452.02,428.22,292.16,239.66,200.47,236.97,168.15,173.31,199.12,238.25,-,210.8,-
30,Common Stock,-,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,120,-,120,-
31,Additional Paid-In Capital,-,1299,1299,1297,1294,1294,1294,1294,1294,1294,1294,1294,1294,1295,1295,1295,285.39,-,285.39,-
32,Retained Earnings,-,726.51,709.74,774.77,735.7,687.71,616.17,584.18,546.36,513.8,460.9,490.31,480.83,410.37,365.28,372.28,338.13,-,219.11,-
33,Treasury Stock,-,-160.31,-155.62,-153.79,-98.93,-96.69,-80.24,-76.46,-73.27,-73.27,-73.27,-,-,-,-,-,-,-,-,-
34,Total Common Equity,2026,2026,2014,2078,2091,2045,1990,1962,1928,1895,1842,1945,1935,1865,1820,1827,743.52,-,624.5,547.26
35,Minority Interest,-,16.28,16.48,16.18,16.53,13.54,13.37,13.05,12.27,11.78,8.25,9.39,10.53,-0.96,-0.71,-0.41,-0.23,-,0.01,-
36,Shareholders' Equity,2042,2042,2030,2094,2107,2059,2003,1975,1940,1907,1850,1954,1946,1864,1820,1827,743.29,-,624.51,547.28
37,Total Liabilities & Equity,-,2803,2657,2767,2592,2664,2544,2427,2368,2199,2090,2154,2183,2033,1993,2026,981.53,-,835.31,-
38,Total Debt,335.41,335.41,223.32,295.56,35.46,236.15,163.15,72.15,17.15,5,5,-,-,-,-,-,50,-,50,-
39,Net Cash (Debt),396.63,396.63,451.03,631.35,790.52,835.14,948.17,1289,1346,1329,1296,1425,1478,1437,1458,1507,437.24,-,412.14,364.29
40,Net Cash Growth,-49.83%,-52.51%,-52.43%,-51.04%,-41.25%,-37.17%,-26.83%,-9.52%,-8.94%,-7.48%,-11.14%,-5.42%,237.97%,-,253.81%,313.64%,-,-,-,-
41,Net Cash Per Share,2.50,2.58,2.85,4.04,4.96,5.39,5.96,8.18,8.70,8.28,7.99,9.02,10.19,8.95,11.21,9.27,3.64,-,3.46,2.98
42,Filing Date Shares Outstanding,158.63,155.62,155.79,156.3,157.11,157.15,157.55,157.65,157.73,157.73,157.73,160,160,160,160,160,160,117.3,120,122.33
43,Total Common Shares Outstanding,155.62,155.62,155.79,156.3,157.11,157.15,157.55,157.65,157.73,157.73,157.73,160,160,160,160,160,120,117.3,120,122.33
44,Working Capital,-,507.94,563.38,743.17,822.21,914.73,978.7,1285,1317,1387,1380,1525,1535,1544,1554,1568,471.38,-,471.8,-
45,Book Value Per Share,13.02,13.02,12.92,13.30,13.31,13.01,12.63,12.45,12.22,12.01,11.68,12.15,12.09,11.66,11.38,11.42,6.20,-,5.20,4.56
46,Tangible Book Value,1810,1810,1805,1871,1883,1844,1789,1759,1723,1690,1635,1737,1726,1697,1658,1776,691.9,-,573.72,502.63
47,Tangible Book Value Per Share,11.63,11.63,11.59,11.97,11.99,11.74,11.35,11.16,10.93,10.72,10.37,10.85,10.79,10.60,10.36,11.10,5.77,-,4.78,4.19
48,Buildings,-,-,444.6,-,326.28,-,96.84,-,96.84,-,96.84,-,96.84,-,96.84,-,96.84,-,96.84,-
49,Machinery,-,-,159.7,-,146.98,-,64.03,-,61.96,-,54.2,-,52.32,-,49.07,-,45.79,-,42.66,-
50,Construction In Progress,-,-,495.9,-,428.83,-,477.74,-,314.09,-,134.65,-,77.09,-,16.63,-,8.4,-,1.08,-
