,Fiscal Quarter,Current,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019
,Period Ending,"Mar '25 Mar 13, 2025","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019"
0,Market Capitalization,747,1124,1626,2236,2089,3017,4000,2528,-,-,-
1,Market Cap Growth,-49.73%,-49.73%,-22.15%,-25.90%,-47.77%,19.34%,-,-,-,-,-
2,Enterprise Value,722,1032,1481,1979,1834,2937,3621,2603,-,-,-
3,Last Close Price,1.84,2.75,3.98,5.37,5.02,7.08,9.47,5.76,-,-,-
4,PE Ratio,7.37,11.13,14.58,20.20,57.14,-,27.23,17.61,-,-,-
5,Forward PE,-,10.04,10.04,10.04,10.04,10.04,-,-,-,-,-
6,PS Ratio,1.20,1.82,2.82,4.12,4.51,6.16,8.99,6.49,-,-,-
7,PB Ratio,0.54,0.81,1.24,1.63,1.55,2.11,3.10,1.92,-,-,-
8,P/TBV Ratio,0.82,0.82,1.26,1.66,1.58,2.14,3.12,1.94,-,-,-
9,P/FCF Ratio,-,-,-,-,8.37,-19.41,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,8.34,-19.84,-,-,-,-,-
11,EV/Sales Ratio,1.17,1.67,2.56,3.65,3.96,5.99,8.14,6.68,-,-,-
12,EV/EBITDA Ratio,8.70,13.99,23.25,37.13,-92.45,-,26.99,19.15,-,-,-
13,EV/EBIT Ratio,10.15,14.52,24.20,38.80,-84.31,-,27.25,19.36,-,-,-
14,EV/FCF Ratio,-12.19,-,-,-,7.35,-18.90,-,-,-,-,-
15,Debt / Equity Ratio,0.12,0.12,0.14,0.04,0.07,0.02,0.06,0.13,0.23,0.27,-
16,Debt / FCF Ratio,-,-,-,-,0.36,-0.15,-,-,1.59,1.22,-
17,Return on Capital Employed (ROCE),5.11%,5.11%,4.64%,3.70%,-1.60%,-,10.28%,10.22%,33.61%,36.59%,-
18,Earnings Yield,13.51%,8.98%,6.86%,4.95%,1.75%,2.78%,3.67%,5.68%,-,-,-
19,FCF Yield,-7.92%,-5.27%,-6.77%,0.99%,11.94%,-5.15%,-12.81%,-8.73%,-,-,-
20,Buyback Yield / Dilution,-0.45%,-0.12%,-0.78%,-0.72%,-0.72%,-12.28%,-33.33%,-19.44%,-,-,-
21,Total Shareholder Return,-0.45%,-0.12%,-0.78%,-0.72%,-0.72%,-12.28%,-33.33%,-19.44%,-,-,-
