,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Market Capitalization,7478,4329,4282,3791,5255,4452,5148,6887,7488,7157,6796,4346,5023,3074,3436,5452,-,-,-,-,-
1,Market Cap Growth,-2.75%,-2.75%,-16.82%,-44.95%,-29.82%,-37.80%,-24.25%,58.46%,49.08%,132.81%,97.80%,-20.28%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7419,4232,4065,3906,5370,4523,4952,6607,7209,7160,6464,4065,4744,2681,2922,5438,-,-,-,-,-
3,Last Close Price,44.51,25.77,24.21,21.08,29.22,24.48,28.30,37.71,41.01,39.19,39.43,25.12,29.03,17.77,19.86,31.33,-,-,-,-,-
4,PE Ratio,25.82,14.78,16.12,15.71,24.20,24.93,30.81,49.71,51.89,49.40,48.53,28.16,33.33,20.22,22.30,35.23,-,-,-,-,-
5,PS Ratio,2.60,1.49,1.57,1.51,2.16,1.81,2.07,2.86,3.05,2.96,2.97,1.83,2.19,1.45,1.73,2.87,-,-,-,-,-
6,PB Ratio,3.84,1.87,1.98,1.79,2.56,2.15,2.63,3.67,4.05,3.98,3.93,2.90,3.41,2.14,2.48,3.99,-,-,-,-,-
7,P/TBV Ratio,2.94,2.94,2.93,2.62,3.75,3.23,3.98,5.56,6.05,6.05,6.07,3.08,3.62,2.27,2.65,4.27,-,-,-,-,-
8,P/FCF Ratio,25.82,14.95,-,-,67.75,-,-,-,75.07,65.89,-,-87.64,-25.04,-,-,-,-,-,-,-,-
9,P/OCF Ratio,8.75,8.75,-,11.30,20.89,29.34,22.00,-,44.74,42.43,-,212.92,-37.23,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.55,1.45,1.49,1.56,2.21,1.84,1.99,2.75,2.94,2.96,2.82,1.71,2.07,1.26,1.47,2.87,-,-,-,-,-
11,EV/EBITDA Ratio,13.42,7.82,8.65,10.38,17.05,17.15,26.17,34.19,35.28,36.97,34.70,20.67,24.32,13.39,14.17,25.55,-,-,-,-,-
12,EV/EBIT Ratio,15.07,8.60,9.61,11.85,19.86,20.44,33.32,42.77,43.07,45.17,42.44,24.66,28.84,15.69,16.49,29.48,-,-,-,-,-
13,EV/FCF Ratio,25.62,14.62,-,-,69.23,-,-,-,72.27,65.91,-,-81.96,-23.65,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.06,0.06,0.07,0.08,0.10,0.22,0.19,0.13,0.14,0.25,0.29,0.14,0.14,0.17,0.05,0.08,0.15,-,0.29,0.33,0.51
15,Debt / EBITDA Ratio,0.25,0.16,0.28,0.53,0.48,0.77,2.44,2.65,1.28,1.51,2.88,1.50,1.24,0.89,0.34,0.86,0.61,-,0.79,2.33,2.21
16,Debt / FCF Ratio,0.48,0.48,-,-,2.65,-,-,-,2.66,4.19,-,-4.13,-1.01,-,-,-,1.39,-,-,-,-
17,Asset Turnover,0.96,0.87,0.52,0.72,0.93,0.82,0.56,0.89,1.10,0.93,0.92,1.27,1.40,1.45,1.04,-,-,-,-,-,
18,Inventory Turnover,4.35,3.84,4.16,2.62,5.53,7.41,6.71,5.00,7.37,7.27,5.80,5.58,7.26,7.39,8.41,5.50,-,-,-,-,-
19,Quick Ratio,1.18,1.18,1.05,1.17,1.24,1.59,1.49,1.60,1.83,1.73,2.02,2.40,2.18,2.05,2.67,2.94,1.38,-,1.18,-,0.80
20,Current Ratio,1.92,1.92,1.76,1.79,1.77,2.01,2.04,2.24,2.25,2.18,2.63,3.21,2.81,2.82,3.55,3.93,2.01,-,1.72,-,1.45
21,Return on Equity (ROE),29.21%,22.25%,11.25%,19.44%,18.03%,12.13%,1.90%,4.68%,13.73%,6.68%,6.19%,9.60%,15.15%,12.48%,7.30%,-,-,27.53%,-,-,
22,Return on Assets (ROA),13.20%,7.83%,4.83%,6.35%,10.68%,2.26%,1.10%,3.47%,5.81%,3.57%,3.27%,4.07%,8.04%,6.55%,4.46%,-,-,-,-,-,
23,Return on Capital (ROIC),21.91%,13.10%,7.92%,9.44%,14.32%,3.06%,1.52%,4.74%,7.47%,4.23%,3.81%,4.85%,9.67%,7.79%,5.43%,-,-,16.00%,-,-,
24,Return on Capital Employed (ROCE),20.15%,20.15%,18.74%,15.07%,12.79%,9.73%,7.03%,7.63%,8.39%,7.80%,7.65%,10.98%,11.13%,11.83%,12.74%,13.47%,22.92%,-,13.60%,-,4.44%
25,Earnings Yield,3.92%,6.77%,6.20%,6.36%,4.13%,4.01%,3.25%,2.01%,1.93%,2.02%,2.06%,3.55%,3.00%,4.94%,4.48%,2.84%,-,-,-,-,-
26,FCF Yield,3.87%,6.69%,3.42%,3.51%,1.48%,-0.30%,1.56%,-0.16%,1.33%,1.52%,-0.94%,-1.14%,-3.99%,-7.95%,-2.08%,-0.03%,-,-,-,-,-
27,Dividend Yield,0.54%,-,2.07%,-,1.30%,-,-,-,0.29%,-,-,-,0.41%,-,-,-,-,-,-,-,-
