,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Cash & Equivalents,345.71,358.68,632.9,727.5,548.29,502.85,605.78,738.14,811.42,514.78,336.56,282.75,220.81,214.64,621.04,127.06,-,82.09,-,62.01
1,Trading Asset Securities,218.29,189.25,26.01,-,91.78,65,65.64,10.05,152.72,201.85,200.11,201.88,298.77,251.87,4,-,-,2.5,-,10.02
2,Cash & Short-Term Investments,564,547.93,658.9,727.5,640.07,567.85,671.42,748.19,964.14,716.63,536.67,484.63,519.58,466.51,625.04,127.06,-,84.59,134.33,72.03
3,Cash Growth,-11.88%,-3.51%,-1.86%,-2.77%,-33.61%,-20.76%,25.11%,54.39%,85.56%,53.61%,-14.14%,281.42%,-,451.48%,365.31%,76.39%,-,-,-,-
4,Accounts Receivable,1130,1183,992.7,1045,1051,885.63,601.23,789.46,758.66,702.04,513.86,644.91,608.48,572.06,373.71,400.83,-,444.91,-,269.2
5,Other Receivables,118.3,32.57,190.13,187.6,151.57,22.48,200.85,155.04,35.13,42.28,3.06,5.56,1.74,2,2.89,1.63,-,2,-,2.64
6,Receivables,1248,1216,1183,1233,1203,908.11,802.09,944.5,793.79,744.31,516.91,650.47,610.22,574.06,376.61,402.46,-,446.91,-,271.84
7,Inventory,748.61,645.09,618.78,522.89,292.51,288.6,327.12,228.74,376.53,339.59,298.43,267.99,344.82,258.17,256.67,200.69,-,181.22,-,223.06
8,Other Current Assets,382.68,555.3,345.52,316.94,187.49,256.62,266.78,158.72,83.5,101.92,57.21,62.38,76.19,86.89,82.16,41.41,-,60.3,-,56.03
