,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Operating Revenue,970.2,814.59,486.52,588.73,786.94,592.98,409.9,595.1,800.64,532.93,455.32,618.29,667.52,625.69,370.16,445.49,534.57,536.4,221.84,271.72
1,Other Revenue,-24.73,24.73,-,54.5,-26.45,26.45,-,68.37,-8.25,8.25,-,14.01,-6.56,6.56,-,10.9,-4.92,4.92,-,1.3
2,Revenue,945.47,839.32,486.52,643.23,760.49,619.43,409.9,663.47,792.39,541.19,455.32,632.3,660.96,632.25,370.16,456.39,529.66,541.32,221.84,273.02
3,Revenue Growth (YoY),24.32%,35.50%,18.69%,-3.05%,-4.03%,14.46%,-9.98%,4.93%,19.88%,-14.40%,23.01%,38.54%,24.79%,16.80%,66.86%,67.17%,-,-,-,-
4,Cost of Revenue,668.9,657.48,374.3,563.64,538.23,516.3,347.25,557.76,651.01,462.38,394.78,556.11,557.05,541.53,314.23,384.86,429.7,448.34,189.37,223.64
5,Gross Profit,276.57,181.84,112.22,79.59,222.26,103.13,62.64,105.71,141.38,78.8,60.54,76.18,103.91,90.72,55.94,71.54,99.96,92.98,32.47,49.38
6,"Selling, General & Admin",45.87,26.01,28.1,-59.97,47.07,53.03,43.44,52.09,38.59,17.64,23.04,17.94,17.77,16.1,19.33,17.11,20.24,13.93,13.67,19.06
7,Research & Development,20.38,19.35,14.6,26.86,17.79,22.24,12.38,7.54,25.83,18.3,15.25,18.44,22.07,16.28,12.98,13.45,13.31,13.72,7.78,9.22
8,Other Operating Expenses,0.39,4.94,0.81,3.94,4.15,3.17,-1.37,5.21,3.36,1.85,1.97,6.23,1.63,1.81,-1.09,5.61,-0.16,2.02,0.92,1.52
