,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,88.8,6.28,2.21,7.6,7.34,11.04,10.52,34.92,13.13,24.72
1,Short-Term Investments,-,-,-,-,-,-,-,1.8,-,1.5
2,Cash & Short-Term Investments,88.8,6.28,2.21,7.6,7.34,11.04,10.52,36.71,13.13,26.22
3,Cash Growth,3912.65%,-17.40%,-69.84%,-31.12%,-30.25%,-69.94%,-19.88%,40.02%,-70.54%,-61.21%
4,Accounts Receivable,12.08,32.59,41.99,57.77,74.01,174.95,152.87,241.61,218.09,259.85
5,Other Receivables,1.18,0.81,1.26,0.83,0.85,0.89,0.88,0.87,0.81,0.81
6,Receivables,13.25,33.4,43.24,58.6,74.87,175.84,153.75,242.48,218.9,260.66
7,Inventory,21.6,32.41,37.11,49.91,172.85,183.58,306.6,278.15,330.63,341.97
8,Prepaid Expenses,10.1,11.95,13.94,12.24,18.59,13.7,20.97,11.54,13.79,9.41
9,Restricted Cash,2.53,2.59,1.8,3.13,3.42,3.33,3.53,2.28,3.58,6.53
10,Total Current Assets,136.28,86.63,98.3,131.48,277.06,387.49,495.36,571.17,580.03,644.78
11,"Property, Plant & Equipment",9.41,1.07,5.49,14.4,35.87,44.05,34.3,38.54,94.9,105.54
12,Other Long-Term Assets,-,-,-,0.5,1.9,2.3,1.67,2.19,4.24,4.47
13,Total Assets,145.7,87.7,103.79,146.38,314.83,433.85,531.32,611.9,679.16,754.79
14,Accounts Payable,8.63,28.71,29.69,47.62,81.94,139.14,138.58,153.15,103.98,129.56
15,Accrued Expenses,1.36,1.86,-,4.37,-,21.51,-,22.82,-,24.27
16,Short-Term Debt,8.21,8.25,7.88,8.04,203.9,288.56,236.67,273.12,275.99,282.31
17,Current Portion of Leases,4.14,0.42,1.8,5.21,4.94,5.04,1.58,2.64,2.09,3.75
18,Current Unearned Revenue,-,-,-,1.23,-,1.38,-,0.9,-,-
19,Other Current Liabilities,223.94,217.05,104.87,82.88,28.55,9.74,36.53,6.09,17.71,5.83
20,Total Current Liabilities,246.28,256.29,144.23,149.36,319.32,465.37,413.36,458.72,399.77,445.72
21,Long-Term Debt,65.3,63.16,184.05,184.01,-,-,-,-,-,-
22,Long-Term Leases,5.04,1.44,13.75,16.43,5.03,11.48,6.83,9.14,9.47,10.01
23,Total Liabilities,316.62,320.9,342.03,349.8,324.35,476.85,420.19,467.86,409.24,455.73
24,Common Stock,20.42,6.81,6.81,6.81,6.81,2.27,2.27,1.89,1.89,1.89
25,Additional Paid-In Capital,251.59,186.23,186.23,186.23,186.23,133.04,133.27,121.93,121.93,121.93
26,Retained Earnings,-645.77,-622.09,-632.76,-584.25,-382.65,-352.82,-200.38,-155.86,-21.96,9.41
27,Comprehensive Income & Other,202.84,195.85,201.48,187.79,180.08,174.51,175.98,176.07,168.06,165.83
28,Shareholders' Equity,-170.92,-233.2,-238.24,-203.42,-9.52,-43,111.14,144.03,269.92,299.06
29,Total Liabilities & Equity,145.7,87.7,103.79,146.38,314.83,433.85,531.32,611.9,679.16,754.79
30,Total Debt,82.69,73.28,207.48,213.69,213.86,305.08,245.08,284.91,287.55,296.07
31,Net Cash (Debt),6.11,-67,-205.26,-206.09,-206.52,-294.04,-234.56,-248.19,-274.42,-269.85
32,Net Cash Per Share,0.03,-0.98,-3.02,-3.00,-3.75,-12.95,-11.65,-13.12,-14.51,-14.27
33,Filing Date Shares Outstanding,204.22,68.07,68.07,68.07,68.07,22.69,22.69,18.91,18.91,18.91
34,Total Common Shares Outstanding,204.22,68.07,68.07,68.07,68.07,22.69,22.69,18.91,18.91,18.91
35,Working Capital,-109.99,-169.66,-45.93,-17.88,-42.26,-77.88,82.01,112.45,180.26,199.06
36,Book Value Per Share,-0.84,-3.43,-3.50,-2.99,-0.14,-1.90,4.90,7.62,14.27,15.81
37,Tangible Book Value,-170.92,-233.2,-238.24,-203.42,-9.52,-43,111.14,144.03,269.92,299.06
38,Tangible Book Value Per Share,-0.84,-3.43,-3.50,-2.99,-0.14,-1.90,4.90,7.62,14.27,15.81
39,Machinery,-,111.14,-,191.49,-,225,-,227.58,-,208.89
40,Leasehold Improvements,-,-,-,33.76,-,38.04,-,36,-,27.25
