,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,112.3,92.1,76.94,75.5,120.98,113.79,123.82,71.71,105.3,93.23,71.85,54.53,81.93,68.27,64.83,38.82,60.15,60.17,55.69,27.8
1,Other Revenue,-,-3.95,3.95,-,9.12,-3.47,3.47,-,10.78,-4.39,4.39,-,-,-1.82,1.82,-,5.38,-1.79,1.79,-
2,Revenue,112.3,88.15,80.89,75.5,130.11,110.32,127.29,71.71,116.08,88.84,76.24,54.53,81.93,66.45,66.65,38.82,65.53,58.38,57.48,27.8
3,Revenue Growth (YoY),-13.68%,-20.10%,-36.45%,5.28%,12.08%,24.18%,66.96%,31.50%,41.67%,33.68%,14.39%,40.48%,25.03%,13.82%,15.96%,39.62%,-,-,-,-
4,Cost of Revenue,-89.08,28.58,33.49,27.01,60.15,39.53,62.88,29.61,55.29,33.68,32.81,22.83,35.18,27.63,24.89,15.12,27.08,19.15,21.1,8.61
5,Gross Profit,201.39,59.57,47.4,48.49,69.96,70.79,64.41,42.1,60.79,55.16,43.43,31.7,46.75,38.83,41.76,23.7,38.45,39.23,36.37,19.19
6,"Selling, General & Admin",-78.97,27.32,28.94,22.7,22.35,20.47,22.9,22.01,17.6,16.96,16.28,14.35,18.69,13.1,12.43,10.85,13.46,9.52,8.85,6.75
7,Research & Development,-54.05,20.6,17.96,15.49,18.8,15.16,13.88,13.61,16.09,13.89,14.75,12.94,15.86,13.55,12.82,11.35,12.92,9.88,7.96,6.02
8,Other Operating Expenses,333.92,-3.72,-2.84,-3.69,0.38,-6.46,-4.29,-4.52,5.21,-9.44,-4.01,-2.65,0.82,-2.44,-2.82,-2.9,-0.19,-3.74,-2.52,-2.3
9,Operating Expenses,200.37,45.25,43.82,34.22,42.75,29.05,35.89,30.87,39.38,22.37,26.01,24.44,35.94,24.75,23.51,19.15,26.23,16.33,14.91,10.76
10,Operating Income,1.02,14.32,3.58,14.26,27.21,41.74,28.52,11.23,21.4,32.79,17.42,7.26,10.81,14.07,18.25,4.54,12.23,22.9,21.46,8.43
11,Interest Expense,-8.76,-,-1.36,-1.03,-0.88,-0.64,-0.27,-0.78,-0.78,-0.9,-0.43,-0.3,-0.3,-0.55,-0.48,-0.12,-0.16,-0.17,-0.16,-0.01
12,Interest & Investment Income,2.32,2.61,1.11,5.12,1.3,2.61,0.66,2.08,4.03,4.6,3.69,2.28,5.02,3.86,5.06,1.42,0.97,0.18,1.72,0.16
13,Currency Exchange Gain (Loss),-,-0.18,0.18,-,0.7,-0.8,0.8,-,0.88,-0.34,0.34,-,-0.26,0.13,-0.13,-,-0.79,-0.09,0.09,-
14,Other Non Operating Income (Expenses),-0.13,0.15,-0.01,-0.16,-0.84,0.62,0.08,-0.21,-1.57,1.37,-0.27,-0.16,-0.2,-0.07,-0.01,-0.11,0.2,-0.19,-0.17,0.11
15,EBT Excluding Unusual Items,-5.55,16.89,3.5,18.2,27.49,43.54,29.78,12.33,23.95,37.53,20.74,9.07,15.08,17.45,22.68,5.72,12.45,22.63,22.94,8.69
16,Gain (Loss) on Sale of Investments,-0.75,-4.15,5.73,-0.83,0.08,0.46,1.45,-,0.85,-,-0.04,-,0.37,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.02,-0.02,0,-0,-0.01,0,-0,-,-0.01,0,-0,-,-0.04,0,-0,-,-0.01,0.01,-0.01,-
18,Asset Writedown,4.06,-4.06,0.63,-0.63,2.05,-2.05,0.22,-0.22,2.88,-2.88,0.65,-0.65,-0.49,0.49,-0.1,0.1,2.24,-2.24,0.97,-0.97
19,Other Unusual Items,0.01,-0.74,0.73,0,7.49,-0.27,0.27,-,10.13,-0.2,0.2,-,3.13,-0.17,0.17,-,2.46,0.36,-0.36,-
20,Pretax Income,-2.22,7.93,10.58,16.74,37.1,41.69,31.72,12.1,37.8,34.46,21.54,8.42,18.05,17.77,22.75,5.83,17.15,20.76,23.55,7.72
21,Income Tax Expense,-2.84,-0.02,0.71,1.28,4.56,4.81,3.74,0.69,3.54,2.96,0.22,0.02,-0.22,0.95,3.32,0.06,1.04,1.46,1.88,0.36
22,Earnings From Continuing Operations,0.62,7.95,9.87,15.46,32.53,36.88,27.99,11.41,34.26,31.5,21.32,8.4,18.27,16.81,19.43,5.77,16.1,19.3,21.67,7.36
23,Minority Interest in Earnings,-,-,-,-,-0,-,0.32,0.22,0.15,0.26,0.08,0.15,0.13,-,-,-,-,-,-,-
24,Net Income,0.62,7.95,9.87,15.46,32.53,36.88,28.3,11.63,34.41,31.76,21.4,8.55,18.4,16.81,19.43,5.77,16.1,19.3,21.67,7.36
25,Net Income to Common,0.62,7.95,9.87,15.46,32.53,36.88,28.3,11.63,34.41,31.76,21.4,8.55,18.4,16.81,19.43,5.77,16.1,19.3,21.67,7.36
26,Net Income Growth,-98.10%,-78.45%,-65.13%,32.97%,-5.46%,16.15%,32.25%,36.04%,86.99%,88.87%,10.11%,48.09%,14.26%,-12.86%,-10.32%,-21.59%,-,-,-,-
27,Shares Outstanding (Basic),105,113,111,109,112,107,114,108,111,108,111,110,108,112,106,115,84,83,80,85
28,Shares Outstanding (Diluted),105,113,111,109,112,107,114,108,111,108,111,110,108,112,106,115,84,83,80,85
29,Shares Change (YoY),-6.82%,4.80%,-2.58%,1.29%,1.10%,-1.04%,2.54%,-2.34%,2.31%,-3.03%,5.28%,-4.20%,29.17%,34.96%,31.84%,35.42%,-,-,-,-
30,EPS (Basic),0.01,0.07,0.09,0.14,0.29,0.34,0.25,0.11,0.31,0.29,0.19,0.08,0.17,0.15,0.18,0.05,0.19,0.23,0.27,0.09
31,EPS (Diluted),0.01,0.07,0.09,0.14,0.29,0.34,0.25,0.11,0.31,0.29,0.19,0.08,0.17,0.15,0.18,0.05,0.19,0.23,0.27,0.09
32,EPS Growth,-97.97%,-79.44%,-64.20%,31.27%,-6.49%,17.37%,28.98%,39.30%,82.76%,94.76%,4.58%,54.58%,-11.54%,-35.44%,-31.97%,-42.10%,-,-,-,-
33,Free Cash Flow,-,3.08,-2.27,15.01,45.26,0.09,-18.07,-24.52,28.89,-7.02,-3.29,-32.59,-19.11,2.85,-33.23,-14.34,13.78,-10.9,7.65,1.62
34,Free Cash Flow Per Share,-,0.03,-0.02,0.14,0.40,0.00,-0.16,-0.23,0.26,-0.06,-0.03,-0.30,-0.18,0.03,-0.31,-0.12,0.16,-0.13,0.10,0.02
35,Dividend Per Share,-,-,-,-,0.351,-,-,-,0.183,-,-,-,0.164,-,-,-,0.183,-,-,-
36,Dividend Growth,-,-,-,-,92.44%,-,-,-,11.07%,-,-,-,-9.97%,-,-,-,-,-,-,-
37,Gross Margin,179.33%,67.58%,58.60%,64.22%,53.77%,64.17%,50.60%,58.71%,52.37%,62.09%,56.97%,58.12%,57.06%,58.43%,62.66%,61.05%,58.68%,67.20%,63.28%,69.03%
38,Operating Margin,0.90%,16.24%,4.42%,18.89%,20.91%,37.83%,22.41%,15.66%,18.44%,36.91%,22.84%,13.31%,13.20%,21.18%,27.38%,11.70%,18.66%,39.23%,37.33%,30.31%
39,Profit Margin,0.55%,9.02%,12.20%,20.48%,25.00%,33.43%,22.23%,16.22%,29.64%,35.75%,28.07%,15.68%,22.46%,25.30%,29.16%,14.87%,24.58%,33.05%,37.70%,26.48%
40,Free Cash Flow Margin,-,3.49%,-2.81%,19.88%,34.79%,0.08%,-14.19%,-34.20%,24.89%,-7.90%,-4.32%,-59.77%,-23.33%,4.29%,-49.86%,-36.94%,21.02%,-18.66%,13.30%,5.81%
41,EBITDA,2.56,15.87,5.79,15.81,28.75,42.85,30.42,12.34,22.51,33.77,18.51,8.24,11.8,14.53,19.17,5,12.69,23.19,21.78,8.71
42,EBITDA Margin,2.28%,18.00%,7.15%,20.94%,22.10%,38.84%,23.90%,17.21%,19.39%,38.02%,24.28%,15.11%,14.40%,21.87%,28.76%,12.89%,19.36%,39.72%,37.89%,31.34%
43,D&A For EBITDA,1.55,1.55,2.21,1.55,1.55,1.11,1.9,1.11,1.11,0.98,1.1,0.98,0.98,0.46,0.92,0.46,0.46,0.29,0.32,0.29
44,EBIT,1.02,14.32,3.58,14.26,27.21,41.74,28.52,11.23,21.4,32.79,17.42,7.26,10.81,14.07,18.25,4.54,12.23,22.9,21.46,8.43
45,EBIT Margin,0.90%,16.24%,4.42%,18.89%,20.91%,37.83%,22.41%,15.66%,18.44%,36.91%,22.84%,13.31%,13.20%,21.18%,27.38%,11.70%,18.66%,39.23%,37.33%,30.31%
46,Effective Tax Rate,-,-,6.74%,7.63%,12.30%,11.53%,11.78%,5.74%,9.37%,8.59%,1.03%,0.26%,-,5.36%,14.57%,0.95%,6.07%,7.05%,7.98%,4.62%
47,Revenue as Reported,-,88.15,80.89,75.5,130.11,110.32,127.29,71.71,116.08,88.84,76.24,54.53,81.93,66.45,66.65,38.82,65.53,58.38,57.48,27.8
