,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2734,2297,2572,2736,3686,4402,5312,5084,5251,4037,2525,2139,2097,2243,1898,2159,2240,2711,-,-,-
1,Market Cap Growth,-47.81%,-47.81%,-51.58%,-46.18%,-29.81%,9.05%,110.35%,137.67%,150.42%,80.00%,33.03%,-0.89%,-6.38%,-17.28%,-,-,-,-,-,-,-
2,Enterprise Value,2442,2006,2280,2404,3305,4068,4974,4713,4859,3657,2149,1730,1644,1790,1451,1661,2105,2576,-,-,-
3,Last Close Price,25.00,21.01,23.53,25.03,33.01,39.07,47.15,45.15,46.44,35.85,22.42,19.00,18.46,19.75,16.71,19.01,19.52,23.63,-,-,-
4,PE Ratio,80.65,67.78,39.09,28.88,32.56,40.26,47.76,47.92,52.94,42.00,31.53,32.83,33.18,37.12,32.66,35.62,35.64,42.08,-,-,-
5,Forward PE,9.31,8.39,10.12,14.89,24.39,26.43,34.13,33.76,37.10,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.66,6.44,6.87,6.90,8.32,10.02,12.49,12.59,14.88,12.03,8.37,7.66,7.78,8.84,7.99,9.41,10.17,12.96,-,-,-
7,PB Ratio,3.25,2.66,2.97,3.20,4.20,4.94,6.21,6.23,6.52,5.10,3.34,2.95,2.91,3.15,2.73,3.18,3.30,4.03,-,-,-
8,P/TBV Ratio,2.71,2.71,3.03,3.27,4.29,5.05,6.34,6.38,6.68,5.23,3.44,3.04,3.00,3.25,2.82,3.30,3.42,4.15,-,-,-
9,P/FCF Ratio,-,-,42.12,-,87.13,1593.64,-390.30,-,-,-288.14,-,-,-,-,-61.34,-,-,223.34,-,-,-
10,P/OCF Ratio,-,-,27.52,25.99,51.00,85.40,135.48,-,-,103.99,196.97,133.77,-,96.13,62.79,-,52.68,75.25,-,-,-
11,EV/Sales Ratio,6.84,5.62,6.08,6.06,7.46,9.26,11.69,11.67,13.77,10.89,7.13,6.20,6.10,7.05,6.11,7.24,9.56,12.32,-,-,-
12,EV/EBITDA Ratio,62.04,50.12,34.43,25.79,28.05,35.57,46.01,47.58,55.77,44.04,29.72,32.59,30.59,35.44,28.24,27.66,33.59,38.82,-,-,-
13,EV/EBIT Ratio,73.63,60.47,38.40,27.70,29.59,37.42,48.35,50.17,58.66,46.37,31.48,34.91,32.62,37.54,29.56,28.67,34.43,39.63,-,-,-
14,EV/FCF Ratio,-,-,37.32,-,78.15,1472.45,-365.48,-,-,-261.02,-,-,-,-,-46.89,-,-,212.23,-,-,-
15,Debt / Equity Ratio,0.12,0.12,0.12,0.17,0.13,0.11,0.11,0.09,0.10,0.10,0.12,0.07,0.07,0.08,0.06,0.06,0.03,0.02,-,0.06,0.02
16,Debt / EBITDA Ratio,2.69,10.31,1.67,4.15,1.85,0.70,0.54,0.57,1.57,0.77,0.67,0.64,1.60,0.87,0.66,0.47,0.90,0.24,-,0.18,0.11
17,Debt / FCF Ratio,-,-,1.73,-,2.76,34.15,-6.81,-,-,-5.89,-,-,-,-,-1.25,-,-,1.00,-,1.69,2.35
18,Asset Turnover,-,0.33,0.30,0.28,0.49,0.43,0.51,0.29,0.47,0.39,0.35,0.25,0.39,0.33,0.34,0.20,-,-,-,-,
19,Inventory Turnover,-,-,1.06,1.31,1.10,2.25,1.41,2.04,0.89,1.79,1.18,1.34,1.10,1.78,1.44,1.43,1.00,-,-,-,-
20,Quick Ratio,-,-,4.03,3.51,4.09,3.91,3.49,3.82,3.38,3.18,3.18,3.90,4.31,4.20,4.91,6.51,8.18,7.86,-,3.77,-
21,Current Ratio,-,-,4.87,4.18,4.80,4.53,4.18,4.63,4.22,3.88,3.87,4.73,5.02,4.79,5.63,7.41,9.16,8.52,-,4.59,-
22,Return on Equity (ROE),0.28%,3.69%,4.56%,7.00%,14.91%,17.66%,13.81%,5.72%,17.71%,17.02%,11.80%,4.69%,10.38%,9.80%,11.46%,3.42%,-,-,36.35%,-,
23,Return on Assets (ROA),-,3.33%,0.82%,3.29%,6.37%,10.23%,7.20%,2.81%,5.46%,8.94%,4.99%,2.09%,3.18%,4.37%,5.90%,1.49%,-,-,-,-,
24,Return on Capital (ROIC),0.26%,3.63%,0.90%,3.60%,7.04%,11.35%,8.04%,3.20%,6.22%,10.10%,5.62%,2.35%,3.60%,4.85%,6.45%,1.64%,-,-,21.61%,-,
25,Return on Capital Employed (ROCE),-,-,6.57%,9.69%,12.17%,12.16%,11.98%,11.46%,10.24%,9.93%,9.02%,6.82%,6.95%,6.65%,6.98%,8.43%,8.88%,9.66%,-,11.81%,-
26,Earnings Yield,1.24%,1.48%,2.56%,3.46%,3.07%,2.48%,2.09%,2.09%,1.89%,2.38%,3.17%,3.05%,3.01%,2.69%,3.06%,2.81%,2.81%,2.38%,-,-,-
27,FCF Yield,-,2.37%,2.12%,1.15%,0.06%,-0.26%,-0.41%,-0.11%,-0.35%,-2.46%,-2.44%,-3.91%,-2.85%,-1.63%,-2.07%,-0.17%,0.45%,-,-,-,
28,Dividend Yield,1.39%,-,-,-,-,0.90%,-,-,-,0.51%,-,-,-,0.83%,-,-,-,0.77%,-,-,-
