,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,137,163,63,75,134,164,134,157,154,154,264,Upgrade
1,Market Cap Growth,40.58%,117.26%,-52.77%,-54.17%,0%,4.43%,-12.80%,1.91%,-41.78%,-35.49%,49.69%,Upgrade
2,Enterprise Value,-151,-140,-235,-168,41,-62,-25,-50,-131,-107,371,Upgrade
3,Last Close Price,0.06,0.07,0.03,0.03,0.06,0.07,0.06,0.08,0.09,0.09,0.15,Upgrade
4,Forward PE,-,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,Upgrade
5,PS Ratio,0.26,0.31,0.12,0.31,-,0.67,-,0.14,0.13,0.35,-,Upgrade
6,PB Ratio,0.24,0.27,0.10,0.11,0.20,0.23,0.17,0.22,0.21,0.19,0.33,Upgrade
7,P/TBV Ratio,0.30,0.30,0.11,0.13,0.23,0.27,0.19,0.25,0.24,0.22,0.36,Upgrade
8,P/FCF Ratio,-,-,-,1.13,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,1.11,-,-,-,-,4.92,25.41,-,Upgrade
10,PEG Ratio,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,Upgrade
11,EV/FCF Ratio,10.60,-,-,-,-,-,-,-,-,-,-,Upgrade
12,Debt / Equity Ratio,0.02,0.02,0.03,0.03,0.05,0.27,0.24,0.27,0.25,0.26,0.17,Upgrade
13,Debt / FCF Ratio,-,-,-,0.34,-,-,-,-,-,-,-,Upgrade
14,Earnings Yield,-35.03%,-29.35%,-61.15%,-27.20%,-,-42.72%,-,-41.22%,-22.04%,-0.42%,-,Upgrade
15,FCF Yield,-10.45%,-9.28%,-,88.71%,-,-76.88%,-,-24.25%,-9.24%,-2.08%,-,Upgrade
16,Buyback Yield / Dilution,0.72%,1.44%,-,-,-,-24.19%,-,-1.16%,-,-26.98%,-,Upgrade
17,Total Shareholder Return,0.72%,1.44%,-,-,-,-24.19%,-,-1.16%,-,-26.98%,-,Upgrade
