,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Operating Revenue,212.17,208.23,244.76,193.75,227.35,181.77,193.92,135.33,225.43,166.38,213.19,213.21,232.73,205.39,215.77,173.44
1,Other Revenue,-1.64,1.64,-,2.08,-1,1,-,1.69,-0.9,0.9,-,2.24,-1.05,1.05,-,-
2,Revenue,210.53,209.87,244.76,195.83,226.34,182.77,193.92,137.02,224.53,167.27,213.19,215.45,231.68,206.44,215.77,173.44
3,Revenue Growth (YoY),-6.98%,14.83%,26.21%,42.92%,0.81%,9.27%,-9.04%,-36.40%,-3.09%,-18.97%,-1.19%,24.22%,-,-,-,-
4,Cost of Revenue,174.16,164.45,190.26,161.57,181.02,150.38,158.92,116,175.16,129.7,162.43,173.47,173.18,165.48,166.87,148.09
5,Gross Profit,36.37,45.42,54.5,34.26,45.33,32.4,35.01,21.02,49.37,37.58,50.76,41.98,58.51,40.96,48.89,25.35
6,"Selling, General & Admin",15.25,13.81,12.8,13.81,12.16,12.12,11.88,13.25,11.96,11.44,12.61,14.12,10.49,11.09,10.11,-
7,Research & Development,9.81,8.42,9.64,10.36,8.56,8.51,7.62,8.42,9.41,8.69,7.57,9,7.79,6.78,6.82,-
8,Other Operating Expenses,2.36,4.57,0.35,1.42,-0,-0.47,1.57,6.11,0.46,0.82,1.06,8.44,-0.18,-1.94,2.43,-
9,Operating Expenses,27.42,24.7,24.85,25.01,22.46,19.2,24.35,23.49,24.52,18.63,22.08,31.79,18.12,14.82,22.06,-
10,Operating Income,8.95,20.72,29.65,9.25,22.87,13.19,10.65,-2.47,24.85,18.94,28.68,10.19,40.39,26.14,26.83,25.35
11,Interest Expense,-0.57,-0.97,-0.46,-0.34,-0.24,-0.15,-,-0.35,-0.4,-0,-0,-0.01,-0.09,-0.23,-0.3,-
12,Interest & Investment Income,4.21,2.97,1.62,2.44,3.56,4.61,1.42,1.25,3.07,2.95,1.42,0.53,0.25,0.26,0.41,-
13,Currency Exchange Gain (Loss),0.64,-0.64,-,1.1,-1.75,1.75,-,1.15,-0.4,0.4,-,-0.23,0.23,-0.23,-,-
14,Other Non Operating Income (Expenses),-0.53,0.29,-0.39,-1.43,1.43,0.38,-0.52,-1.11,1.18,-0.11,-0.16,0.27,-0.52,0.12,-0.15,0.01
15,EBT Excluding Unusual Items,12.7,22.37,30.42,11.02,25.86,19.79,11.56,-1.53,28.31,22.19,29.94,10.75,40.25,26.06,26.8,25.36
16,Gain (Loss) on Sale of Investments,-1.7,1.1,1.57,1.57,-0.39,-1.17,2.49,0.56,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.03,-0.03,-0,-1.26,-0.01,0.07,-,0.05,-,-,-,-,-0.02,-,0.09,-
18,Asset Writedown,-0.16,-0.75,0.75,-1.52,0.6,-1.49,1.49,0.03,-0.03,0.42,-0.42,1.41,-1.41,1.53,-1.53,-
