,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,156.76,124.01,135.17,206.75,102.27,83.8,173.74,64.9,224.08,55.45,149.73,75.05,-,78.18,-,-
1,Trading Asset Securities,299.62,340.62,396.01,265.87,341.35,327.33,318.69,498.31,262.03,397.7,309.9,20,-,0.92,-,-
2,Cash & Short-Term Investments,456.37,464.62,531.18,472.62,443.62,411.13,492.43,563.21,486.11,453.15,459.63,95.05,-,79.1,71.62,48.56
3,Cash Growth,2.87%,13.01%,7.87%,-16.08%,-8.74%,-9.27%,7.14%,492.54%,-,472.85%,541.77%,95.74%,-,-,-,-
4,Accounts Receivable,176.41,175.88,218.8,177.72,194.19,157.44,173.12,123.63,203.57,146.87,187.68,182.42,-,182.78,-,-
5,Other Receivables,0.24,0.24,0.25,0.21,0.4,0.89,0.43,0.28,0.43,0.44,0.48,0.42,-,0.09,-,-
6,Receivables,176.65,176.12,219.05,177.94,194.59,158.33,173.55,123.91,204,147.31,188.16,182.84,-,182.86,-,-
7,Inventory,166.73,158.03,111.39,145.47,114.15,125.56,104.2,138.31,105.41,145.16,118.25,146.65,-,136.01,-,-
8,Other Current Assets,7.61,4.36,3.26,2.15,2.34,8.75,1.54,2.95,5.6,10.83,6.5,4.77,-,3.65,-,-
9,Total Current Assets,807.37,803.13,864.88,798.18,754.69,703.76,771.71,828.39,801.11,756.45,772.54,429.32,-,401.63,-,-
10,"Property, Plant & Equipment",331.56,331.5,303.95,302.01,296.55,281.56,250.58,244,200.1,191.69,181.25,184.67,-,150.55,-,-
11,Other Intangible Assets,26.77,26.94,26.5,26.52,26.74,26.93,27.16,27.39,27.42,27.64,27.78,28.11,-,28.15,-,-
12,Long-Term Deferred Tax Assets,5.07,4.55,5.39,5.12,4.14,4.42,4.16,4.08,3.8,3.58,3.69,3.75,-,3.8,-,-
13,Long-Term Deferred Charges,1.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Long-Term Assets,5.23,2.08,8.26,1.31,0.41,1.49,2.06,2.65,0.03,0.32,0.31,0.31,-,0.7,-,-
15,Total Assets,1177,1168,1209,1133,1083,1018,1056,1106,1032,979.68,985.57,646.16,-,584.83,-,-
16,Accounts Payable,101.56,82.64,82.04,103.94,89.81,79.64,72.11,88.21,103.36,77.76,55.3,98.51,-,96.41,-,-
17,Accrued Expenses,42.44,38.9,29.22,49.31,39.59,37.74,25.71,50.46,38.57,39.6,27.47,59.28,-,42.12,-,-
18,Short-Term Debt,108.73,120.42,156.31,72.52,55.96,29.96,46.01,75.54,-,-,-,-,-,10,-,-
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,0.69,-,-
20,Current Portion of Leases,0.07,0.07,0.07,0.07,0,0.04,-,0.04,-,0.09,0.31,0.57,-,-,-,-
21,Current Income Taxes Payable,2.81,-,7.79,1.2,5.41,0.82,5.04,-,5.52,1.1,8.84,1.78,-,2.91,-,-
22,Current Unearned Revenue,0.31,0.36,0.89,2.15,0.71,0.83,2.31,1.19,0.53,0.16,0.12,1.19,-,0.18,-,-
23,Other Current Liabilities,25.5,26.03,3.54,4.19,2.9,4.15,2.69,3.08,1.93,3.6,3.24,3.56,-,2.3,-,-
24,Total Current Liabilities,281.43,268.41,279.85,233.38,194.39,153.18,153.87,218.52,149.91,122.31,95.29,164.89,-,154.61,-,-
25,Long-Term Leases,0.07,0.07,0.07,0.07,-,-,-,-,-,-,-,0.04,-,-,-,-
26,Long-Term Unearned Revenue,4.15,4.24,4.33,4.42,4.44,4.51,4,4.04,4.2,4.25,4.31,4.37,-,4.55,-,-
27,Long-Term Deferred Tax Liabilities,-,-,-,-,0.71,0.71,0.51,0.51,-,-,-,-,-,-,-,-
28,Total Liabilities,285.64,272.71,284.25,237.86,199.54,158.4,158.38,223.08,154.1,126.56,99.6,169.3,-,159.15,-,-
29,Common Stock,109.43,109.06,106.67,106.67,106.67,106.67,106.67,106.67,106.67,106.67,106.67,80,-,80,-,-
30,Additional Paid-In Capital,556.49,551.29,531.52,531.52,531.52,531.52,531.52,531.52,531.52,531.52,531.52,175.15,-,175.15,-,-
31,Retained Earnings,245.69,255.32,286.53,257.08,244.8,221.56,259.1,245.23,240.17,214.93,247.78,221.71,-,170.53,-,-
32,Treasury Stock,-20.17,-20.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Shareholders' Equity,891.44,895.5,924.72,895.28,883,859.76,897.29,883.42,878.37,853.12,885.97,476.86,-,425.68,378.81,296.8
34,Total Liabilities & Equity,1177,1168,1209,1133,1083,1018,1056,1106,1032,979.68,985.57,646.16,-,584.83,-,-
35,Total Debt,108.86,120.55,156.44,72.65,55.96,30,46.01,75.58,-,0.09,0.31,0.61,-,10.69,31.44,93
36,Net Cash (Debt),347.51,344.07,374.74,399.97,387.66,381.14,446.42,487.63,486.11,453.05,459.32,94.44,-,68.41,40.18,-44.44
37,Net Cash Growth,-10.36%,-9.73%,-16.06%,-17.98%,-20.25%,-15.87%,-2.81%,416.34%,-,562.27%,1043.23%,-,-,-,-,-
38,Net Cash Per Share,3.18,3.16,3.56,3.72,3.63,3.57,4.18,4.68,4.56,4.73,4.23,1.20,-,0.85,0.51,-
