,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020"
0,Market Capitalization,1904,1843,1853,1929,2609,2459,2432,2485,2459,2930,2889,2741,-,-,-,-,-
1,Market Cap Growth,-25.03%,-25.03%,-23.81%,-22.40%,6.12%,-16.09%,-15.81%,-9.34%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1557,1499,1478,1541,2221,2078,1986,1999,1973,2477,2429,2673,-,-,-,-,-
3,Last Close Price,17.79,17.22,16.76,17.32,23.43,22.08,21.84,21.79,21.56,25.69,25.32,23.59,-,-,-,-,-
4,PE Ratio,24.79,23.85,20.99,23.88,40.02,42.42,40.56,38.44,31.99,32.81,29.56,26.91,-,-,-,-,-
5,PS Ratio,2.23,2.14,2.11,2.27,3.27,3.32,3.29,3.44,3.31,3.57,3.49,3.16,-,-,-,-,-
6,PB Ratio,2.14,2.07,2.07,2.09,2.91,2.78,2.83,2.77,2.78,3.34,3.39,3.09,-,-,-,-,-
7,P/TBV Ratio,2.13,2.13,2.13,2.15,3.00,2.87,2.92,2.86,2.87,3.44,3.50,3.19,-,-,-,-,-
8,P/FCF Ratio,-,-118.83,-,-,-,-121.05,-,-,46.80,44.99,56.49,-,-,-,-,-,-
9,P/OCF Ratio,29.02,29.02,26.07,-,52.19,28.68,34.67,-,17.94,22.10,23.48,21.96,-,-,-,-,-
10,EV/Sales Ratio,1.81,1.74,1.69,1.81,2.78,2.81,2.69,2.77,2.66,3.02,2.94,3.08,-,-,-,-,-
11,EV/EBITDA Ratio,18.68,16.74,14.31,16.57,30.10,33.56,31.07,28.62,22.44,24.63,20.95,21.72,-,-,-,-,-
12,EV/EBIT Ratio,24.43,21.86,17.92,20.56,39.69,46.96,42.95,38.47,-,29.96,24.74,25.36,-,-,-,-,-
13,EV/FCF Ratio,-100.36,-96.65,-,-,-,-102.28,-,-,37.55,38.03,47.51,-,-,-,-,-,-
14,Debt / Equity Ratio,0.12,0.12,0.13,0.17,0.08,0.06,0.03,0.05,0.09,-,0.00,0.00,0.00,-,0.03,0.08,0.31
15,Debt / EBITDA Ratio,1.31,2.00,1.08,1.14,1.26,0.51,0.42,0.76,7.19,-,0.00,0.00,0.01,-,0.09,0.25,0.90
16,Debt / FCF Ratio,-,-7.02,-,-,-,-2.76,-,-,1.44,-,0.00,-,0.01,-,0.13,-,1.76
17,Asset Turnover,0.72,0.71,0.84,0.71,0.86,0.71,0.72,0.51,0.89,0.68,1.05,-,-,-,-,-,
18,Inventory Turnover,4.92,4.29,4.88,5.93,4.98,6.04,5.24,5.24,3.81,5.59,3.94,4.91,-,-,-,-,-
19,Quick Ratio,2.25,2.25,2.39,2.68,2.79,3.28,3.72,4.33,3.14,4.60,4.91,6.80,1.69,-,1.69,-,-
20,Current Ratio,2.87,2.87,2.99,3.09,3.42,3.88,4.59,5.02,3.79,5.34,6.18,8.11,2.60,-,2.60,-,-
21,Return on Equity (ROE),5.49%,10.25%,12.94%,5.52%,10.67%,7.19%,6.23%,2.29%,11.66%,9.43%,15.30%,-,-,24.49%,-,-,
22,Return on Assets (ROA),1.91%,4.36%,6.33%,2.09%,5.44%,3.18%,2.46%,-0.58%,6.18%,4.82%,8.79%,-,-,-,-,-,
23,Return on Capital (ROIC),2.22%,4.94%,7.24%,2.42%,6.25%,3.60%,2.80%,-0.67%,7.18%,5.44%,10.52%,-,-,15.44%,-,-,
24,Return on Capital Employed (ROCE),7.11%,7.66%,9.17%,8.07%,6.22%,4.98%,5.34%,5.76%,-,9.37%,11.45%,11.84%,21.52%,-,18.20%,-,-
25,Earnings Yield,4.06%,4.19%,4.76%,4.19%,2.50%,2.36%,2.47%,2.60%,3.13%,3.05%,3.38%,3.72%,-,-,-,-,-
26,FCF Yield,-0.81%,-0.84%,-0.84%,-1.56%,-1.81%,-0.83%,-1.46%,1.03%,2.14%,2.22%,1.77%,2.10%,-,-,-,-,-
27,Dividend Yield,2.20%,-,4.18%,-,2.13%,-,-,-,2.32%,-,-,-,-,-,-,-,-
28,Payout Ratio,97.55%,175.55%,227.91%,1.20%,3.22%,5.43%,331.66%,-,6.76%,6.34%,254.43%,-,0.07%,0.27%,0.85%,1.44%,-
29,Buyback Yield / Dilution,-1.55%,-2.44%,-2.18%,1.43%,-3.05%,-0.05%,-11.23%,1.74%,-32.22%,-33.34%,-18.97%,-36.71%,-,-,-,-,-
30,Total Shareholder Return,0.65%,-2.44%,1.99%,1.43%,-0.92%,-0.05%,-11.23%,1.74%,-29.90%,-33.34%,-18.97%,-36.71%,-,-,-,-,-
