,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,375.66,495.61,512.64,472.2,652.83,462.81,446.83,543.73,-,473.11,509.84,327.15,411.64,471.42,365.35,405.45,-,354.57,-
1,Trading Asset Securities,-,86.54,22.3,49,44.91,50.94,0.89,0.78,3.41,-,123.39,40.92,160.74,170.1,196.21,8.69,8.78,-,0.92,-
2,Cash & Short-Term Investments,462.2,462.2,517.9,561.63,517.11,703.77,463.69,447.62,547.14,-,596.5,550.76,487.89,581.74,667.63,374.04,414.22,-,355.49,437.27
3,Cash Growth,-10.62%,-34.33%,11.69%,25.47%,-5.49%,-,-22.26%,-18.73%,12.14%,-,-10.65%,47.25%,17.78%,-,87.81%,-14.46%,-,-,-,-
4,Accounts Receivable,-,966.07,741.51,756.27,871.41,781.06,642.41,638.04,678.41,-,436.39,420.5,418.17,323.56,307.34,348.28,352.08,-,260.41,-
5,Other Receivables,-,26.48,73.21,19.36,42.77,6.78,3.16,13.09,32.66,-,12.97,1.86,11.35,1.87,11.13,1.35,9.03,-,8.3,-
6,Receivables,-,992.55,814.72,775.64,914.18,787.84,645.57,651.12,711.06,-,449.36,422.37,429.52,325.42,318.47,349.63,361.11,-,268.7,-
7,Inventory,-,379.93,336.56,320.56,309.09,324.23,328.31,354.14,339.73,-,289.96,262.76,258.43,229.8,226.72,196.3,176.85,-,157.97,-
8,Prepaid Expenses,-,-,-,-,-,-,0.67,-,1.24,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,-,78.7,16.15,64.1,13.02,37.77,38.72,40.86,11.75,-,16.69,48.28,21.1,36.88,22.87,35.37,16.85,-,13.25,-
10,Total Current Assets,-,1913,1685,1722,1753,1854,1477,1494,1611,-,1353,1284,1197,1174,1236,955.34,969.03,-,795.4,-
11,"Property, Plant & Equipment",-,1108,1115,965.59,892.35,795.89,646.98,540.6,501.71,-,366.88,362.51,356.91,352.16,353.13,342.55,334.72,-,332.52,-
12,Long-Term Investments,-,11.74,11.78,8.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,70.13,67.8,65.48,65.64,64.8,67.6,68.83,70.27,-,40.71,40.6,42.04,41.99,42.89,42.69,42.36,-,40.36,-
14,Long-Term Deferred Tax Assets,-,18.62,13.2,11.53,13.78,13.86,11.08,8.81,8.99,-,3.55,4.09,4.38,3.79,1.81,0.71,0.77,-,2,-
15,Long-Term Deferred Charges,-,4.74,4.97,5.37,5.6,6.23,6.11,4.05,1.57,-,1.93,2.56,1.17,1.36,1.64,2.48,2.26,-,2.51,-
16,Other Long-Term Assets,-,48.64,49.18,129.57,153.4,26.19,60.22,82.75,41.65,-,39.27,35.79,20.64,11.53,2.32,5.32,6.96,-,1.89,-
17,Total Assets,-,3175,2947,2908,2884,2761,2269,2199,2235,-,1805,1730,1622,1585,1637,1349,1356,-,1175,-
18,Accounts Payable,-,414.11,384.67,303.65,361.94,355.54,308.33,345.56,363.91,-,271.47,246.67,223.88,179.98,220.13,222.17,227.19,-,152.14,-
19,Accrued Expenses,-,84.11,137.58,54.82,168.18,80.33,104.84,49.84,105.88,-,72.2,35.07,67.89,45.59,65.04,44.92,57.34,-,50.52,-
20,Short-Term Debt,-,279.76,211.09,357.63,327.26,310.43,409.64,376.23,433.76,-,282.8,328.92,254.04,292.23,321.45,294.2,327.89,-,304.62,-
21,Current Portion of Long-Term Debt,-,111.83,13.57,-,12.03,-,13.03,-,9.94,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,-,7.51,-,7.34,-,6.86,-,7.7,-,4.57,-,2.92,-,3.18,-,-,-,-,-
23,Current Income Taxes Payable,-,29.09,6.06,28.86,24.72,17.71,6.16,10.52,3.65,-,1.07,9.63,1.1,3.93,1.45,10.38,2.8,-,1.18,-
24,Current Unearned Revenue,-,40.29,38.74,40.86,26.17,46.59,36.17,9.05,7.24,-,4.53,4.83,17.54,8.11,4.69,11.73,9.7,-,8.44,-
25,Other Current Liabilities,-,142.29,115.1,152.25,54.82,114.39,61.21,110.55,51.93,-,14.42,51.4,17.67,31.58,10.51,24.09,14.63,-,14.06,-
