,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,771.37,786.49,609.97,597.8,702.9,642.97,497.5,452.93,506.62,513.42,319.36,368.31,331.33,335.49,268.12,313.53,314.49,332.87,174.22,239.2
1,Other Revenue,-,-30.66,30.66,-,30.16,-13.59,13.59,-,61.2,-33.61,33.61,-,53.51,-20.91,20.91,-,27.26,-15.03,15.03,-
2,Revenue,771.37,755.83,640.63,597.8,733.06,629.38,511.09,452.93,567.81,479.81,352.97,368.31,384.84,314.58,289.03,313.53,341.76,317.84,189.25,239.2
3,Revenue Growth (YoY),5.23%,20.09%,25.35%,31.98%,29.10%,31.17%,44.79%,22.98%,47.54%,52.52%,22.12%,17.47%,12.61%,-1.03%,52.73%,31.07%,-,-,-,-
4,Cost of Revenue,1007,527.66,491.67,450.32,563.33,463.27,401.77,346.89,471.54,385.61,279.39,294.58,283.19,229.19,218.83,231.93,251.71,221.37,135.23,176.18
5,Gross Profit,-236.08,228.17,148.96,147.48,169.73,166.11,109.32,106.04,96.27,94.2,73.58,73.73,101.65,85.39,70.2,81.59,90.05,96.47,54.01,63.02
6,"Selling, General & Admin",-163.26,62.79,48.37,52.11,61.61,55.4,38.36,41.86,40.13,40.9,32.38,33.41,36.93,40.25,38.17,33.57,34.29,31.82,32.67,30.78
7,Research & Development,-125.03,48.2,36.54,40.29,42.98,38.25,35.35,32.09,35.49,29.62,19.6,24.81,31.65,20.2,19.46,16.14,20.15,16.01,12.24,12.41
8,Other Operating Expenses,41.91,-46.89,22.97,-17.98,-2.07,0.44,0.47,1.49,6.2,2.06,-0.24,1.67,2.56,1.99,1.33,1.36,7.06,0.96,-1.37,2.23
