,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5534,5670,4949,4139,4603,6099,6442,7477,7030,9184,9446,11430,7104,8939,2621,4208,-,-,-,-,-
1,Market Cap Growth,-7.03%,-7.03%,-23.17%,-44.64%,-34.52%,-33.59%,-31.81%,-34.59%,-1.04%,2.74%,260.44%,171.63%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6063,6200,5316,4528,4778,6274,6565,7565,6950,9104,9241,11216,6821,8656,2285,4136,-,-,-,-,-
3,Last Close Price,33.98,34.82,30.93,25.87,28.46,37.71,39.83,46.23,43.29,56.56,58.17,70.39,43.65,54.93,16.11,25.86,-,-,-,-,-
4,PE Ratio,23.12,24.01,20.50,20.77,24.55,38.36,47.44,61.30,67.23,105.36,126.05,172.11,137.95,147.35,32.93,43.42,-,-,-,-,-
5,Forward PE,16.01,17.38,17.43,15.35,18.54,26.98,31.03,40.03,32.79,48.85,63.14,94.62,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.97,2.05,1.81,1.59,1.86,2.62,2.98,3.72,3.79,5.19,5.96,8.05,5.24,6.87,2.08,3.33,-,-,-,-,-
7,PB Ratio,3.71,3.86,3.37,3.00,3.36,4.67,5.09,6.43,6.19,8.32,-,10.90,6.80,8.67,2.58,4.19,-,-,-,-,-
8,P/TBV Ratio,4.07,4.07,3.55,3.17,3.55,4.94,5.37,6.84,6.60,8.91,-,11.35,7.09,9.05,2.69,4.39,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-23.81,-15.41,-,-,-,-,-,-,-107.75,-,-,-,84.31,-,-,-,-,-
10,P/OCF Ratio,-,-,-,11.73,16.67,25.69,36.57,121.84,3007.84,-,-,-5240.21,-814.74,-,-,37.38,-,-,-,-,-
11,PEG Ratio,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,2.19,2.24,1.95,1.74,1.93,2.70,3.04,3.76,3.75,5.15,5.83,7.89,5.03,6.65,1.81,3.28,-,-,-,-,-
13,EV/EBITDA Ratio,17.59,17.80,14.09,15.83,17.53,27.25,34.94,54.91,58.24,91.15,77.71,92.09,61.33,68.43,17.44,27.32,-,-,-,-,-
14,EV/EBIT Ratio,21.01,21.49,16.74,19.84,21.84,35.15,47.56,84.76,95.31,166.18,122.99,140.81,98.27,101.31,25.18,37.13,-,-,-,-,-
15,EV/FCF Ratio,-,-,-,-26.04,-16.00,-,-,-,-,-,-,-105.73,-,-,-,82.86,-,-,-,-,-
16,Debt / Equity Ratio,0.67,0.67,0.67,0.64,0.69,0.71,0.69,0.50,0.47,0.54,-,0.37,0.32,0.25,0.29,0.33,0.41,0.46,-,0.47,0.45
17,Debt / EBITDA Ratio,2.86,7.90,1.46,3.30,2.72,3.28,2.84,2.78,2.99,6.29,-,3.05,3.32,1.63,2.47,3.99,1.86,1.98,-,3.84,2.68
18,Debt / FCF Ratio,-,-,-,-5.06,-3.16,-,-,-,-,-,-,-3.67,-,-,-,6.62,-,7.70,-,-85.60,-
19,Asset Turnover,-,0.99,0.88,0.83,1.04,1.00,0.92,0.82,-,-,0.80,0.88,0.96,0.78,0.77,0.93,-,-,-,-,
20,Inventory Turnover,-,-,5.89,5.99,5.72,7.12,5.68,4.71,4.00,-,-,4.04,4.52,4.64,4.02,4.14,4.97,-,-,-,-
21,Quick Ratio,-,-,1.32,1.46,1.43,1.46,1.61,1.17,1.22,1.28,-,1.61,1.44,1.57,1.62,1.57,1.19,1.21,-,1.18,-
22,Current Ratio,-,-,1.74,1.84,1.84,1.78,2.00,1.56,1.66,1.64,-,2.08,1.90,2.05,2.09,1.97,1.57,1.52,-,1.50,-
