,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,35340,48127,32095,41123,31293,33143,24236,22520,23714,16551,Upgrade
1,Revenue Growth (YoY),10.11%,17.03%,2.56%,24.08%,29.12%,47.17%,2.20%,36.07%,8.84%,1.72%,Upgrade
2,Cost of Revenue,30493,41570,26395,32963,24647,27147,17750,17537,17071,9980,Upgrade
3,Gross Profit,4847,6557,5700,8160,6645,5996,6486,4984,6643,6571,Upgrade
4,"Selling, General & Admin",1671,2902,1348,2449,1361,2104,1109,1494,1060,1215,Upgrade
5,Other Operating Expenses,-124.65,-59.98,-70.73,-63.34,-22.75,49.62,-15.05,-16.23,-10.58,18.57,Upgrade
6,Operating Expenses,1546,2842,1277,2386,1338,2154,1094,1478,1049,1234,Upgrade
7,Operating Income,3301,3715,4423,5774,5307,3843,5392,3506,5593,5337,Upgrade
8,Interest Expense,-394.95,-420.65,-431.29,-258.29,-475.16,-986.95,-249.9,-315.7,-527.6,-460.2,Upgrade
9,Interest & Investment Income,402.21,573.23,397.34,224,412.54,378.9,350.69,132.13,326.75,123.83,Upgrade
10,Earnings From Equity Investments,460.98,354.04,398.06,-104.39,7.22,312.42,102.98,922.55,9.76,210.15,Upgrade
11,Currency Exchange Gain (Loss),60.48,98.91,80.66,-87.47,-95.12,23.05,134.27,-105.94,14.62,-59.48,Upgrade
12,Other Non Operating Income (Expenses),92.64,-52.54,52.54,-18.33,18.33,0.69,-0.69,-7.6,7.6,-7.16,Upgrade
13,EBT Excluding Unusual Items,3923,4268,4921,5530,5175,3571,5729,4131,5424,5144,Upgrade
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,1203,-,-,-,-0.64,Upgrade
15,Gain (Loss) on Sale of Assets,-,-,10.62,-,-,1243,0.7,2.77,0.68,44.33,Upgrade
16,Asset Writedown,-99.03,-1392,-110.52,207.25,-82.07,-975.12,71.08,659.15,-18.04,-7.2,Upgrade
17,Other Unusual Items,-,-,23.39,-,-,-,-,-,-,-1.25,Upgrade
18,Pretax Income,3824,2877,4844,5737,5093,5041,5801,4793,5407,5180,Upgrade
19,Income Tax Expense,1262,1221,1925,2183,2510,2468,3101,2407,3110,3208,Upgrade
20,Earnings From Continuing Operations,2562,1656,2919,3554,2583,2573,2700,2386,2297,1971,Upgrade
21,Minority Interest in Earnings,-730.8,-647.94,-742.02,-1308,-876.13,-1285,-400.06,-132.55,-302.49,-358.18,Upgrade
22,Net Income,1831,1008,2177,2246,1707,1289,2300,2253,1995,1613,Upgrade
23,Net Income to Common,1831,1008,2177,2246,1707,1289,2300,2253,1995,1613,Upgrade
24,Net Income Growth,-15.89%,-55.14%,27.55%,74.33%,-25.79%,-42.81%,15.33%,39.67%,6.66%,14.08%,Upgrade
25,Shares Outstanding (Basic),4025,4025,3432,3096,3096,3096,3096,3096,3096,3096,Upgrade
26,Shares Outstanding (Diluted),4025,4025,3432,3096,3096,3096,3096,3096,3096,3096,Upgrade
27,Shares Change (YoY),17.29%,30.00%,10.83%,-,-,-,-,-0.00%,15.30%,24.84%,Upgrade
28,EPS (Basic),0.45,0.25,0.63,0.73,0.55,0.42,0.74,0.73,0.64,0.52,Upgrade
29,EPS (Diluted),0.45,0.25,0.63,0.73,0.55,0.42,0.74,0.73,0.64,0.52,Upgrade
30,EPS Growth,-28.29%,-65.49%,15.08%,74.33%,-25.79%,-42.81%,15.33%,39.67%,-7.49%,-8.62%,Upgrade
31,Free Cash Flow,5970,-2962,11182,4813,-2260,-5913,-35.19,15317,-21.74,6463,Upgrade
32,Free Cash Flow Per Share,1.48,-0.74,3.26,1.55,-0.73,-1.91,-0.01,4.95,-0.01,2.09,Upgrade
33,Dividend Per Share,0.173,0.134,0.213,0.272,0.275,0.265,0.271,0.265,0.255,0.220,Upgrade
34,Dividend Growth,-18.78%,-50.74%,-22.55%,2.64%,1.48%,0%,6.27%,20.45%,8.51%,0%,Upgrade
35,Operating Margin,9.34%,7.72%,13.78%,14.04%,16.96%,11.59%,22.25%,15.57%,23.59%,32.25%,Upgrade
36,Profit Margin,5.18%,2.09%,6.78%,5.46%,5.46%,3.89%,9.49%,10.00%,8.41%,9.75%,Upgrade
37,Free Cash Flow Margin,16.89%,-6.15%,34.84%,11.70%,-7.22%,-17.84%,-0.15%,68.01%,-0.09%,39.05%,Upgrade
38,EBITDA,3421,3757,4514,5819,5399,3861,5471,3531,5657,5346,Upgrade
39,D&A For EBITDA,119.54,42.09,90.45,45.39,91.57,18.63,79.09,24.9,63.97,8.74,Upgrade
40,EBIT,3301,3715,4423,5774,5307,3843,5392,3506,5593,5337,Upgrade
