,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2758527,3089550,3236672,2804403,2520211,2131007,2304517,2156937,1797514,1398066,2039284,3083532,3587443,3040520,2336477,1821396,1797535,1154338,969348,795580,502128,Upgrade
1,Market Cap Growth,44.98%,44.98%,40.45%,30.02%,40.21%,52.43%,13.01%,-30.05%,-49.89%,-54.02%,-12.72%,69.29%,99.58%,163.40%,141.04%,128.94%,257.98%,18.80%,-14.33%,-40.75%,-56.92%,Upgrade
2,Enterprise Value,4753830,5753689,5900810,5278916,4995370,4365265,4885199,4673762,3946123,3425167,4778500,5420318,5652635,5254719,4823378,3500238,3476377,2976076,3022661,2552563,1806856,Upgrade
3,Last Close Price,22500.00,24774.68,25547.30,22952.64,19598.02,17300.99,17222.80,16119.86,13433.22,10157.83,14459.66,22956.58,26368.99,22070.42,18302.30,14267.52,14080.61,9533.34,7753.42,6685.87,4219.77,Upgrade
4,PE Ratio,11.09,9.79,12.01,11.40,10.68,9.92,10.35,8.32,6.17,4.89,8.71,14.46,19.14,17.77,12.20,10.64,12.63,7.50,5.18,3.91,2.21,Upgrade
5,Forward PE,6.64,8.73,9.42,9.09,8.39,7.91,7.84,9.91,6.30,5.03,6.86,10.29,9.21,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,Upgrade
6,PS Ratio,0.38,0.40,0.44,0.38,0.34,0.30,0.33,0.31,0.26,0.21,0.31,0.49,0.62,0.56,0.46,0.36,0.39,0.26,0.21,0.18,0.11,Upgrade
7,PB Ratio,1.53,1.63,1.71,1.55,1.40,1.15,1.29,1.29,1.09,0.85,1.15,2.12,2.47,2.08,1.76,1.54,-,1.01,0.84,0.76,0.48,Upgrade
8,P/TBV Ratio,1.78,1.78,1.86,1.70,1.53,1.37,1.43,1.42,1.12,0.87,1.17,2.16,2.51,2.11,1.79,1.57,-,1.03,0.86,0.78,0.49,Upgrade
9,P/FCF Ratio,3.09,3.09,10.13,-,-,-,-2.97,-,-,-,3.60,-,-,-68.32,47.09,-,-,-3.18,-1.82,-,-,Upgrade
10,P/OCF Ratio,3.02,3.02,3.37,-,-,4.43,-6.99,-,-,-,2.49,-,-,9.15,5.46,-,-,7.86,-6.47,-,-,Upgrade
11,EV/Sales Ratio,0.65,0.74,0.81,0.72,0.66,0.62,0.70,0.68,0.58,0.51,0.72,0.86,0.98,0.97,0.96,0.70,0.75,0.66,0.66,0.58,0.39,Upgrade
12,EV/EBITDA Ratio,5.67,6.55,6.93,6.39,6.40,6.15,7.00,9.40,12.03,18.78,-,-,-,34.03,-,-,-,-,-,-,-,Upgrade
13,EV/EBIT Ratio,7.80,8.87,9.49,8.70,8.75,8.53,9.68,8.98,6.72,6.19,8.97,11.03,13.65,13.07,13.95,10.64,11.61,9.57,8.58,6.94,4.50,Upgrade
14,EV/FCF Ratio,-19.73,5.75,18.47,-,-,-,-6.30,-,-,-,8.44,-,-,-118.08,97.21,-,-,-8.20,-5.69,-,-,Upgrade
15,Debt / Equity Ratio,1.43,1.43,1.43,1.62,1.62,1.42,1.50,1.74,1.73,1.62,1.46,1.89,1.63,1.42,1.70,2.14,-,1.62,1.83,2.08,1.89,Upgrade
16,Debt / EBITDA Ratio,3.12,3.04,2.99,3.39,3.39,3.38,3.34,4.29,4.90,3.67,-,-,-,3.37,-,-,-,-,-,-,-,Upgrade
17,Debt / FCF Ratio,2.70,2.70,8.45,-,-,-,-3.45,-,-,-,4.57,-,-,-46.71,45.63,-,-,-5.11,-3.98,-,-,Upgrade
18,Asset Turnover,1.45,1.44,1.20,1.27,1.25,1.53,1.42,0.98,1.17,1.56,1.60,1.12,1.28,1.57,-,-,1.03,1.75,1.17,0.96,Upgrade,
19,Inventory Turnover,6.25,6.78,5.98,4.41,4.98,5.97,6.63,4.90,3.27,4.57,5.98,5.01,3.55,4.62,5.37,-,-,3.48,5.35,2.91,2.54,Upgrade
20,Quick Ratio,0.53,0.53,0.53,0.42,0.42,0.41,0.48,0.40,0.37,0.34,0.49,0.40,0.27,0.25,0.41,0.38,-,0.33,0.54,0.37,0.39,Upgrade
21,Current Ratio,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.86,0.90,0.89,1.01,0.94,0.85,0.83,0.90,0.90,-,0.96,1.04,0.98,1.06,Upgrade
22,Return on Equity (ROE),19.63%,20.10%,14.39%,14.19%,10.66%,16.08%,13.22%,10.57%,14.41%,26.35%,23.91%,10.53%,18.19%,27.10%,-,-,8.06%,23.57%,12.26%,12.73%,Upgrade,
23,Return on Assets (ROA),7.19%,7.14%,6.66%,7.05%,6.62%,6.89%,5.39%,4.46%,6.45%,8.13%,9.46%,3.51%,6.64%,7.31%,-,-,3.88%,7.11%,5.52%,4.89%,Upgrade,
24,Return on Capital (ROIC),9.10%,8.98%,8.31%,8.51%,7.85%,8.41%,6.69%,5.52%,7.69%,9.82%,11.71%,4.30%,7.95%,8.68%,-,-,4.58%,8.46%,6.45%,5.55%,Upgrade,
25,Return on Capital Employed (ROCE),21.14%,21.14%,20.27%,23.34%,21.97%,19.05%,19.61%,21.74%,24.55%,23.36%,19.73%,21.32%,20.78%,20.93%,17.52%,18.49%,-,17.24%,19.17%,23.32%,24.99%,Upgrade
26,Earnings Yield,9.12%,10.22%,8.33%,8.77%,9.37%,10.08%,9.96%,12.34%,16.59%,20.95%,14.46%,8.89%,6.92%,7.63%,8.20%,9.40%,7.92%,13.33%,19.32%,25.57%,45.22%,Upgrade
27,FCF Yield,-8.73%,32.41%,9.87%,-1.19%,0.07%,-10.84%,-33.66%,-11.20%,-11.75%,-6.40%,27.77%,-2.11%,0.38%,-1.46%,2.12%,-,-15.44%,-31.46%,-54.82%,-89.99%,-122.58%,Upgrade
28,Dividend Yield,5.33%,-,-,5.10%,5.82%,-,4.30%,4.43%,-,-,6.94%,2.88%,-,2.88%,-,2.23%,-,-,-,-,-,Upgrade
29,Payout Ratio,36.09%,52.77%,52.77%,34.97%,34.97%,97.21%,-,0.95%,95.16%,73.61%,34.90%,0.03%,88.17%,-,-,-,133.99%,127.70%,-,-,155.31%,Upgrade
30,Buyback Yield / Dilution,0.00%,0.12%,0.05%,0.07%,0.02%,-14.97%,-0.02%,-5.13%,-5.05%,-6.52%,-13.34%,-15.99%,-16.16%,0.54%,-7.46%,-4.94%,-4.88%,-19.85%,-10.25%,-32.22%,-32.11%,Upgrade
31,Total Shareholder Return,5.34%,0.12%,0.05%,5.17%,5.84%,-14.97%,4.29%,-0.71%,-5.05%,-6.52%,-6.40%,-13.12%,-16.16%,3.41%,-7.46%,-2.72%,-4.88%,-19.85%,-10.25%,-32.22%,-32.11%,Upgrade
