,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,21.69,49.29,52.01,43.79,35.72,113.64,7.38,9.17,2.19,30.29
1,Trading Asset Securities,34.6,34.44,35.62,33.9,32.99,25.38,-,-,-,-
2,Cash & Short-Term Investments,56.29,83.73,87.63,77.69,68.72,139.02,7.38,9.17,2.19,30.29
3,Cash Growth,-35.76%,7.77%,27.52%,-44.11%,831.36%,1415.40%,237.05%,-69.71%,-95.75%,-39.16%
4,Accounts Receivable,77.29,68.69,91.67,77.27,96.06,97.38,105.04,114.42,133.25,137.18
5,Other Receivables,91.03,68.17,52.7,33.24,1.56,0.28,0.06,0.07,0.07,0.22
6,Receivables,168.33,136.87,144.37,110.51,97.62,97.66,105.1,114.49,133.32,137.4
7,Inventory,55.35,48.79,48.75,58.95,53.83,35.62,42.16,38.41,24.66,23.39
8,Other Current Assets,35.06,37.88,33.17,39.23,18.41,42.13,18.93,21.52,9.69,21.1
9,Total Current Assets,315.03,307.26,313.92,286.38,238.58,314.43,173.58,183.6,169.85,212.17
10,"Property, Plant & Equipment",189.73,189.11,181.6,108.9,89.9,58.63,38.72,33.59,30.96,31.95
11,Long-Term Investments,146.33,224.44,201.37,198.87,194.24,186.33,32.31,-,-,-
12,Other Intangible Assets,4.82,5.2,68.65,71.17,63.93,63.95,64.24,0.9,1.24,1.58
13,Long-Term Deferred Tax Assets,6.43,6.43,2.19,2.05,2.4,1.69,2.13,1.84,0.26,0.2
14,Other Long-Term Assets,34.74,32.44,16.73,50.95,47.57,40.84,0.41,0.65,0.53,0.2
15,Total Assets,697.08,764.89,784.46,718.31,636.62,665.87,311.39,220.58,202.84,246.1
16,Accounts Payable,12.34,11.02,23.93,23.26,23.9,18.64,14.11,22.79,17.8,45.65
17,Accrued Expenses,-,2.94,-,4.81,-,2.61,-,0.91,-,3.07
18,Short-Term Debt,10,10,10,41.14,10,7,49.1,13,7,12.85
19,Current Portion of Leases,1.92,1.83,8.25,7.52,7.1,6.65,0.49,1.03,1.56,1.86
20,Current Income Taxes Payable,-,-,-,-,-,-,0.98,4.66,1.31,1.2
21,Other Current Liabilities,7.9,13.66,117.6,20.44,4.58,3.76,5.05,4.9,5.99,11.73
22,Total Current Liabilities,32.17,39.45,159.78,97.17,45.58,38.66,69.72,47.29,33.65,76.35
23,Long-Term Leases,4.14,4.83,7.7,11.2,14.74,17.87,0.96,1.13,1.45,2.16
24,Total Liabilities,36.3,44.28,167.48,108.36,60.32,56.53,70.69,48.42,35.11,78.5
25,Common Stock,6.66,6.66,5.47,5.1,4.94,4.94,4.24,3.58,3.58,3.58
26,Additional Paid-In Capital,1103,1103,960.46,963.79,913.6,913.6,145.2,82.13,82.13,82.13
27,Retained Earnings,-504.35,-506.52,-486.58,-448.94,-407.77,-356.25,49.42,90.58,86.13,86.01
28,Comprehensive Income & Other,-7.87,80.47,104.39,73.8,65.52,47.05,41.84,-4.13,-4.11,-4.13
29,Total Common Equity,597.56,683.73,583.74,593.75,576.3,609.34,240.7,172.16,167.73,167.6
30,Minority Interest,63.22,36.88,33.24,16.19,-,-,-,-,-,-
31,Shareholders' Equity,660.78,720.61,616.98,609.95,576.3,609.34,240.7,172.16,167.73,167.6
32,Total Liabilities & Equity,697.08,764.89,784.46,718.31,636.62,665.87,311.39,220.58,202.84,246.1
33,Total Debt,16.06,16.66,25.95,59.85,31.84,31.52,50.55,15.16,10.01,16.86
34,Net Cash (Debt),40.23,67.07,61.68,17.84,36.87,107.5,-43.18,-5.98,-7.82,13.42
35,Net Cash Growth,-34.77%,275.95%,67.27%,-83.41%,-,-,-,-,-,-73.04%
36,Net Cash Per Share,0.05,0.10,0.11,0.03,0.07,0.20,-0.10,-0.01,-0.02,0.03
37,Filing Date Shares Outstanding,751.05,751.05,621.6,581.6,563.59,563.59,480,400,400,400
38,Total Common Shares Outstanding,751.05,751.05,621.6,581.6,563.59,563.59,480,400,400,400
39,Working Capital,282.87,267.82,154.14,189.22,193,275.76,103.85,136.31,136.2,135.83
40,Book Value Per Share,0.80,0.91,0.94,1.02,1.02,1.08,0.50,0.43,0.42,0.42
41,Tangible Book Value,592.74,678.53,515.09,522.59,512.37,545.39,176.46,171.26,166.49,166.02
42,Tangible Book Value Per Share,0.79,0.90,0.83,0.90,0.91,0.97,0.37,0.43,0.42,0.42
43,Machinery,-,109.68,-,78.5,-,70.99,-,61.88,-,54.16
44,Construction In Progress,-,111.17,-,54.51,-,-,-,-,-,-
45,Leasehold Improvements,-,0.2,-,0.2,-,0.2,-,0.2,-,0.2
