,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,563,334,451,1069,1722,2091,4103,4123,220,260,296
1,Market Cap Growth,-68.74%,-68.74%,-73.82%,-48.87%,-58.04%,-49.29%,1764.97%,1485.85%,-25.68%,-4.41%,2.78%
2,Enterprise Value,588,301,420,1067,1678,1959,4155,4128,229,245,249
3,Last Close Price,0.60,0.41,0.55,1.58,2.71,3.40,6.67,7.87,0.50,0.60,0.68
4,PE Ratio,-,-,-,-,-,-,-,-,40.60,16.80,15.31
5,PS Ratio,5.22,4.04,4.62,11.00,17.40,18.93,26.50,22.19,1.52,1.21,1.09
6,PB Ratio,0.70,0.47,0.57,1.60,2.50,3.10,5.49,14.24,1.08,1.41,1.58
7,P/TBV Ratio,0.52,0.52,0.60,1.92,2.91,3.48,6.13,19.43,1.08,1.42,1.59
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-6.16,-,-
9,P/OCF Ratio,-,-,-17.64,-,-,-,-,364.45,-8.48,-,-
10,EV/Sales Ratio,7.11,3.64,4.30,10.98,16.96,17.74,26.83,22.22,1.58,1.14,0.91
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,19.26,9.80,8.18
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,40.56,-,9.79
13,EV/FCF Ratio,-5.35,-,-,-,-,-,-,-,-6.40,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.04,0.10,0.06,0.05,0.21,0.09,0.06,0.10
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-0.50,-,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,2.74%,-,13.37%
17,Earnings Yield,-29.73%,-50.11%,-36.85%,-9.99%,-6.65%,-25.61%,-13.37%,-1.07%,2.46%,5.95%,6.53%
18,FCF Yield,-19.51%,-32.88%,-32.19%,-16.06%,-10.28%,-7.47%,-2.07%,-0.14%,-16.23%,-22.37%,-11.09%
19,Buyback Yield / Dilution,-24.21%,-28.26%,-20.09%,-3.90%,-5.30%,-32.83%,-36.19%,-6.08%,-,-,-
20,Total Shareholder Return,-24.21%,-28.26%,-20.09%,-3.90%,-5.30%,-32.83%,-36.19%,-6.08%,-,-,-
