,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Operating Revenue,493.2,397.43,493.48,464.77,493.12,405.1,383.55,404.33,480.24,523.14,404.46,267.77,267.77,26.07,26.07,10.1,10.1
1,Other Revenue,-2.45,2.45,-,6.34,-3.15,3.15,-,6.4,-3.31,3.31,-,1.64,1.64,1.04,1.04,0.15,0.15
2,Revenue,490.75,399.88,493.48,471.11,489.96,408.26,383.55,410.73,476.92,526.45,404.46,269.41,269.41,27.11,27.11,10.26,10.26
3,Revenue Growth (YoY),0.16%,-2.05%,28.66%,14.70%,2.73%,-22.45%,-5.17%,52.46%,77.03%,1842.21%,1392.16%,2526.85%,2526.85%,-,-,-,-
4,Cost of Revenue,322.65,249.64,378.59,362.12,365.29,297.83,282.82,330.11,346.22,389.39,292.08,190.61,190.61,16.89,16.89,6.28,6.28
5,Gross Profit,168.1,150.24,114.89,108.98,124.67,110.43,100.73,80.62,130.71,137.07,112.38,78.79,78.79,10.21,10.21,3.97,3.97
6,"Selling, General & Admin",40.14,35.53,46.36,47.44,43.55,29.29,30.56,32.62,26.13,24.38,24.06,17.84,17.84,4.09,4.09,1.87,1.87
7,Research & Development,23.52,30.42,21.37,20.12,20.26,11.26,9.08,16.86,10.99,13.48,17,6.51,6.51,-,-,-,-
8,Other Operating Expenses,-10.54,-15.59,-3.97,3.53,-14.65,-14.5,-9.62,-9.46,-16.33,-10.28,-9.78,-2.45,-2.45,0.65,0.65,0.77,0.77
