,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,991.59,1605,1430,1225,1535,1741,343.99,475.82,-,-,-,156.9,156.9,16.3,16.3,-,-
1,Trading Asset Securities,169.51,165.63,-,175.38,146.54,63.01,-,-,-,-,-,100.55,100.55,-,-,-,-
2,Cash & Short-Term Investments,1161,1771,1430,1400,1681,1804,343.99,475.82,-,-,416.23,257.44,257.44,16.3,16.3,-,22.97
3,Cash Growth,-30.93%,-1.83%,315.83%,194.21%,-,-,-17.36%,84.82%,-,-,2453.43%,-,1020.66%,-,-,-,-
4,Accounts Receivable,650.04,583.77,568.31,613.39,583.95,515.26,501.58,423.89,-,-,-,297.11,297.11,91.41,91.41,-,-
5,Other Receivables,8.74,8.11,8.3,8.39,8.39,7.53,9.12,6.06,-,-,-,7.7,7.7,9.26,9.26,-,-
6,Receivables,658.78,591.89,576.61,621.78,592.34,522.79,510.7,429.95,-,-,-,304.81,304.81,100.68,100.68,-,-
7,Inventory,66.11,119.34,115.44,180.69,99.95,101.76,87.86,69.04,-,-,-,38.99,38.99,21.81,21.81,-,-
8,Other Current Assets,162.08,151.66,155.49,153.05,140.56,126.87,129.07,128.29,-,-,-,139.71,139.71,4.25,4.25,-,-
9,Total Current Assets,2048,2633,2278,2355,2514,2555,1072,1103,-,-,-,740.95,740.95,143.04,143.04,-,-
10,"Property, Plant & Equipment",627.07,615.87,577.49,570.85,561.09,550.33,553.77,550.07,-,-,-,529.12,529.12,95.27,95.27,-,-
11,Long-Term Investments,4.3,4.3,4.3,4.3,4.75,4.75,4.75,4.3,-,-,-,4.3,4.3,1.1,1.1,-,-
12,Other Intangible Assets,3077,2953,2867,2832,2629,2635,2647,2669,-,-,-,2225,2225,158.22,158.22,-,-
13,Long-Term Deferred Tax Assets,26.87,23.12,22.18,19.27,15.1,13.47,12.16,11.6,-,-,-,4.72,4.72,0.62,0.62,-,-
14,Long-Term Deferred Charges,9.32,7.38,7.75,5.92,6.01,4.08,2.84,2.45,-,-,-,2.55,2.55,0.32,0.32,-,-
15,Other Long-Term Assets,166.37,166.48,173.68,169.02,123.21,117.97,117.99,119,-,-,-,145.36,145.36,-,-,-,-
16,Total Assets,5959,6404,5930,5956,5853,5880,4410,4459,-,-,-,3652,3652,398.57,398.57,-,-
17,Accounts Payable,280.95,132.8,289.38,144.21,239.1,229.82,-,114,-,-,-,149.14,149.14,24.79,24.79,-,-
18,Accrued Expenses,33.63,73.65,39.65,97.14,26.61,33.99,25.42,85.55,-,-,-,57.88,57.88,1.33,1.33,-,-
19,Short-Term Debt,-,-,2,2,-,-,-,-,-,-,-,30,30,50.92,50.92,-,-
20,Current Portion of Long-Term Debt,171.31,670.65,179.8,167.66,169.23,155.97,159.62,147.25,-,-,-,94.83,94.83,6,6,-,-
21,Current Portion of Leases,-,1.59,-,1.73,-,0.93,-,0.25,-,-,-,0.22,0.22,-,-,-,-
22,Current Income Taxes Payable,15.37,3.01,-,2.47,22.6,1.28,16.89,6.74,-,-,-,4.89,4.89,1.04,1.04,-,-
23,Current Unearned Revenue,7.21,7.39,0.6,0.68,3.69,9.71,9.15,5.03,-,-,-,0.32,0.32,0.31,0.31,-,-
