,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,10106,11083,12037,12241,15216,12834,14011,17325,16485,16244,14888,Upgrade
1,Market Cap Growth,-9.46%,-9.46%,-20.90%,-4.62%,8.60%,-25.92%,-15.01%,6.65%,10.73%,6.28%,13.92%,Upgrade
2,Enterprise Value,7515,8544,9657,10288,13685,10858,12588,15519,14715,14318,13310,Upgrade
3,Last Close Price,4.45,4.57,4.89,4.90,6.01,5.01,5.38,6.59,6.29,6.10,5.64,Upgrade
4,PE Ratio,15.06,16.49,13.81,13.14,20.44,17.85,15.85,19.47,22.39,27.98,23.00,Upgrade
5,Forward PE,15.06,11.33,11.75,12.47,16.35,13.07,13.49,18.29,18.93,21.12,20.05,Upgrade
6,PS Ratio,4.27,4.68,4.16,4.06,6.20,5.24,4.91,6.26,7.33,8.85,7.19,Upgrade
7,PB Ratio,1.55,1.52,1.66,1.74,2.20,1.90,2.01,2.63,2.70,3.15,2.90,Upgrade
8,P/TBV Ratio,2.21,2.21,2.44,2.58,3.27,2.86,3.06,3.76,3.94,4.18,3.83,Upgrade
9,P/FCF Ratio,12.61,13.83,10.19,9.25,17.18,16.50,13.13,16.14,19.22,24.40,21.43,Upgrade
10,P/OCF Ratio,13.32,13.32,9.91,8.85,15.78,15.04,11.50,14.21,16.88,20.68,18.82,Upgrade
11,PEG Ratio,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,Upgrade
12,EV/Sales Ratio,3.17,3.61,3.34,3.41,5.57,4.43,4.41,5.61,6.55,7.80,6.43,Upgrade
13,EV/EBITDA Ratio,5.80,6.70,5.80,5.97,10.48,8.73,8.45,10.29,11.95,15.07,12.30,Upgrade
14,EV/EBIT Ratio,6.73,7.65,6.39,6.49,11.75,9.88,9.37,11.35,13.35,17.05,13.69,Upgrade
15,EV/FCF Ratio,9.38,10.66,8.18,7.77,15.45,13.96,11.80,14.46,17.16,21.51,19.16,Upgrade
16,Debt / Equity Ratio,0.04,0.04,0.04,0.01,0.02,0.01,0.02,0.02,0.02,0.04,0.04,Upgrade
17,Debt / FCF Ratio,0.38,0.38,0.26,0.07,0.12,0.12,0.10,0.12,0.17,0.28,0.27,Upgrade
18,Return on Capital Employed (ROCE),13.57%,13.57%,18.52%,20.14%,15.19%,14.54%,17.31%,18.69%,16.16%,14.60%,16.98%,Upgrade
19,Earnings Yield,6.65%,6.06%,7.24%,7.61%,4.89%,5.60%,6.31%,5.14%,4.47%,3.57%,4.35%,Upgrade
20,FCF Yield,7.93%,7.23%,9.81%,10.81%,5.82%,6.06%,7.62%,6.20%,5.20%,4.10%,4.67%,Upgrade
21,Dividend Yield,2.98%,2.82%,3.25%,3.37%,2.20%,2.18%,2.10%,1.66%,1.40%,1.23%,1.49%,Upgrade
22,Buyback Yield / Dilution,0.01%,-,0.01%,0.02%,0.03%,0.60%,0.08%,-0.45%,-0.50%,-1.27%,-1.20%,Upgrade
23,Total Shareholder Return,2.98%,2.82%,3.27%,3.39%,2.23%,2.78%,2.17%,1.21%,0.91%,-0.04%,0.29%,Upgrade
