,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Jan '21 Jan 1, 2021","Jun '20 Jun 30, 2020","Jan '20 Jan 1, 2020"
0,Market Capitalization,583,644,882,840,910,789,915,989,966,905,1092
1,Market Cap Growth,-23.33%,-23.33%,-3.08%,6.51%,-0.51%,-20.28%,-5.31%,9.28%,-11.54%,-,-
2,Enterprise Value,29,-577,448,-64,896,-25,661,62,515,137,985
3,PE Ratio,3.75,4.16,-,4.42,7.02,11.04,-,3.98,4.77,5.91,7.28
4,PS Ratio,0.32,0.35,0.47,0.47,0.49,0.41,0.45,0.38,0.43,0.54,0.62
5,PB Ratio,0.48,0.53,0.81,0.78,0.88,0.71,0.88,0.87,0.95,0.97,0.77
6,P/FCF Ratio,2.71,-,2.16,-,4.11,-,16.25,-,2.33,-,4.47
7,P/OCF Ratio,2.10,-,2.00,-,3.27,-,6.01,-,1.96,-,3.55
8,EV/Sales Ratio,0.02,-,0.24,-,0.48,-,0.33,0.02,0.23,0.08,0.56
9,EV/EBITDA Ratio,0.09,-,1.43,-,2.75,-,1.83,0.11,1.34,0.46,3.19
10,EV/EBIT Ratio,0.17,-,-,-,5.25,-,-,0.22,2.35,0.67,4.76
11,EV/FCF Ratio,0.13,-,1.10,-,4.05,-,11.74,-,1.24,-,4.03
12,Debt / Equity Ratio,0.04,0.04,0.01,0.31,0.26,0.40,0.00,0.00,0.00,0.10,0.05
13,Debt / FCF Ratio,0.22,-,0.02,-,1.20,-,0.03,-,0.01,-,0.28
14,Return on Capital Employed (ROCE),12.30%,12.30%,-,20.38%,14.64%,8.85%,-,21.96%,18.38%,13.91%,12.92%
15,Earnings Yield,26.55%,24.05%,15.11%,22.62%,14.24%,9.06%,16.47%,25.10%,20.96%,16.91%,13.73%
16,Earnings Yield,26.55%,24.05%,15.11%,22.62%,14.24%,9.06%,16.47%,25.10%,20.96%,16.91%,13.73%
17,FCF Yield,36.86%,33.38%,46.23%,57.53%,24.31%,-20.62%,6.15%,22.67%,42.89%,3.43%,22.38%
18,Buyback Yield / Dilution,-1.43%,-,-2.90%,-,5.64%,-,-4.98%,-,-9.48%,-33.34%,-
19,Total Shareholder Return,6.51%,-,-2.90%,-,5.64%,-,-4.98%,-,-9.48%,-33.34%,-
