,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,734.29,676.82,692.69,457.3,532.74,497.62,500.17,474.84,319.45
1,Revenue Growth (YoY),6.01%,48.00%,30.02%,-8.10%,6.51%,4.80%,56.57%,-,-
2,Cost of Revenue,398.31,378.61,369.77,266.94,288.41,276.29,272.82,259.42,185.34
3,Gross Profit,335.97,298.21,322.92,190.36,244.34,221.32,227.35,215.42,134.1
4,"Selling, General & Admin",169.41,165.6,161.85,104.38,118.95,106.55,95.38,97.07,69.35
5,Operating Expenses,170.01,168.35,163.22,101.99,120.72,110.75,97.75,96.62,71.75
6,Operating Income,165.97,129.86,159.7,88.38,123.62,110.57,129.6,118.8,62.35
7,Interest Expense,-5.62,-6.52,-5.7,-6.27,-5.62,-6.07,-4.47,-5.86,-6.88
8,Interest & Investment Income,-,41.31,-,22.97,-,8.33,-,4.6,-
9,Currency Exchange Gain (Loss),-,-,-,-,-,2.1,0.09,-,-
10,Other Non Operating Income (Expenses),22.32,-72.14,24.44,-8.2,3.67,-6.2,-0.91,-13.05,-2.33
11,EBT Excluding Unusual Items,182.67,92.5,178.44,96.87,121.67,108.73,124.31,104.48,53.14
12,Gain (Loss) on Sale of Investments,-3.03,22.17,6.12,10.65,9.54,0.04,-,-,-
13,Gain (Loss) on Sale of Assets,-,-,-,0.4,-,-,-,-,-
14,Other Unusual Items,-,-,-,-,-,-4.2,-18.3,4.49,-4.49
15,Pretax Income,179.64,114.68,184.57,107.93,131.21,104.57,106.01,108.96,48.66
16,Income Tax Expense,46.02,40.85,37.65,26.49,29.45,25.6,27.34,26.81,10.29
17,Earnings From Continuing Operations,133.62,73.82,146.91,81.44,101.76,78.97,78.67,82.16,38.37
18,Minority Interest in Earnings,2.83,4.48,3.7,2.72,1.84,1.84,2.27,0.4,3.21
19,Net Income,136.45,78.3,150.61,84.15,103.6,80.81,80.94,82.56,41.58
20,Net Income to Common,136.45,78.3,150.61,84.15,103.6,80.81,80.94,82.56,41.58
21,Net Income Growth,-9.40%,-6.96%,45.38%,4.14%,27.99%,-2.12%,94.67%,-,-
22,Shares Outstanding (Basic),688,690,701,705,708,699,550,550,550
23,Shares Outstanding (Diluted),688,693,701,705,708,699,550,550,550
24,Shares Change (YoY),-1.86%,-1.78%,-0.97%,0.89%,28.66%,27.10%,-,-,-
25,EPS (Basic),0.20,0.11,0.21,0.12,0.15,0.12,0.15,0.15,0.08
26,EPS (Diluted),0.20,0.11,0.21,0.12,0.15,0.12,0.15,0.15,0.08
27,EPS Growth,-5.51%,-4.96%,43.44%,3.22%,-0.52%,-20.66%,94.67%,-,-
28,Free Cash Flow,144.1,142.02,150.54,80.66,71.67,80.19,111.47,146.48,51.89
29,Free Cash Flow Per Share,0.21,0.21,0.21,0.11,0.10,0.11,0.20,0.27,0.09
30,Dividend Per Share,0.122,-,-,-,-,-,-,-,-
31,Operating Margin,22.60%,19.19%,23.06%,19.33%,23.20%,22.22%,25.91%,25.02%,19.52%
32,Profit Margin,18.58%,11.57%,21.74%,18.40%,19.45%,16.24%,16.18%,17.39%,13.02%
33,Free Cash Flow Margin,19.62%,20.98%,21.73%,17.64%,13.45%,16.12%,22.29%,30.85%,16.24%
34,EBITDA,210.02,167.16,194.84,118.17,149.7,133.66,153.15,140.28,84.9
35,D&A For EBITDA,44.06,37.3,35.13,29.79,26.08,23.08,23.55,21.48,22.55
36,EBIT,165.97,129.86,159.7,88.38,123.62,110.57,129.6,118.8,62.35
