,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,395.73,463.44,413.91,944.73,1414,1257,438.18,413.25,-
1,Short-Term Investments,710.37,676.73,499.07,353.62,-,13.05,-,0.91,-
2,Trading Asset Securities,350.99,412.45,742.53,382.79,361,520.04,-,-,-
3,Cash & Short-Term Investments,1457,1553,1656,1681,1775,1790,438.18,414.16,-
4,Cash Growth,-11.99%,-7.64%,-6.75%,-6.09%,305.18%,332.26%,-,-,-
5,Accounts Receivable,67.52,55.74,65.84,46.65,65.22,54.17,74.08,62.33,-
6,Other Receivables,-,44.66,-,15.33,-,-11.82,-,5.73,-
7,Receivables,67.52,100.4,65.84,61.98,65.22,57.51,74.08,75.36,-
8,Inventory,55.3,51.11,60,52.42,46.61,34.9,35.05,38,-
9,Prepaid Expenses,-,-,-,-,-,19.16,-,-,-
10,Other Current Assets,73.72,25.53,68.93,19.6,35.39,12.63,40.06,13.99,-
11,Total Current Assets,1654,1730,1850,1815,1923,1914,587.37,541.51,-
12,"Property, Plant & Equipment",572.3,592.1,605.14,593.05,539.2,485.9,461.76,446.56,-
13,Long-Term Investments,160.09,187.01,113.33,82,10.53,-,-,-,-
14,Goodwill,205.99,205.99,134.65,115.21,28.23,28.23,28.23,28.23,-
15,Other Intangible Assets,163.62,166.96,101.77,91.2,52.15,53.82,54.23,56.48,-
16,Long-Term Deferred Tax Assets,6.2,5.71,6.03,6.01,5.96,5.73,4.94,4.76,-
17,Other Long-Term Assets,73.84,35.38,21.13,20.54,39.95,18.4,1.93,11.49,-
18,Total Assets,2836,2923,2832,2723,2599,2507,1138,1089,-
19,Accounts Payable,62.57,55.36,62.46,44.03,59.48,36.8,49.05,39.29,-
20,Short-Term Debt,6.93,7.15,9.07,12.01,5.66,5.52,-,5.25,-
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,5.25,0.75,-
22,Current Portion of Leases,46.24,41.82,50.87,41.36,34.17,40.71,36.55,30.54,-
23,Current Income Taxes Payable,25.62,16.97,27.25,6.25,19.69,18.42,15.45,17.47,-
24,Other Current Liabilities,181.75,221.44,193.25,141.33,127.4,120.37,162.1,105.35,-
25,Total Current Liabilities,323.11,342.74,342.9,244.98,246.4,221.83,268.4,198.66,-
26,Long-Term Debt,-,-,-,-,0.74,0.72,0.68,0.68,-
27,Long-Term Leases,127.18,151.82,131.97,142.79,137.64,131.7,114.01,105.14,-
28,Long-Term Deferred Tax Liabilities,35.45,41.78,24.22,28.37,15.04,22.87,19.05,20.2,-
29,Other Long-Term Liabilities,8.91,8.04,9.06,8.54,1.44,1,0.85,0.8,-
30,Total Liabilities,494.65,544.38,508.15,424.68,401.25,378.11,402.98,325.48,-
31,Common Stock,0.15,0.15,0.15,0.15,0.15,0.15,0.09,0.09,-
32,Retained Earnings,397.94,448.62,370.32,329.46,245.3,204.44,-,155.69,-
33,Treasury Stock,-63.96,-76.9,-49.52,-18.67,-,-,-,-,-
34,Comprehensive Income & Other,1991,1988,1981,1962,1932,1902,711.35,581.47,-
35,Total Common Equity,2325,2360,2302,2273,2177,2106,711.45,737.25,-
36,Minority Interest,15.84,18.37,22.08,25.76,20.35,22.19,24.03,26.3,-
37,Shareholders' Equity,2341,2378,2324,2298,2197,2128,735.48,763.55,-
38,Total Liabilities & Equity,2836,2923,2832,2723,2599,2507,1138,1089,-
39,Total Debt,180.35,200.8,191.9,196.16,178.2,178.65,156.49,142.36,-
40,Net Cash (Debt),1277,1352,1464,1485,1597,1612,281.69,271.79,-
41,Net Cash Growth,-12.77%,-8.97%,-8.37%,-7.86%,467.01%,492.94%,-,-,-
42,Net Cash Per Share,1.86,1.95,2.09,2.11,2.26,2.31,0.51,0.49,-
43,Filing Date Shares Outstanding,690.78,687.49,694.08,701.83,707.63,707.63,550,687.5,550
44,Total Common Shares Outstanding,690.78,687.49,694.08,701.83,707.63,707.63,550,550,550
45,Working Capital,1331,1387,1507,1570,1676,1693,318.97,342.85,-
46,Book Value Per Share,3.37,3.43,3.32,3.24,3.08,2.98,1.29,1.34,-
47,Tangible Book Value,1956,1987,2066,2066,2097,2024,628.99,652.54,-
48,Tangible Book Value Per Share,2.83,2.89,2.98,2.94,2.96,2.86,1.14,1.19,-
49,Buildings,-,39.26,-,39.26,-,39.26,-,39.26,-
50,Machinery,-,464.31,-,384.47,-,293.33,-,248.93,-
51,Construction In Progress,-,-,-,47.79,-,47.79,-,47.79,-
52,Leasehold Improvements,-,145.32,-,172.2,-,133.34,-,124.99,-
