,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,2148,2034,3042,3236,2993,3361,4522,-,-,-
1,Market Cap Growth,-37.13%,-37.13%,1.63%,-3.72%,-33.80%,-,-,-,-,-
2,Enterprise Value,793,565,1484,1570,1146,1410,4212,-,-,-
3,Last Close Price,3.11,2.83,3.88,4.08,3.56,4.00,5.23,-,-,-
4,PE Ratio,9.29,8.82,12.06,12.76,14.10,15.56,22.77,-,-,-
5,Forward PE,8.12,6.94,9.50,7.25,10.18,8.60,16.14,-,-,-
6,PS Ratio,1.41,1.34,2.02,2.60,2.67,2.78,3.69,-,-,-
7,PB Ratio,0.86,0.81,1.16,1.29,1.15,1.31,1.73,-,-,-
8,P/TBV Ratio,0.97,0.97,1.39,1.45,1.28,1.37,1.82,-,-,-
9,P/FCF Ratio,6.99,6.62,9.44,12.95,17.38,18.89,19.22,-,-,-
10,P/OCF Ratio,5.38,5.38,7.41,9.61,9.68,10.29,14.77,-,-,-
11,EV/Sales Ratio,0.52,0.37,0.98,1.26,1.02,1.17,3.44,-,-,-
12,EV/EBITDA Ratio,1.71,1.39,3.72,4.64,3.78,4.25,11.96,-,-,-
13,EV/EBIT Ratio,2.50,1.78,4.65,5.86,4.78,5.14,14.29,-,-,-
14,EV/FCF Ratio,2.58,1.84,4.61,6.29,6.66,7.93,17.90,-,-,-
15,Debt / Equity Ratio,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.21,0.19,-
16,Debt / FCF Ratio,0.63,0.63,0.69,0.83,1.29,1.17,0.93,0.61,0.72,-
17,Return on Capital Employed (ROCE),11.77%,11.77%,11.22%,9.97%,8.55%,9.96%,10.51%,28.55%,20.35%,-
18,Earnings Yield,10.74%,11.34%,8.29%,7.84%,7.09%,6.43%,4.39%,-,-,-
19,FCF Yield,14.31%,15.11%,10.60%,7.72%,5.75%,5.29%,5.20%,-,-,-
20,Dividend Yield,8.41%,4.62%,-,-,-,-,-,-,-,-
21,Buyback Yield / Dilution,1.82%,1.86%,1.78%,0.97%,-0.89%,-28.66%,-27.10%,-,-,-
22,Total Shareholder Return,10.23%,6.49%,1.78%,0.97%,-0.89%,-28.66%,-27.10%,-,-,-
