,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4624,4438,5706,6493,7913,8208,6481,7088,6127,3611,2957,3670,3843,-,-,-,-,-,-,-
1,Market Cap Growth,-45.93%,-45.93%,-11.96%,-8.39%,29.15%,127.31%,119.22%,93.11%,59.44%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3810,3624,4952,5685,7242,7536,5473,5951,4892,2376,1682,2291,3822,-,-,-,-,-,-,-
3,Last Close Price,31.09,29.84,38.37,43.66,53.21,55.19,43.58,47.66,41.20,24.28,19.88,24.68,25.84,-,-,-,-,-,-,-
4,PS Ratio,1125.77,1125.77,-,1611.53,-,1569.63,-,1405.79,-,1976.20,-,469.49,425.42,-,-,-,-,-,-,-
5,PB Ratio,5.37,5.15,6.63,7.07,8.18,8.04,6.05,6.37,5.28,2.99,2.34,2.83,2.89,-,-,-,-,-,-,-
6,P/TBV Ratio,5.16,5.16,6.63,7.07,8.18,8.04,6.06,6.37,5.29,2.99,2.34,2.83,2.89,-,-,-,-,-,-,-
7,EV/Sales Ratio,919.38,919.38,-,1410.95,-,1441.17,-,1180.20,-,1300.21,-,293.04,423.05,-,-,-,-,-,-,-
8,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,2.07,-,0.07,-,-,-,0.00
9,Asset Turnover,-,-,0.01,-,0.00,-,0.02,-,0.00,-,0.01,-,-,-,-,-,-,-,-,
10,Inventory Turnover,-,-,-,-,-,1.01,-,-,-,0.02,-,-,-,-,-,-,-,-,-,-
11,Quick Ratio,-,-,6.88,7.30,8.34,10.71,7.97,11.23,12.60,13.31,13.82,15.15,14.60,0.50,-,2.27,-,6.42,10.55,-
12,Current Ratio,-,-,7.08,7.48,8.50,10.90,11.32,11.43,12.77,13.49,14.05,15.32,14.78,0.69,-,2.88,-,7.17,11.57,-
13,Return on Equity (ROE),-19.09%,-25.69%,-21.02%,-21.45%,-18.94%,-15.73%,-16.20%,-15.92%,-17.72%,-10.97%,-10.18%,-30.45%,-,-,-125.08%,-94.76%,-75.27%,-,-,
14,Return on Assets (ROA),-,-15.56%,-13.08%,-13.65%,-13.55%,-10.47%,-10.63%,-10.52%,-16.10%,-7.64%,-7.22%,-17.01%,-,-,-,-,-42.34%,-,-,
15,Return on Capital (ROIC),-6.97%,-17.44%,-14.44%,-14.91%,-14.64%,-11.27%,-11.43%,-11.26%,-17.19%,-8.12%,-7.68%,-18.83%,-,-,-77.15%,-60.18%,-49.35%,-,-,
16,Earnings Yield,-4.35%,-4.53%,-3.67%,-3.01%,-2.42%,-2.26%,-2.94%,-2.58%,-2.78%,-4.81%,-5.42%,-4.34%,-4.19%,-,-,-,-,-,-,-
17,FCF Yield,-,-3.43%,-2.93%,-2.34%,-2.23%,-2.87%,-2.52%,-2.59%,-4.16%,-4.20%,-2.90%,-2.82%,-,-,-,-,-,-,-,
18,Buyback Yield / Dilution,-0.15%,-3.42%,4.35%,-1.08%,-0.63%,-0.72%,-0.47%,-1.60%,-30.70%,-31.27%,-37.47%,-29.76%,-0.62%,0.55%,-0.56%,-,-,-,-,-
19,Total Shareholder Return,-0.15%,-3.42%,4.35%,-1.08%,-0.63%,-0.72%,-0.47%,-1.60%,-30.70%,-31.27%,-37.47%,-29.76%,-0.62%,0.55%,-0.56%,-,-,-,-,-
