,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,83.35,193.5,534.21,530.34,676.08,938.49,1146,1190,1245,1284,1398,24.45,-,69.22,-,142.35,168.82,-
1,Short-Term Investments,-,347.26,239.09,275.69,333.96,-,74.19,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,390.51,330,-,100.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,821.12,821.12,762.58,809.9,964.44,676.08,1013,1146,1190,1245,1284,1398,24.45,-,69.22,142.35,142.35,168.82,192.29
4,Cash Growth,-14.86%,21.45%,-24.70%,-29.30%,-18.93%,-45.71%,-21.16%,-18.03%,4764.48%,-,1755.66%,881.82%,-82.82%,-,-64.00%,-,-,-,-
5,Accounts Receivable,-,-,1.24,-,-,-,4.75,-,-,-,-,-,1.9,-,6.65,-,-,-,-
6,Other Receivables,-,0.54,0.97,0.94,0.64,1.06,1.41,1.05,1.66,0.51,0.54,0.68,0.17,-,0.35,-,0.29,0.22,-
7,Receivables,-,0.54,2.2,0.94,0.64,1.06,6.16,1.05,1.66,0.51,0.54,0.68,2.07,-,7,-,0.29,0.22,-
8,Inventory,-,1.62,1.1,0.92,0.25,0.63,0.33,0.47,2.29,2.57,3.93,3.8,1.46,-,4.06,-,2.74,1.53,-
9,Other Current Assets,-,21.26,18.11,14.82,16.92,284.28,17.21,15,14.54,18.52,10.49,14.07,8.47,-,16.61,-,14.01,14.83,-
10,Total Current Assets,-,844.54,784,826.58,982.25,962.06,1036,1162,1208,1267,1299,1416,36.46,-,96.89,-,159.39,185.39,-
11,"Property, Plant & Equipment",-,27.11,25.45,18.45,19.73,20.76,22.13,23.53,23.55,23.63,23.85,12.54,12.12,-,11.62,-,5.79,5.86,-
12,Long-Term Investments,-,97.21,202.2,207.82,96.96,159.95,133.79,53.74,53.31,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,0.15,0.16,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.24,-,0.26,-,0.28,0.29,-
14,Long-Term Deferred Tax Assets,-,1.02,1.18,0.25,0.25,-,-,-,1.01,-,-,-,-,-,-,-,-,-,-
15,Long-Term Deferred Charges,-,2.03,2.08,2.17,2.27,2.37,2.46,2.56,2.71,0.94,1.04,1.14,1.24,-,1.44,-,1.64,1.07,-
16,Other Long-Term Assets,-,12.65,13.08,10.46,10.47,10.58,10.42,9.92,10.39,63.18,61.62,8.45,8.11,-,11.66,-,9.47,7.56,-
