,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,0.14,-,3.8,-,0.23,-,5,-,0.04,0,1.78,0,2.03,4,3,4,-,-,7
1,Other Revenue,-,-,-,-,-,-,-,-,0,-0,0,-,-,-,-,-,-,-,-
2,Revenue,0.14,-,3.8,-,0.23,-,5,-,0.04,-,1.78,0,2.03,4,3,4,-,-,7
3,Revenue Growth (YoY),-38.03%,-,-24.00%,-,445.84%,-,180.19%,-,-97.93%,-,-40.52%,-99.98%,-,-,-57.14%,-,-,-,-
4,Cost of Revenue,-,-,-,-,0.11,-,-,-,0.01,-,-,-,0.01,-,-,-,-,-,-
5,Gross Profit,0.14,-,3.8,-,0.12,-,5,-,0.03,-,1.78,0,2.02,4,3,4,-,-,7
6,"Selling, General & Admin",-16.86,5.92,5,5.93,5.32,5.7,5.08,5.01,5.09,5.92,5.13,5.42,2.84,5.03,5.81,6.22,5.33,-,-
7,Research & Development,47.29,56.94,53.55,53.55,56.33,44.9,52.24,48.92,60.58,44.37,48.37,46.12,48.94,42.29,32.77,32.85,26.17,-,-
8,Other Operating Expenses,-6.08,-0.18,0.01,-0.09,-0.07,-0.87,-0.37,-0.21,19.74,-8.21,-10.89,-0.55,8.38,-7.8,-0.4,-0.03,0,266.57,22.83
9,Operating Expenses,24.35,62.62,58.57,59.45,61.59,49.43,57.25,53.66,85.48,41.87,42.58,50.92,60.13,39.2,38.32,39.25,31.91,266.57,22.83
10,Operating Income,-24.21,-62.62,-54.77,-59.45,-61.47,-49.43,-52.25,-53.66,-85.45,-41.87,-40.79,-50.92,-58.11,-35.2,-35.32,-35.25,-31.91,-266.57,-15.83
11,Interest Expense,-8.21,-0.07,-0.05,-0,-0.02,-0.03,-0.05,-0.06,-0.07,-0.07,-0.17,-0.03,-0.02,-0.03,-0.04,-0.05,-,-,-
12,Interest & Investment Income,0.13,1.82,2.64,3.75,3.2,4.34,5.51,6.2,5.76,7.07,7.33,0.29,0.17,0.29,0.45,0.62,1.11,-,-
13,Other Non Operating Income (Expenses),-0,0.06,-0.06,-0,-0,-0.06,0.04,-0,-0.01,-0.21,0.21,0,-0.78,0.62,0.01,-0,0.26,-0.05,-0.38
14,EBT Excluding Unusual Items,-32.3,-60.81,-52.24,-55.71,-58.29,-45.18,-46.75,-47.52,-79.77,-35.08,-33.42,-50.66,-58.72,-34.32,-34.91,-34.69,-30.54,-266.62,-16.2
15,Gain (Loss) on Sale of Investments,-8.79,3.69,2.7,2.4,3.55,2.24,0.73,0.43,1.14,-,-,-,-,-,-,-,-,-,-
