,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Revenue,384017,331711,295660,295660,388852,388852,168879,168879
1,Revenue Growth (YoY),-1.24%,-14.69%,75.07%,75.07%,-,-,-,-
2,Cost of Revenue,294962,273570,170381,170381,218973,218973,116350,116350
3,Gross Profit,89054,58141,125278,125278,169879,169879,52529,52529
4,"Selling, General & Admin",36541,45676,35251,35251,40664,40664,21743,21743
5,Operating Expenses,36541,45676,35251,35251,40664,40664,21743,21743
6,Operating Income,52514,12465,90028,90028,129215,129215,30786,30786
7,Interest Expense,-37705,-19853,-,-,-20.01,-20.01,-1811,-1811
8,Interest & Investment Income,6979,12648,1154,1154,172.81,172.81,30.3,30.3
9,Currency Exchange Gain (Loss),-,-,57.83,57.83,-,-,-,-
10,Other Non Operating Income (Expenses),-7065,-3927,-596.04,-596.04,-322.99,-322.99,-52.28,-52.28
11,Pretax Income,14722,1333,90644,90644,129045,129045,28953,28953
12,Income Tax Expense,3872,578.09,18333,18333,20398,20398,10969,10969
13,Earnings From Continuing Operations,10850,755.16,72311,72311,108647,108647,17984,17984
14,Minority Interest in Earnings,440.44,-253.31,-1527,-1527,-3097,-3097,-434.47,-434.47
15,Net Income,11291,501.85,70784,70784,105550,105550,17550,17550
16,Preferred Dividends & Other Adjustments,-,-,8000,8000,-8142,-8142,8142,8142
17,Net Income to Common,11291,501.85,62784,62784,113692,113692,9408,9408
18,Net Income Growth,-89.30%,-99.52%,303.34%,303.34%,-,-,-,-
19,Shares Outstanding (Basic),464,464,121,121,65,65,48,48
20,Shares Outstanding (Diluted),464,464,121,121,65,65,48,48
21,Shares Change (YoY),612.22%,612.22%,153.77%,153.77%,-,-,-,-
22,EPS (Basic),24.35,1.08,517.18,517.18,1746.33,1746.33,196.67,196.67
23,EPS (Diluted),24.35,1.08,517.18,517.18,1746.33,1746.33,196.67,196.67
24,EPS Growth,-98.61%,-99.94%,162.97%,162.97%,-,-,-,-
25,Free Cash Flow,-729680,43866,-321952,-321952,112578,112578,4908,4908
26,Free Cash Flow Per Share,-1573.68,94.60,-2652.05,-2652.05,1729.23,1729.23,102.59,102.59
27,Gross Margin,23.19%,17.53%,42.37%,42.37%,43.69%,43.69%,31.10%,31.10%
28,Operating Margin,13.67%,3.76%,30.45%,30.45%,33.23%,33.23%,18.23%,18.23%
29,Profit Margin,2.94%,0.15%,21.24%,21.24%,29.24%,29.24%,5.57%,5.57%
30,Free Cash Flow Margin,-190.01%,13.22%,-108.89%,-108.89%,28.95%,28.95%,2.91%,2.91%
31,EBITDA,63855,24797,90942,90942,129750,129750,31354,31354
32,EBITDA Margin,16.63%,7.48%,30.76%,30.76%,33.37%,33.37%,18.57%,18.57%
33,D&A For EBITDA,11342,12332,914.09,914.09,535.23,535.23,568.16,568.16
34,EBIT,52514,12465,90028,90028,129215,129215,30786,30786
35,EBIT Margin,13.67%,3.76%,30.45%,30.45%,33.23%,33.23%,18.23%,18.23%
36,Effective Tax Rate,26.30%,43.36%,20.22%,20.22%,15.81%,15.81%,37.89%,37.89%
37,Revenue as Reported,384017,331711,295660,295660,-168879,-168879,168879,168879
