,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,30966,141771,69745,69745,61268,61268,-,-
1,Short-Term Investments,157425,134142,27470,27470,-,-,-,-
2,Cash & Short-Term Investments,188391,275913,97215,97215,61268,61268,-,74224
3,Cash Growth,207.49%,350.34%,-,30.98%,-,-,-,-
4,Accounts Receivable,548978,541726,368332,368332,367323,367323,-,-
5,Other Receivables,2953128,2942106,382967,382967,130395,130395,-,-
6,Receivables,3678012,4002285,751300,751300,497719,497719,-,-
7,Inventory,354389,556050,101289,101289,4025,4025,-,-
8,Prepaid Expenses,6875,7182,2142,2142,1150,1150,-,-
9,Other Current Assets,48516,119330,204850,204850,150900,150900,-,-
10,Total Current Assets,4276182,4960760,1156796,1156796,715062,715062,-,-
11,"Property, Plant & Equipment",114788,128429,59187,59187,15093,15093,-,-
12,Goodwill,-,1015,-,-,-,-,-,-
13,Other Intangible Assets,74088,86999,2908,2908,3242,3242,-,-
14,Other Long-Term Assets,2722387,1924075,436187,436187,320801,320801,-,-
15,Total Assets,7187444,7101278,1655079,1655079,1054198,1054198,-,-
16,Accounts Payable,133845,109589,88760,88760,114472,114472,-,-
17,Accrued Expenses,117761,118441,110487,110487,137807,137807,-,-
18,Short-Term Debt,946017,433183,-,-,100000,100000,-,-
19,Current Income Taxes Payable,14083,4710,32857,32857,33260,33260,-,-
20,Current Unearned Revenue,168566,194081,-,-,6377,6377,-,-
21,Other Current Liabilities,145182,262997,107726,107726,81941,81941,-,-
22,Total Current Liabilities,1525454,1123000,339831,339831,473858,473858,-,-
23,Long-Term Debt,511.94,353985,-,-,-,-,-,-
24,Long-Term Deferred Tax Liabilities,-,-,60,60,-,-,-,-
25,Other Long-Term Liabilities,379.35,3758,-,-,2000,2000,-,-
26,Total Liabilities,1526346,1480744,339891,339891,475858,475858,-,-
27,Common Stock,4636785,4636785,500000,500000,250000,250000,-,-
28,Additional Paid-In Capital,149799,149799,375000,375000,-,-,-,-
29,Retained Earnings,777627,737810,418406,418406,309405,309405,-,-
30,Treasury Stock,-1.08,-1.08,-,-,-,-,-,-
31,Comprehensive Income & Other,54125,54125,-,-,-,-,-,-
32,Total Common Equity,5618335,5578518,1293406,1293406,559405,559405,-,332723
33,Minority Interest,42763,42017,21782,21782,18935,18935,-,-
34,Shareholders' Equity,5661099,5620535,1315188,1315188,578340,578340,-,340340
35,Total Liabilities & Equity,7187444,7101278,1655079,1655079,1054198,1054198,-,-
36,Total Debt,946528,787168,-,-,100000,100000,-,329875
37,Net Cash (Debt),-758137,-511255,97215,97215,-38732,-38732,-,-255651
38,Net Cash Per Share,-1635.05,-1102.61,800.80,800.80,-594.94,-594.94,-,-5344.18
39,Filing Date Shares Outstanding,463.68,463.68,137.28,137.28,68.64,68.64,47.84,47.84
40,Total Common Shares Outstanding,463.68,463.68,137.28,137.28,68.64,68.64,47.84,47.84
41,Working Capital,2750728,3837760,816966,816966,241204,241204,-,-
42,Book Value Per Share,12116.88,12031.00,9421.66,9421.66,8149.84,8149.84,-,9321.86
43,Tangible Book Value,5544247,5490504,1290498,1290498,556163,556163,-,332082
44,Tangible Book Value Per Share,11957.10,11841.19,9400.48,9400.48,8102.61,8102.61,-,9303.89
45,Buildings,-,116480,-,-,-,-,-,-
46,Machinery,-,71866,36083,36083,21170,21170,-,-
47,Construction In Progress,3706,6595,30162,30162,-,-,-,-
