,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Market Capitalization,3282843,3616693,3987635,-,-,-,-,-,-
1,Enterprise Value,4083744,3774419,4145362,-,-,-,-,-,-
2,Last Close Price,7080.00,7800.00,8600.00,-,-,-,-,-,-
3,PE Ratio,78.18,26.33,16.63,-,-,-,-,-,-
4,Forward PE,-,5.11,5.11,-,-,-,-,-,-
5,PS Ratio,2.13,2.77,3.04,-,-,-,-,-,-
6,PB Ratio,0.58,0.64,0.71,-,-,-,-,-,-
7,P/TBV Ratio,0.65,0.65,0.73,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-8.18,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-8.61,-,-,-,-,-,-
10,PEG Ratio,0.38,0.38,0.38,-,-,-,-,-,-
11,EV/Sales Ratio,2.65,2.89,3.16,-,-,-,-,-,-
12,EV/EBITDA Ratio,26.56,13.95,12.32,-,-,-,-,-,-
13,EV/EBIT Ratio,29.85,15.40,12.88,-,-,-,-,-,-
14,EV/FCF Ratio,-5.11,-,-8.50,-,-,-,-,-,-
15,Debt / Equity Ratio,0.17,0.17,0.14,-,-,0.17,0.17,-,0.97
16,Debt / EBITDA Ratio,6.16,3.71,7.94,-,-,0.19,0.19,-,2.63
17,Debt / FCF Ratio,-,-,-1.61,-,-,0.43,0.82,-,67.21
18,Asset Turnover,-,-,0.71,0.87,1.48,-,-,-,
19,Inventory Turnover,2.73,-,-,6.73,12.94,217.64,-,-,-
20,Quick Ratio,2.42,2.42,3.35,2.50,2.50,1.18,1.18,-,-
21,Current Ratio,2.80,2.80,4.42,3.40,3.40,1.51,1.51,-,-
22,Return on Equity (ROE),-,-,21.99%,30.55%,75.14%,-,-,-,
23,Return on Assets (ROA),-,-,13.60%,16.61%,30.64%,-,-,-,
24,Return on Capital (ROIC),-,-,17.11%,22.58%,47.62%,-,-,-,
25,Return on Capital Employed (ROCE),2.42%,4.33%,5.38%,33.34%,28.83%,55.14%,32.88%,-,-
26,Earnings Yield,1.28%,4.24%,6.21%,-,-,-,-,-,-
27,FCF Yield,-24.35%,-36.77%,-12.22%,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,41.52%,41.52%,36.69%,36.69%
29,Buyback Yield / Dilution,-237.76%,-612.22%,-612.22%,-153.77%,-153.77%,-,-,-,-
30,Total Shareholder Return,-237.76%,-612.22%,-612.22%,-153.77%,-153.77%,-,-,-,-
