,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,23.16,22.26,22.57,25.03,26.59,31.68,32.58,26.91,27.18,25.32
1,Short-Term Investments,-,-,-,-,-,1,3.1,5,0,0
2,Cash & Short-Term Investments,23.16,22.26,22.57,25.03,26.59,32.68,35.68,31.92,27.18,25.32
3,Cash Growth,2.59%,-11.08%,-15.11%,-23.40%,-25.48%,2.39%,31.28%,26.04%,6.83%,-22.46%
4,Accounts Receivable,1.22,1.17,1.48,0.93,1.37,1.03,2.39,1.28,2.45,2.23
5,Other Receivables,-,2.42,-,3.16,-,4.04,-,7.53,12.14,13.92
6,Receivables,1.22,3.58,1.48,4.09,1.37,5.07,2.39,8.81,14.59,16.16
7,Prepaid Expenses,-,5.83,-,6.76,-,6.36,-,6.25,6.46,6.55
8,Other Current Assets,4.91,0.54,9.57,0.59,10.28,0.8,9.44,0.62,0.9,0.77
9,Total Current Assets,29.29,32.21,33.62,36.47,38.25,44.91,47.51,47.6,49.13,48.8
10,"Property, Plant & Equipment",1.21,1.53,1.66,2.03,2.41,2.85,3.07,3.38,3.46,3.82
11,Long-Term Investments,0.15,0.15,0.17,0.19,4.07,0.37,0.34,1.16,0.56,0.96
12,Other Intangible Assets,0.26,0.2,0.15,0.19,0.13,0.06,0.26,0.42,0.6,1.86
13,Long-Term Deferred Tax Assets,0.16,0.16,0.15,0.15,0.1,0.1,-,-,-,0.01
14,Other Long-Term Assets,3.57,3.71,5.08,5.26,3.69,3.7,3.72,3.71,3.77,3.88
15,Total Assets,34.64,37.96,40.84,44.3,48.64,52,54.9,56.27,57.51,59.34
16,Accounts Payable,0.96,1.29,1.29,1.26,1.3,1.79,4.11,3.87,3.46,3.1
17,Accrued Expenses,4.98,2.79,5.19,2.57,4.8,2.17,-,2.31,-,2.62
18,Current Portion of Leases,0.37,0.36,0.35,0.32,0.34,0.34,0.3,0.3,0.26,0.27
19,Current Income Taxes Payable,0.13,0.23,0.23,0.24,0.32,0.28,0.26,0.21,0.18,0.32
20,Current Unearned Revenue,1.63,1.76,1.79,1.75,2,2.22,2.49,2.45,3.59,3.51
21,Other Current Liabilities,-,2.69,-,2.91,-,2.64,2.76,0.41,2.65,0.44
22,Total Current Liabilities,8.06,9.12,8.85,9.05,8.76,9.43,9.93,9.54,10.13,10.25
23,Long-Term Leases,0.46,0.66,0.75,0.95,1.14,1.38,1.49,1.62,1.65,1.8
24,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,0.01
25,Total Liabilities,8.52,9.78,9.6,10,9.9,10.81,11.42,11.17,11.79,12.06
26,Common Stock,2,2,2,2,2,2,2,2,2,2
27,Additional Paid-In Capital,36.92,36.92,36.92,36.92,36.92,36.92,-,36.3,36.19,35.89
28,Retained Earnings,-11.41,-9.5,-7.19,-4.6,-0.69,1.26,2.59,4.63,6.86,7.64
29,Comprehensive Income & Other,-1.39,-1.24,-0.5,-0.02,0.5,1.01,38.89,2.18,0.68,1.74
30,Shareholders' Equity,26.13,28.18,31.24,34.3,38.74,41.19,43.48,45.11,45.72,47.28
31,Total Liabilities & Equity,34.64,37.96,40.84,44.3,48.64,52,54.9,56.27,57.51,59.34
32,Total Debt,0.82,1.02,1.09,1.27,1.48,1.72,1.79,1.92,1.91,2.07
33,Net Cash (Debt),22.33,21.24,21.48,23.76,25.11,30.96,33.89,30,25.27,23.25
34,Net Cash Growth,3.97%,-10.63%,-14.45%,-23.25%,-25.91%,3.21%,34.13%,29.02%,8.49%,-28.80%
35,Net Cash Per Share,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01
36,Filing Date Shares Outstanding,1861,1861,1861,1861,1861,1861,1857,1856,1855,1852
37,Total Common Shares Outstanding,1861,1861,1861,1861,1861,1861,1857,1856,1855,1852
38,Working Capital,21.23,23.1,24.77,27.42,29.49,35.48,37.58,38.05,39,38.54
39,Book Value Per Share,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
40,Tangible Book Value,25.87,27.98,31.1,34.1,38.61,41.13,43.22,44.69,45.13,45.41
41,Tangible Book Value Per Share,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
42,Machinery,-,0.67,-,0.65,-,0.69,-,0.66,0.64,0.65
43,Leasehold Improvements,-,2.13,-,2.19,-,2.38,-,2.32,2.14,2.18
