,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,87,177,78,84,112,151,160,169,176,159,231
1,Market Cap Growth,111.11%,111.11%,-30.00%,-44.44%,-30.06%,-10.74%,-9.39%,6.00%,-23.80%,-59.19%,-54.55%
2,Enterprise Value,-87,11,-90,-102,-85,-91,-104,-64,-20,-22,49
3,Last Close Price,0.05,0.10,0.04,0.04,0.06,0.08,0.09,0.09,0.10,0.09,0.13
4,PS Ratio,1.16,2.35,1.01,1.09,1.29,1.49,1.61,1.58,1.29,1.10,1.66
5,PB Ratio,0.43,0.87,0.36,0.34,0.42,0.50,0.50,0.50,0.50,0.45,0.63
6,P/TBV Ratio,0.88,0.88,0.36,0.34,0.42,0.50,0.50,0.50,0.51,0.46,0.65
7,P/FCF Ratio,11.80,23.84,-,-,-,-,-,2.52,3.46,9.02,-4.57
8,P/OCF Ratio,23.38,23.38,-,-,-,-,-,2.51,3.46,8.82,-4.76
9,EV/Sales Ratio,0.14,0.14,-,-,-,-,-,-,-,-,0.35
10,EV/FCF Ratio,-11.72,1.47,-,-,-,-,-,-,-,-,-0.97
11,Debt / Equity Ratio,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
12,Debt / FCF Ratio,0.87,0.87,-,-,-,-,-,0.21,0.29,0.84,-0.32
13,Earnings Yield,-45.55%,-22.54%,-57.68%,-60.83%,-40.94%,-22.00%,-16.45%,-15.27%,-16.01%,-11.65%,-19.41%
14,FCF Yield,8.48%,4.19%,-25.03%,-23.38%,-20.73%,-23.87%,8.96%,39.74%,28.87%,11.09%,-21.90%
15,Buyback Yield / Dilution,-,-,-,-0.19%,-0.27%,-0.05%,-0.10%,-0.33%,-0.23%,0.83%,
16,Total Shareholder Return,-,-,-,-0.19%,-0.27%,-0.05%,-0.10%,-0.33%,-0.23%,0.83%,
