,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2306,1510,1928,1601,3616,3585,3627,4465,5498,6714,4715
1,Market Cap Growth,-5.67%,-5.67%,-46.68%,-55.35%,-0.32%,-19.71%,-34.03%,-33.49%,16.61%,1.49%,-46.15%
2,Enterprise Value,1160,85,1211,1156,3015,2844,2701,3335,4553,5578,3303
3,Last Close Price,2.35,1.54,1.97,1.65,3.74,3.72,3.79,4.68,5.79,7.08,5.01
4,Forward PE,-,-,-,8.85,-,13.86,-,-,-,-,-
5,PS Ratio,19.68,12.90,22.84,16.85,181.75,-,-,421.05,534.38,271.48,189.38
6,PB Ratio,-42.37,-42.37,17.30,7.11,11.44,8.33,6.56,6.30,6.32,6.67,3.97
7,P/TBV Ratio,-,-,24.11,8.32,12.92,8.55,6.70,6.40,6.35,6.69,3.98
8,P/FCF Ratio,5.36,-,1.99,10.74,-,-,-,-,-102.26,-,-
9,P/OCF Ratio,3.48,-,1.97,10.19,-,-,-,-,-221.46,-,-
10,EV/Sales Ratio,9.91,0.73,14.34,12.17,151.54,-,-,314.51,442.45,225.54,132.67
11,EV/FCF Ratio,2.70,-,1.25,7.76,-,-,-,-,-84.67,-,-
12,Debt / Equity Ratio,-8.21,-8.21,1.66,1.04,0.35,0.20,0.16,0.13,0.11,0.10,0.08
13,Debt / FCF Ratio,0.68,-,0.19,1.57,-,-,-,-,-1.78,-,-
14,Earnings Yield,-12.27%,-18.74%,-12.07%,-12.76%,-6.36%,-8.66%,-11.02%,-10.37%,-8.49%,-5.94%,-10.09%
15,FCF Yield,18.65%,28.48%,50.26%,9.31%,-7.34%,-7.76%,-9.92%,-1.45%,-0.98%,-5.17%,-8.33%
16,Buyback Yield / Dilution,-0.60%,-0.68%,-0.52%,-1.63%,-1.58%,-0.35%,-0.81%,-0.65%,-0.80%,-1.00%,-56.17%
17,Total Shareholder Return,-0.60%,-0.68%,-0.52%,-1.63%,-1.58%,-0.35%,-0.81%,-0.65%,-0.80%,-1.00%,-56.17%
