,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,1339,1461,881.29,490.63,586.31,675.24,846.93,1032,949.58,1106
1,Cash & Short-Term Investments,1339,1461,881.29,490.63,586.31,675.24,846.93,1032,949.58,1106
2,Cash Growth,51.91%,197.74%,50.31%,-27.34%,-30.77%,-34.58%,-10.81%,-6.65%,-23.81%,-23.40%
3,Accounts Receivable,49.78,0.98,16.33,12.94,-,-,-,-,-,-
4,Other Receivables,17.3,15.81,9.24,408.96,10.35,9.7,8.81,9.23,8.16,10.55
5,Receivables,67.08,16.79,25.57,421.9,10.35,9.7,8.81,9.23,8.16,10.55
6,Inventory,95.23,67.87,57.02,18.46,-,-,-,-,-,-
7,Prepaid Expenses,-,-,-,-,19.91,-,-,-,-,-
8,Other Current Assets,15.06,27,10.14,9.27,5.68,19.66,18.63,3.96,3.82,4.3
9,Total Current Assets,1516,1572,974.01,940.26,622.25,704.6,874.37,1045,961.56,1120
10,"Property, Plant & Equipment",101.33,114.54,127.45,139.71,151.22,156.6,111.46,123.52,91.43,101.47
11,Other Intangible Assets,27.53,28.57,30.31,31.95,9.11,9.03,9.38,3.39,2.54,1.98
12,Other Long-Term Assets,9.75,9.79,10.07,9.58,9.83,33.33,31.91,26.34,35.11,30.71
13,Total Assets,1655,1725,1142,1121,792.41,903.55,1027,1199,1091,1255
14,Accounts Payable,89.76,51.63,46.82,20.98,12.54,23.79,23.79,25.82,46.69,47.94
15,Accrued Expenses,19.36,37.17,19.37,38.37,18.57,32.15,17.31,32.29,17.86,28.58
16,Short-Term Debt,65.79,-,-,33.92,-,-,-,-,-,-
17,Current Portion of Long-Term Debt,-,17.19,105,-,-,-,-,-,-,-
18,Current Portion of Leases,26.44,24.28,23.72,21.49,20.88,13.3,11.6,11.5,14.82,12.02
19,Current Income Taxes Payable,-,-,-,-,-,-,-,-,1.07,-
20,Current Unearned Revenue,98.39,98.38,48.82,53.86,10.56,13.85,14.25,14.25,8.45,8.45
21,Other Current Liabilities,11.34,23.38,12.82,19.76,17.94,23.8,15.8,22.69,4.13,11.8
22,Total Current Liabilities,311.08,252.03,256.55,188.39,80.48,106.88,82.75,106.55,93.02,108.79
23,Long-Term Debt,173.48,106.84,57.68,-,-,-,-,-,-,-
24,Long-Term Leases,6.7,19.44,30.83,42.17,52.41,58.23,64.69,69.21,72.65,77.96
25,Long-Term Unearned Revenue,1197,1246,588.35,611.36,292.29,288.11,290.27,290.27,7.25,7.25
26,Total Liabilities,1688,1624,933.41,841.92,425.18,453.22,437.71,466.03,172.92,193.99
27,Common Stock,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21
28,Additional Paid-In Capital,5931,5931,5929,5922,5915,5910,5903,5900,5894,5893
29,Retained Earnings,-6253,-6111,-5990,-5900,-5801,-5696,-5536,-5370,-5151,-4977
30,Treasury Stock,-0.51,-0.51,-0.53,-0.58,-0.61,-0.63,-0.67,-0.69,-0.72,-0.73
31,Comprehensive Income & Other,282.12,274.5,262.07,250.96,246.49,229.63,215.88,196.54,168.1,138.09
32,Total Common Equity,-33.17,101.15,208.43,279.58,367.23,450.33,589.42,732.5,917.73,1061
33,Shareholders' Equity,-33.17,101.15,208.43,279.58,367.23,450.33,589.42,732.5,917.73,1061
34,Total Liabilities & Equity,1655,1725,1142,1121,792.41,903.55,1027,1199,1091,1255
35,Total Debt,272.41,167.75,217.23,97.58,73.29,71.53,76.29,80.72,87.47,89.98
36,Net Cash (Debt),1066,1293,664.06,393.05,513.02,603.71,770.64,951.38,862.11,1016
37,Net Cash Growth,60.59%,228.98%,29.44%,-34.89%,-33.43%,-36.54%,-10.61%,-6.33%,-30.55%,-29.63%
38,Net Cash Per Share,1.09,1.32,0.68,0.40,0.54,0.63,0.81,1.00,0.91,1.08
39,Filing Date Shares Outstanding,981.12,980.52,978.72,970.11,966.57,963.55,957.01,953.98,949.63,948.31
40,Total Common Shares Outstanding,981.12,980.52,978.72,970.11,966.57,963.55,957.01,953.98,949.63,948.31
41,Working Capital,1205,1320,717.46,751.87,541.77,597.72,791.62,938.73,868.55,1012
42,Book Value Per Share,-0.03,0.10,0.21,0.29,0.38,0.47,0.62,0.77,0.97,1.12
43,Tangible Book Value,-60.7,72.58,178.12,247.63,358.12,441.31,580.03,729.11,915.19,1059
44,Tangible Book Value Per Share,-0.06,0.07,0.18,0.26,0.37,0.46,0.61,0.76,0.96,1.12
45,Machinery,-,25.49,-,23.46,-,21.61,-,20.24,-,13.44
46,Construction In Progress,-,22.4,-,21.3,-,18.92,-,0.85,-,1
47,Leasehold Improvements,-,43.88,-,43.33,-,40.06,-,39.26,-,2.61
