,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,17,28,177,362,409,383,341,156,88,90,153
1,Market Cap Growth,-92.33%,-92.33%,-56.70%,-5.49%,19.75%,145.71%,285.96%,73.41%,-42.37%,-70.17%,-90.61%
2,Enterprise Value,-5,46,154,375,389,350,367,184,106,94,139
3,Last Close Price,0.34,0.52,3.33,6.83,7.70,7.22,6.43,4.00,2.27,2.31,3.93
4,PS Ratio,0.20,0.39,3.26,6.37,5.70,4.81,4.27,2.64,1.41,0.77,0.91
5,PB Ratio,0.39,0.76,3.80,6.27,5.63,4.48,3.28,4.21,1.97,1.29,2.58
6,P/TBV Ratio,0.76,0.76,3.80,6.28,5.63,4.48,3.28,4.22,1.98,1.29,2.58
7,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-3.88
8,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-,-4.52
9,EV/Sales Ratio,0.64,0.64,2.84,6.59,5.43,4.39,4.59,3.11,1.69,0.80,0.82
10,EV/FCF Ratio,0.68,-,-,-,-,-,-,-,-,-,-3.51
11,Debt / Equity Ratio,0.59,0.59,0.48,0.29,0.21,0.24,0.24,0.86,0.80,0.78,0.88
12,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-1.33
13,Earnings Yield,-117.95%,-71.84%,-13.82%,-7.68%,-7.66%,-9.31%,-7.35%,-22.94%,-50.61%,-53.93%,-30.67%
14,FCF Yield,-39.30%,-23.94%,-6.56%,-3.89%,-12.61%,-13.76%,-3.43%,-7.03%,-33.66%,-19.26%,-25.76%
15,Buyback Yield / Dilution,-,-,-,-8.95%,-62.01%,-48.70%,-,-,-,-19.28%,
16,Total Shareholder Return,-,-,-,-8.95%,-62.01%,-48.70%,-,-,-,-19.28%,
