,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,94.32,104.12,94.31,105.1,102.61,117.41,104.35,136.88,119.69,136.18,113.24,164.38,110.53,127.81,103.06,113.89,103.43,85.88,85.88
1,Other Revenue,-0.62,0.62,-,4.72,-1.81,1.81,-,7.8,-5.05,5.05,-,13.43,-8.76,8.76,-,18.95,-8.65,4.32,4.32
2,Revenue,93.7,104.74,94.31,109.82,100.8,119.23,104.35,144.68,114.65,141.22,113.24,177.8,101.77,136.57,103.06,132.84,94.78,90.2,90.2
3,Revenue Growth (YoY),-7.04%,-12.15%,-9.62%,-24.10%,-12.08%,-15.57%,-7.85%,-18.63%,12.65%,3.40%,9.89%,33.85%,7.37%,51.40%,14.25%,-,-,-,-
4,Cost of Revenue,52.02,78.96,55.97,116.05,63.3,72.73,73.95,96.22,67.49,93.12,74.37,117.28,62.63,88.16,68.57,99.49,38.15,65.84,65.84
5,Gross Profit,41.67,25.78,38.35,-6.23,37.5,46.49,30.41,48.47,47.16,48.1,38.87,60.53,39.14,48.41,34.49,33.35,56.63,24.36,24.36
6,"Selling, General & Admin",24.04,20.01,26.75,38.25,27.13,29.13,28.1,41.13,29.08,29.3,24.28,48.94,18.96,22.96,21.02,24.87,21.48,16.5,16.5
7,Research & Development,2.44,-,-,-,2.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Other Operating Expenses,0.11,0.15,0.04,0.15,0.12,0.19,-1.32,0.26,0.13,0.09,-0.08,0.23,0.05,-0.16,0.18,0.37,0.01,0.01,0.01
9,Operating Expenses,26.98,20.02,27.31,38.51,29.63,30.54,26.76,41.42,28.92,30.08,24.3,49.35,18.83,23.1,21.42,25.25,21.62,16.55,16.55
10,Operating Income,14.69,5.76,11.04,-44.74,7.87,15.95,3.65,7.05,18.23,18.02,14.57,11.18,20.3,25.31,13.07,8.1,35.01,7.81,7.81
11,Interest Expense,-0.11,-0.16,-0.19,-0.21,-0.23,-0.26,-0.28,-0.3,-0.2,-0.22,-0.24,-0.15,-0.3,-0.37,-0.34,-0.19,-0.2,-0.06,-0.06
12,Interest & Investment Income,0.9,0.97,-,4.58,0.23,0.45,1.88,3.6,1.43,0.69,0.89,2.83,1.68,2.24,1.56,2.17,1.26,1.28,1.28
13,Other Non Operating Income (Expenses),0.01,-0.27,0.21,-0.04,0.6,1.29,4.69,-15.19,2.9,11.63,0.72,-6.98,1.76,3.12,1.82,-3.07,-0.02,1.5,1.5
14,EBT Excluding Unusual Items,15.49,6.3,11.06,-40.41,8.46,17.44,9.93,-4.84,22.36,30.11,15.94,6.88,23.45,30.3,16.1,7.01,36.06,10.53,10.53
15,Gain (Loss) on Sale of Investments,1.17,1.83,1.59,-3.19,1.51,1.67,-,-3.55,0.9,2.02,0.4,0.62,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Writedown,-14.42,-1.26,-10.04,18.32,-10.65,-5.5,-2.23,8.11,-0.99,-0.66,-6.47,9.39,0.42,-2.59,-7.22,12.58,-12.58,-,-
18,Other Unusual Items,1.37,2.29,1.85,-3.17,-,-,-,16.32,-,-,-,11.73,-,-,-,4.42,-,-,-
19,Pretax Income,3.61,9.18,4.46,-28.44,-0.67,13.61,7.7,16.04,22.27,31.48,9.87,28.63,23.86,27.71,8.88,24.01,23.48,10.53,10.53
20,Income Tax Expense,0.08,1.71,0.4,-7.95,-0.84,2.62,1.65,2.66,4.64,7.79,2.26,6.55,6,6.81,2.37,5.7,6.43,2.43,2.43
21,Net Income,3.53,7.47,4.06,-20.49,0.16,10.99,6.05,13.38,17.64,23.69,7.61,22.09,17.86,20.9,6.51,18.31,17.04,8.1,8.1
22,Net Income to Common,3.53,7.47,4.06,-20.49,0.16,10.99,6.05,13.38,17.64,23.69,7.61,22.09,17.86,20.9,6.51,18.31,17.04,8.1,8.1
23,Net Income Growth,2042.02%,-32.04%,-32.79%,-,-99.07%,-53.59%,-20.59%,-39.42%,-1.27%,13.35%,16.94%,20.65%,4.83%,157.95%,-19.63%,-,-,-,-
24,Shares Outstanding (Basic),398,403,398,401,400,400,400,401,400,399,401,400,387,361,360,393,359,360,360
25,Shares Outstanding (Diluted),398,403,398,401,401,401,400,401,402,401,401,403,387,361,360,393,359,360,360
26,Shares Change (YoY),-0.85%,0.30%,-0.51%,-0.16%,-0.14%,0.14%,-0.08%,-0.25%,3.94%,11.15%,11.40%,2.30%,7.62%,0.15%,-0.09%,-,-,-,-
27,EPS (Basic),0.01,0.02,0.01,-0.05,0.00,0.03,0.02,0.03,0.04,0.06,0.02,0.06,0.05,0.06,0.02,0.05,0.05,0.02,0.02
28,EPS (Diluted),0.01,0.02,0.01,-0.05,0.00,0.03,0.02,0.03,0.04,0.06,0.02,0.05,0.05,0.06,0.02,0.05,0.05,0.02,0.02
29,EPS Growth,2064.63%,-32.24%,-32.45%,-,-99.07%,-53.66%,-20.53%,-39.27%,-5.02%,1.98%,4.97%,17.94%,-2.59%,157.57%,-19.56%,-,-,-,-
30,Free Cash Flow,33.68,34.22,30.02,4.33,-4.53,1.37,-6.95,7.81,-3.77,-5.78,-13.09,49.01,-3.51,13.31,-19.8,34.37,41.34,-8.29,-8.29
31,Free Cash Flow Per Share,0.08,0.08,0.08,0.01,-0.01,0.00,-0.02,0.02,-0.01,-0.01,-0.03,0.12,-0.01,0.04,-0.06,0.09,0.12,-0.02,-0.02
32,Dividend Per Share,-,-,-,-,-,-,-,0.108,-,-,-,0.084,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,-,-,-,-,28.57%,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,44.47%,24.62%,40.66%,-5.68%,37.20%,38.99%,29.14%,33.50%,41.13%,34.06%,34.33%,34.04%,38.45%,35.45%,33.47%,25.11%,59.75%,27.01%,27.01%
35,Operating Margin,15.68%,5.50%,11.71%,-40.74%,7.80%,13.38%,3.50%,4.87%,15.91%,12.76%,12.87%,6.29%,19.95%,18.53%,12.68%,6.10%,36.94%,8.66%,8.66%
36,Profit Margin,3.77%,7.13%,4.31%,-18.66%,0.16%,9.22%,5.79%,9.25%,15.38%,16.77%,6.72%,12.42%,17.55%,15.30%,6.32%,13.78%,17.98%,8.98%,8.98%
37,Free Cash Flow Margin,35.95%,32.67%,31.83%,3.95%,-4.49%,1.15%,-6.66%,5.40%,-3.29%,-4.09%,-11.56%,27.57%,-3.44%,9.74%,-19.22%,25.88%,43.61%,-9.20%,-9.20%
38,EBITDA,15.26,6.44,11.61,-44.17,8.37,16.58,4.16,7.56,18.76,18.42,15.1,11.71,20.86,25.84,13.63,8.65,35.45,8.25,8.25
